,episode,reward
0,20,-200.0
1,40,-200.0
2,60,-200.0
3,80,-200.0
4,100,-200.0
5,120,-200.0
6,140,-200.0
7,160,-200.0
8,180,-200.0
9,200,-200.0
10,220,-200.0
11,240,-200.0
12,260,-200.0
13,280,-200.0
14,300,-200.0
15,320,-200.0
16,340,-200.0
17,360,-200.0
18,380,-200.0
19,400,-200.0
20,420,-200.0
21,440,-200.0
22,460,-200.0
23,480,-200.0
24,500,-200.0
25,520,-200.0
26,540,-200.0
27,560,-200.0
28,580,-200.0
29,600,-200.0
30,620,-200.0
31,640,-200.0
32,660,-200.0
33,680,-200.0
34,700,-200.0
35,720,-200.0
36,740,-200.0
37,760,-200.0
38,780,-200.0
39,800,-200.0
40,820,-200.0
41,840,-200.0
42,860,-200.0
43,880,-200.0
44,900,-200.0
45,920,-200.0
46,940,-200.0
47,960,-200.0
48,980,-200.0
49,1000,-200.0
50,1020,-200.0
51,1040,-200.0
52,1060,-200.0
53,1080,-200.0
54,1100,-200.0
55,1120,-200.0
56,1140,-200.0
57,1160,-200.0
58,1180,-200.0
59,1200,-200.0
60,1220,-200.0
61,1240,-200.0
62,1260,-200.0
63,1280,-200.0
64,1300,-200.0
65,1320,-200.0
66,1340,-200.0
67,1360,-200.0
68,1380,-200.0
69,1400,-200.0
70,1420,-200.0
71,1440,-200.0
72,1460,-200.0
73,1480,-200.0
74,1500,-200.0
75,1520,-200.0
76,1540,-200.0
77,1560,-200.0
78,1580,-200.0
79,1600,-200.0
80,1620,-200.0
81,1640,-200.0
82,1660,-200.0
83,1680,-200.0
84,1700,-200.0
85,1720,-200.0
86,1740,-200.0
87,1760,-200.0
88,1780,-200.0
89,1800,-200.0
90,1820,-200.0
91,1840,-200.0
92,1860,-200.0
93,1880,-200.0
94,1900,-200.0
95,1920,-200.0
96,1940,-200.0
97,1960,-200.0
98,1980,-200.0
99,2000,-200.0
100,2020,-200.0
101,2040,-200.0
102,2060,-200.0
103,2080,-200.0
104,2100,-200.0
105,2120,-200.0
106,2140,-200.0
107,2160,-200.0
108,2180,-200.0
109,2200,-200.0
110,2220,-200.0
111,2240,-200.0
112,2260,-200.0
113,2280,-200.0
114,2300,-200.0
115,2320,-200.0
116,2340,-200.0
117,2360,-200.0
118,2380,-200.0
119,2400,-200.0
120,2420,-200.0
121,2440,-200.0
122,2460,-200.0
123,2480,-200.0
124,2500,-200.0
125,2520,-200.0
126,2540,-200.0
127,2560,-200.0
128,2580,-200.0
129,2600,-200.0
130,2620,-200.0
131,2640,-200.0
132,2660,-200.0
133,2680,-200.0
134,2700,-200.0
135,2720,-200.0
136,2740,-200.0
137,2760,-200.0
138,2780,-200.0
139,2800,-200.0
140,2820,-200.0
141,2840,-200.0
142,2860,-200.0
143,2880,-200.0
144,2900,-200.0
145,2920,-200.0
146,2940,-200.0
147,2960,-200.0
148,2980,-200.0
149,3000,-200.0
150,3020,-200.0
151,3040,-200.0
152,3060,-200.0
153,3080,-200.0
154,3100,-200.0
155,3120,-200.0
156,3140,-200.0
157,3160,-200.0
158,3180,-200.0
159,3200,-200.0
160,3220,-200.0
161,3240,-200.0
162,3260,-200.0
163,3280,-200.0
164,3300,-200.0
165,3320,-200.0
166,3340,-200.0
167,3360,-200.0
168,3380,-200.0
169,3400,-200.0
170,3420,-200.0
171,3440,-200.0
172,3460,-200.0
173,3480,-200.0
174,3500,-200.0
175,3520,-200.0
176,3540,-200.0
177,3560,-200.0
178,3580,-200.0
179,3600,-200.0
180,3620,-200.0
181,3640,-200.0
182,3660,-200.0
183,3680,-200.0
184,3700,-200.0
185,3720,-200.0
186,3740,-200.0
187,3760,-200.0
188,3780,-200.0
189,3800,-200.0
190,3820,-200.0
191,3840,-200.0
192,3860,-200.0
193,3880,-200.0
194,3900,-200.0
195,3920,-200.0
196,3940,-200.0
197,3960,-200.0
198,3980,-200.0
199,4000,-200.0
200,4020,-200.0
201,4040,-200.0
202,4060,-200.0
203,4080,-200.0
204,4100,-200.0
205,4120,-200.0
206,4140,-200.0
207,4160,-200.0
208,4180,-200.0
209,4200,-200.0
210,4220,-200.0
211,4240,-200.0
212,4260,-200.0
213,4280,-200.0
214,4300,-200.0
215,4320,-200.0
216,4340,-200.0
217,4360,-200.0
218,4380,-200.0
219,4400,-200.0
220,4420,-200.0
221,4440,-200.0
222,4460,-200.0
223,4480,-200.0
224,4500,-200.0
225,4520,-200.0
226,4540,-200.0
227,4560,-200.0
228,4580,-200.0
229,4600,-200.0
230,4620,-200.0
231,4640,-200.0
232,4660,-200.0
233,4680,-200.0
234,4700,-200.0
235,4720,-200.0
236,4740,-200.0
237,4760,-200.0
238,4780,-200.0
239,4800,-200.0
240,4820,-200.0
241,4840,-200.0
242,4860,-200.0
243,4880,-200.0
244,4900,-200.0
245,4920,-200.0
246,4940,-200.0
247,4960,-200.0
248,4980,-200.0
249,5000,-200.0
