,episode,reward
0,20,3985.4
1,40,3755.0
2,60,3861.4
3,80,3620.2
4,100,3193.8
5,120,4010.6
6,140,3686.2
7,160,4192.8
8,180,3681.4
9,200,3543.4
10,220,3786.8
11,240,4117.6
12,260,4569.4
13,280,4367.6
14,300,4091.8
15,320,4383.4
16,340,4475.6
17,360,4131.6
18,380,4107.6
19,400,3676.6
20,420,4241.4
21,440,4842.4
22,460,5671.8
23,480,4481.6
24,500,3834.4
25,520,4135.0
26,540,4115.8
27,560,3705.2
28,580,3684.4
29,600,3462.2
30,620,4523.6
31,640,4160.0
32,660,3549.0
33,680,4261.8
34,700,3581.0
35,720,3893.6
36,740,4327.8
37,760,4371.8
38,780,4534.6
39,800,4647.8
40,820,4613.2
41,840,5044.8
42,860,4387.8
43,880,4526.8
44,900,4670.8
45,920,4599.6
46,940,4173.8
47,960,4296.8
48,980,3051.0
49,1000,3881.2
50,1020,3874.6
51,1040,4593.8
52,1060,4337.4
53,1080,4240.0
54,1100,4643.8
55,1120,3243.0
56,1140,3510.6
57,1160,3612.6
58,1180,4094.4
59,1200,4164.6
60,1220,4238.4
61,1240,4529.8
62,1260,4223.4
63,1280,3888.0
64,1300,3859.0
65,1320,4581.0
66,1340,4880.4
67,1360,3972.8
68,1380,3551.2
69,1400,4293.0
70,1420,4779.0
71,1440,4036.2
72,1460,4588.8
73,1480,3956.0
74,1500,4230.0
75,1520,3710.6
76,1540,4597.4
77,1560,4914.0
78,1580,4671.2
79,1600,4999.8
80,1620,4766.6
81,1640,4966.2
82,1660,4604.6
83,1680,4161.6
84,1700,4375.2
85,1720,3531.0
86,1740,3968.8
87,1760,5774.2
88,1780,3810.2
89,1800,3990.2
90,1820,2419.4
91,1840,3167.8
92,1860,3257.4
93,1880,3965.2
94,1900,3536.6
95,1920,3193.2
96,1940,4191.6
97,1960,4207.2
98,1980,3324.8
99,2000,4168.4
100,2020,3747.0
101,2040,3401.8
102,2060,4229.0
103,2080,3927.6
104,2100,3678.0
105,2120,3572.6
106,2140,4104.8
107,2160,4528.6
108,2180,3168.2
109,2200,3910.6
110,2220,3690.4
111,2240,3649.6
112,2260,3547.8
113,2280,4613.0
114,2300,2749.6
115,2320,4246.8
116,2340,3891.8
117,2360,3556.6
118,2380,4032.4
119,2400,4135.4
120,2420,4188.4
121,2440,3892.6
122,2460,4165.4
123,2480,4304.2
124,2500,2608.0
125,2520,2891.4
126,2540,3931.8
127,2560,2510.4
128,2580,4003.4
129,2600,4376.8
130,2620,4202.2
131,2640,4387.2
132,2660,4166.4
133,2680,4231.0
134,2700,3200.4
135,2720,4280.0
136,2740,4151.8
137,2760,3993.8
138,2780,4934.2
139,2800,2501.6
140,2820,3947.8
141,2840,4122.6
142,2860,4342.6
143,2880,4733.8
144,2900,4479.2
145,2920,3487.6
146,2940,3998.8
147,2960,3919.0
148,2980,4683.4
149,3000,2321.4
