,episode,reward
0,20,12.2
1,40,9.2
2,60,9.0
3,80,9.4
4,100,9.6
5,120,8.4
6,140,9.6
7,160,26.6
8,180,53.4
9,200,9.2
10,220,91.8
11,240,12.2
12,260,14.2
13,280,10.8
14,300,58.0
15,320,14.0
16,340,17.0
17,360,16.8
18,380,22.0
19,400,16.4
20,420,17.8
21,440,19.2
22,460,19.4
23,480,18.4
24,500,16.2
25,520,20.2
26,540,15.0
27,560,14.6
28,580,11.4
29,600,12.4
30,620,14.2
31,640,15.8
32,660,17.6
33,680,25.0
34,700,16.6
35,720,24.2
36,740,30.4
37,760,16.8
38,780,14.4
39,800,18.6
40,820,34.0
41,840,20.8
42,860,12.0
43,880,158.4
44,900,26.2
45,920,26.6
46,940,209.8
47,960,86.8
48,980,50.6
49,1000,20.6
50,1020,44.8
51,1040,21.8
52,1060,19.4
53,1080,14.4
54,1100,14.4
55,1120,14.0
56,1140,34.6
57,1160,12.4
58,1180,13.6
59,1200,11.0
60,1220,25.6
61,1240,66.0
62,1260,25.2
63,1280,25.8
64,1300,35.2
65,1320,26.4
66,1340,39.8
67,1360,45.2
68,1380,20.6
69,1400,32.0
70,1420,51.6
71,1440,41.6
72,1460,20.0
73,1480,62.8
74,1500,109.6
75,1520,77.6
76,1540,192.4
77,1560,95.0
78,1580,125.0
79,1600,11.0
80,1620,11.2
81,1640,9.4
82,1660,20.6
83,1680,41.8
84,1700,15.2
85,1720,17.2
86,1740,22.8
87,1760,15.0
88,1780,21.2
89,1800,81.0
90,1820,12.6
91,1840,12.4
92,1860,39.4
93,1880,19.6
94,1900,11.6
95,1920,15.4
96,1940,20.4
97,1960,22.0
98,1980,57.2
99,2000,30.6
100,2020,32.2
101,2040,24.6
102,2060,36.8
103,2080,12.2
104,2100,120.8
105,2120,48.2
106,2140,129.8
107,2160,126.0
108,2180,142.6
109,2200,76.6
110,2220,16.0
111,2240,87.8
112,2260,12.0
113,2280,19.0
114,2300,12.0
115,2320,26.8
116,2340,18.2
117,2360,37.8
118,2380,14.2
119,2400,12.6
120,2420,12.2
121,2440,10.8
122,2460,15.4
123,2480,9.6
124,2500,9.8
125,2520,10.8
126,2540,10.0
127,2560,9.6
128,2580,9.4
129,2600,9.2
130,2620,16.6
131,2640,10.6
132,2660,93.8
133,2680,50.8
134,2700,35.6
135,2720,9.6
136,2740,9.8
137,2760,9.2
138,2780,9.8
139,2800,69.6
140,2820,32.2
141,2840,26.8
142,2860,9.2
143,2880,10.2
144,2900,10.2
145,2920,11.2
146,2940,10.4
147,2960,9.6
148,2980,30.6
149,3000,54.8
