,episode,reward
0,20,9.0
1,40,9.8
2,60,9.4
3,80,9.2
4,100,9.4
5,120,9.0
6,140,9.0
7,160,10.8
8,180,9.8
9,200,12.2
10,220,17.0
11,240,9.4
12,260,14.2
13,280,11.4
14,300,56.8
15,320,53.0
16,340,30.0
17,360,34.0
18,380,12.4
19,400,24.4
20,420,31.8
21,440,32.0
22,460,21.2
23,480,86.2
24,500,53.0
25,520,9.4
26,540,44.4
27,560,42.0
28,580,86.0
29,600,225.6
30,620,33.8
31,640,151.2
32,660,238.6
33,680,131.4
34,700,184.6
35,720,211.6
36,740,234.6
37,760,179.2
38,780,221.6
39,800,180.6
40,820,213.6
41,840,169.6
42,860,204.8
43,880,190.0
44,900,223.6
45,920,201.6
46,940,218.4
47,960,161.0
48,980,181.6
49,1000,207.2
50,1020,194.4
51,1040,66.8
52,1060,218.6
53,1080,189.2
54,1100,235.4
55,1120,199.0
56,1140,135.2
57,1160,234.0
58,1180,185.2
59,1200,173.4
60,1220,216.2
61,1240,211.6
62,1260,188.8
63,1280,42.8
64,1300,226.2
65,1320,197.0
66,1340,171.0
67,1360,190.2
68,1380,234.4
69,1400,190.4
70,1420,186.2
71,1440,224.2
72,1460,234.4
73,1480,208.4
74,1500,134.8
75,1520,167.8
76,1540,230.4
77,1560,107.6
78,1580,99.4
79,1600,46.6
80,1620,14.6
81,1640,14.4
82,1660,110.2
83,1680,10.4
84,1700,126.2
85,1720,196.4
86,1740,164.6
87,1760,170.2
88,1780,63.6
89,1800,57.8
90,1820,190.2
91,1840,157.6
92,1860,10.2
93,1880,166.8
94,1900,29.0
95,1920,106.2
96,1940,108.2
97,1960,129.8
98,1980,175.8
99,2000,45.2
100,2020,10.2
101,2040,105.8
102,2060,11.6
103,2080,183.6
104,2100,66.2
105,2120,218.2
106,2140,150.8
107,2160,151.0
108,2180,184.2
109,2200,149.2
110,2220,183.0
111,2240,185.8
112,2260,153.8
113,2280,201.0
114,2300,180.6
115,2320,179.8
116,2340,208.8
117,2360,11.4
118,2380,276.2
119,2400,214.4
120,2420,194.6
121,2440,322.2
122,2460,197.6
123,2480,190.2
124,2500,157.2
125,2520,150.0
126,2540,78.4
127,2560,161.2
128,2580,215.6
129,2600,182.0
130,2620,193.6
131,2640,235.2
132,2660,102.6
133,2680,14.6
134,2700,87.4
135,2720,75.6
136,2740,177.6
137,2760,73.8
138,2780,191.8
139,2800,185.8
140,2820,195.0
141,2840,41.6
142,2860,151.4
143,2880,53.8
144,2900,209.8
145,2920,195.0
146,2940,179.0
147,2960,202.8
148,2980,229.2
149,3000,185.8
