,episode,reward
0,20,12.6
1,40,9.6
2,60,9.4
3,80,8.8
4,100,9.2
5,120,9.0
6,140,9.0
7,160,9.2
8,180,9.4
9,200,9.6
10,220,30.0
11,240,12.2
12,260,14.6
13,280,21.6
14,300,23.8
15,320,27.6
16,340,13.6
17,360,15.6
18,380,13.2
19,400,26.0
20,420,18.8
21,440,18.8
22,460,55.2
23,480,29.6
24,500,22.0
25,520,23.6
26,540,13.6
27,560,11.6
28,580,16.4
29,600,14.6
30,620,17.6
31,640,15.2
32,660,9.6
33,680,10.8
34,700,17.0
35,720,16.8
36,740,14.2
37,760,12.6
38,780,15.2
39,800,16.2
40,820,17.4
41,840,12.6
42,860,16.6
43,880,19.4
44,900,13.0
45,920,13.4
46,940,15.0
47,960,16.4
48,980,18.0
49,1000,18.2
50,1020,21.0
51,1040,15.2
52,1060,22.8
53,1080,21.2
54,1100,22.6
55,1120,22.4
56,1140,36.6
57,1160,11.8
58,1180,16.2
59,1200,28.4
60,1220,22.2
61,1240,16.6
62,1260,16.0
63,1280,18.4
64,1300,21.8
65,1320,20.6
66,1340,18.0
67,1360,33.4
68,1380,18.2
69,1400,35.6
70,1420,29.8
71,1440,29.2
72,1460,34.2
73,1480,33.0
74,1500,41.0
75,1520,40.4
76,1540,25.6
77,1560,24.6
78,1580,22.2
79,1600,23.0
80,1620,32.6
81,1640,20.6
82,1660,27.0
83,1680,37.6
84,1700,22.6
85,1720,22.0
86,1740,38.4
87,1760,12.4
88,1780,24.6
89,1800,30.0
90,1820,43.4
91,1840,47.8
92,1860,40.0
93,1880,33.8
94,1900,33.6
95,1920,27.6
96,1940,21.8
97,1960,44.2
98,1980,36.4
99,2000,35.8
100,2020,33.4
101,2040,27.6
102,2060,39.2
103,2080,20.8
104,2100,26.2
105,2120,34.2
106,2140,17.4
107,2160,26.2
108,2180,37.6
109,2200,33.4
110,2220,32.4
111,2240,25.0
112,2260,26.8
113,2280,18.6
114,2300,23.6
115,2320,27.6
116,2340,9.6
117,2360,39.8
118,2380,26.4
119,2400,34.6
120,2420,25.4
121,2440,28.0
122,2460,24.4
123,2480,29.0
124,2500,25.8
125,2520,36.8
126,2540,29.6
127,2560,18.6
128,2580,37.2
129,2600,19.2
130,2620,47.0
131,2640,55.4
132,2660,23.0
133,2680,38.8
134,2700,27.0
135,2720,54.2
136,2740,53.4
137,2760,45.6
138,2780,33.2
139,2800,58.8
140,2820,26.4
141,2840,38.0
142,2860,37.4
143,2880,53.0
144,2900,36.4
145,2920,57.8
146,2940,35.8
147,2960,56.6
148,2980,40.6
149,3000,125.8
