,episode,reward
0,20,9.6
1,40,9.4
2,60,9.4
3,80,11.0
4,100,9.2
5,120,9.6
6,140,9.2
7,160,9.0
8,180,9.6
9,200,9.4
10,220,17.4
11,240,9.4
12,260,9.4
13,280,10.0
14,300,16.4
15,320,17.2
16,340,9.4
17,360,9.8
18,380,17.6
19,400,9.6
20,420,9.6
21,440,9.6
22,460,9.8
23,480,10.2
24,500,9.2
25,520,9.8
26,540,10.2
27,560,9.6
28,580,9.8
29,600,15.4
30,620,15.0
31,640,9.6
32,660,10.0
33,680,10.4
34,700,9.4
35,720,10.6
36,740,9.4
37,760,9.8
38,780,9.4
39,800,9.2
40,820,9.6
41,840,8.8
42,860,9.0
43,880,9.2
44,900,9.4
45,920,9.2
46,940,9.8
47,960,9.2
48,980,10.0
49,1000,9.2
50,1020,9.6
51,1040,9.8
52,1060,10.0
53,1080,9.2
54,1100,10.0
55,1120,9.6
56,1140,9.8
57,1160,9.4
58,1180,10.0
59,1200,9.6
60,1220,8.6
61,1240,9.0
62,1260,9.6
63,1280,9.8
64,1300,9.0
65,1320,9.6
66,1340,13.6
67,1360,10.0
68,1380,9.8
69,1400,9.4
70,1420,9.4
71,1440,10.4
72,1460,13.8
73,1480,10.8
74,1500,9.8
75,1520,11.0
76,1540,11.2
77,1560,12.6
78,1580,10.0
79,1600,13.6
80,1620,12.2
81,1640,12.8
82,1660,14.4
83,1680,15.2
84,1700,13.6
85,1720,13.2
86,1740,16.2
87,1760,12.4
88,1780,11.2
89,1800,11.6
90,1820,14.2
91,1840,12.6
92,1860,16.8
93,1880,14.8
94,1900,19.0
95,1920,11.6
96,1940,18.4
97,1960,18.4
98,1980,14.2
99,2000,32.0
100,2020,20.0
101,2040,23.4
102,2060,21.4
103,2080,10.0
104,2100,17.0
105,2120,11.0
106,2140,28.6
107,2160,25.0
108,2180,22.8
109,2200,21.4
110,2220,23.0
111,2240,17.6
112,2260,15.0
113,2280,14.6
114,2300,15.6
115,2320,18.0
116,2340,19.4
117,2360,13.6
118,2380,10.2
119,2400,10.4
120,2420,18.2
121,2440,14.6
122,2460,16.6
123,2480,19.0
124,2500,18.0
125,2520,19.2
126,2540,22.8
127,2560,18.6
128,2580,33.0
129,2600,16.2
130,2620,35.4
131,2640,10.0
132,2660,11.6
133,2680,17.6
134,2700,17.4
135,2720,23.8
136,2740,22.0
137,2760,19.8
138,2780,24.0
139,2800,23.4
140,2820,26.8
141,2840,29.8
142,2860,15.8
143,2880,18.4
144,2900,24.8
145,2920,22.2
146,2940,15.0
147,2960,21.0
148,2980,9.0
149,3000,11.2
