,episode,reward
0,20,10.6
1,40,9.4
2,60,9.6
3,80,9.0
4,100,8.8
5,120,9.4
6,140,9.8
7,160,40.2
8,180,19.6
9,200,10.4
10,220,9.4
11,240,13.8
12,260,13.2
13,280,15.8
14,300,31.8
15,320,15.0
16,340,14.4
17,360,19.8
18,380,28.2
19,400,11.6
20,420,9.8
21,440,10.0
22,460,16.8
23,480,12.6
24,500,16.4
25,520,15.6
26,540,16.0
27,560,15.4
28,580,16.8
29,600,13.4
30,620,16.0
31,640,15.8
32,660,12.6
33,680,15.4
34,700,15.8
35,720,15.8
36,740,12.4
37,760,23.4
38,780,14.4
39,800,16.4
40,820,14.6
41,840,17.4
42,860,11.8
43,880,13.6
44,900,10.6
45,920,13.8
46,940,13.6
47,960,12.8
48,980,13.8
49,1000,12.8
50,1020,13.6
51,1040,11.4
52,1060,12.6
53,1080,12.6
54,1100,16.4
55,1120,18.6
56,1140,15.0
57,1160,11.2
58,1180,14.0
59,1200,12.8
60,1220,10.4
61,1240,13.4
62,1260,14.8
63,1280,11.2
64,1300,14.6
65,1320,10.0
66,1340,15.2
67,1360,10.0
68,1380,12.6
69,1400,13.6
70,1420,12.8
71,1440,14.2
72,1460,15.2
73,1480,14.4
74,1500,13.8
75,1520,11.4
76,1540,10.6
77,1560,15.0
78,1580,13.4
79,1600,10.8
80,1620,14.8
81,1640,14.4
82,1660,14.4
83,1680,15.8
84,1700,15.2
85,1720,15.6
86,1740,16.4
87,1760,16.2
88,1780,15.2
89,1800,15.8
90,1820,14.4
91,1840,16.8
92,1860,11.2
93,1880,12.8
94,1900,18.0
95,1920,15.0
96,1940,15.8
97,1960,13.4
98,1980,13.6
99,2000,12.4
100,2020,15.8
101,2040,12.0
102,2060,13.8
103,2080,15.2
104,2100,16.0
105,2120,11.2
106,2140,14.4
107,2160,14.2
108,2180,17.2
109,2200,13.4
110,2220,14.2
111,2240,13.8
112,2260,14.4
113,2280,12.2
114,2300,17.8
115,2320,17.2
116,2340,13.0
117,2360,13.0
118,2380,15.6
119,2400,12.4
120,2420,16.0
121,2440,15.8
122,2460,16.2
123,2480,14.4
124,2500,15.2
125,2520,14.4
126,2540,13.8
127,2560,14.0
128,2580,12.8
129,2600,18.6
130,2620,15.4
131,2640,14.2
132,2660,15.6
133,2680,14.6
134,2700,13.0
135,2720,13.4
136,2740,14.0
137,2760,15.2
138,2780,14.0
139,2800,17.0
140,2820,16.0
141,2840,17.6
142,2860,16.6
143,2880,13.2
144,2900,13.4
145,2920,12.4
146,2940,17.2
147,2960,13.8
148,2980,13.2
149,3000,15.0
150,3020,16.2
151,3040,17.4
152,3060,24.2
153,3080,19.6
154,3100,14.2
155,3120,17.8
156,3140,13.2
157,3160,15.6
158,3180,20.4
159,3200,17.8
160,3220,14.0
161,3240,12.4
162,3260,12.0
163,3280,17.8
164,3300,19.6
165,3320,24.8
166,3340,20.2
167,3360,16.8
168,3380,20.8
169,3400,22.4
170,3420,13.0
171,3440,18.2
172,3460,18.8
173,3480,18.2
174,3500,19.0
175,3520,18.0
176,3540,11.6
177,3560,15.4
178,3580,15.6
179,3600,12.0
180,3620,18.8
181,3640,11.0
182,3660,14.0
183,3680,12.6
184,3700,11.8
185,3720,19.8
186,3740,20.2
187,3760,15.4
188,3780,16.6
189,3800,14.4
190,3820,19.2
191,3840,25.8
192,3860,13.4
193,3880,12.4
194,3900,16.2
195,3920,18.8
196,3940,18.6
197,3960,14.0
198,3980,15.2
199,4000,15.4
