,episode,reward
0,20,9.8
1,40,20.8
2,60,9.4
3,80,9.0
4,100,36.2
5,120,10.2
6,140,10.0
7,160,10.2
8,180,12.4
9,200,10.2
10,220,15.6
11,240,11.0
12,260,32.6
13,280,14.0
14,300,10.2
15,320,14.6
16,340,27.4
17,360,11.8
18,380,15.8
19,400,11.2
20,420,12.4
21,440,29.6
22,460,29.6
23,480,22.6
24,500,9.8
25,520,32.0
26,540,10.4
27,560,41.2
28,580,19.0
29,600,9.6
30,620,20.2
31,640,34.4
32,660,30.8
33,680,9.4
34,700,34.2
35,720,10.6
36,740,9.6
37,760,12.6
38,780,20.0
39,800,29.4
40,820,12.8
41,840,8.8
42,860,30.8
43,880,25.8
44,900,28.8
45,920,12.4
46,940,17.0
47,960,16.2
48,980,9.8
49,1000,15.8
50,1020,29.8
51,1040,27.0
52,1060,25.2
53,1080,37.6
54,1100,35.0
55,1120,28.8
56,1140,40.2
57,1160,27.8
58,1180,57.4
59,1200,32.8
60,1220,10.2
61,1240,36.6
62,1260,25.0
63,1280,35.6
64,1300,33.8
65,1320,31.8
66,1340,43.6
67,1360,39.6
68,1380,27.0
69,1400,26.8
70,1420,27.4
71,1440,32.8
72,1460,27.4
73,1480,36.6
74,1500,29.8
75,1520,17.0
76,1540,31.2
77,1560,39.6
78,1580,19.2
79,1600,29.4
80,1620,31.2
81,1640,27.6
82,1660,32.8
83,1680,28.0
84,1700,25.6
85,1720,30.4
86,1740,29.8
87,1760,35.0
88,1780,35.4
89,1800,29.0
90,1820,32.2
91,1840,26.0
92,1860,24.2
93,1880,17.8
94,1900,28.4
95,1920,24.4
96,1940,37.0
97,1960,27.8
98,1980,33.8
99,2000,22.8
100,2020,28.6
101,2040,28.8
102,2060,31.8
103,2080,23.2
104,2100,28.2
105,2120,37.2
106,2140,22.6
107,2160,26.6
108,2180,30.0
109,2200,19.8
110,2220,32.8
111,2240,26.6
112,2260,18.6
113,2280,22.4
114,2300,27.6
115,2320,20.8
116,2340,32.0
117,2360,17.8
118,2380,33.8
119,2400,30.4
120,2420,21.2
121,2440,31.2
122,2460,25.6
123,2480,32.8
124,2500,19.0
125,2520,26.8
126,2540,37.4
127,2560,26.2
128,2580,23.4
129,2600,25.6
130,2620,33.4
131,2640,42.6
132,2660,10.8
133,2680,35.8
134,2700,29.8
135,2720,37.8
136,2740,30.8
137,2760,31.0
138,2780,30.0
139,2800,23.0
140,2820,43.2
141,2840,31.8
142,2860,25.6
143,2880,32.0
144,2900,33.4
145,2920,29.4
146,2940,37.6
147,2960,30.6
148,2980,29.8
149,3000,31.6
150,3020,24.0
151,3040,35.0
152,3060,38.6
153,3080,29.2
154,3100,33.8
155,3120,24.2
156,3140,52.2
157,3160,35.2
158,3180,41.2
159,3200,30.8
160,3220,47.4
161,3240,30.2
162,3260,28.4
163,3280,25.0
164,3300,44.0
165,3320,31.4
166,3340,30.2
167,3360,66.8
168,3380,29.8
169,3400,77.4
170,3420,61.4
171,3440,40.4
172,3460,22.6
173,3480,31.0
174,3500,31.2
175,3520,29.0
176,3540,22.4
177,3560,29.0
178,3580,31.4
179,3600,46.0
180,3620,33.4
181,3640,49.8
182,3660,33.8
183,3680,58.0
184,3700,31.2
185,3720,62.2
186,3740,64.2
187,3760,56.2
188,3780,25.6
189,3800,27.2
190,3820,68.4
191,3840,133.2
192,3860,76.6
193,3880,105.2
194,3900,30.2
195,3920,41.2
196,3940,39.4
197,3960,72.8
198,3980,32.2
199,4000,62.0
