,episode,reward
0,20,9.2
1,40,9.6
2,60,9.6
3,80,9.2
4,100,9.4
5,120,9.6
6,140,9.2
7,160,14.2
8,180,26.8
9,200,50.6
10,220,64.6
11,240,122.8
12,260,21.8
13,280,32.8
14,300,32.0
15,320,122.8
16,340,52.4
17,360,18.0
18,380,15.0
19,400,29.2
20,420,66.4
21,440,56.0
22,460,20.8
23,480,10.6
24,500,19.0
25,520,22.0
26,540,12.6
27,560,10.8
28,580,22.0
29,600,21.4
30,620,21.4
31,640,16.8
32,660,23.8
33,680,69.8
34,700,23.2
35,720,13.4
36,740,22.2
37,760,24.0
38,780,22.6
39,800,20.2
40,820,16.0
41,840,20.0
42,860,21.4
43,880,16.6
44,900,48.6
45,920,17.0
46,940,20.2
47,960,15.2
48,980,23.6
49,1000,19.6
50,1020,22.2
51,1040,11.0
52,1060,12.4
53,1080,9.6
54,1100,12.4
55,1120,9.8
56,1140,19.8
57,1160,25.2
58,1180,24.4
59,1200,19.8
60,1220,18.2
61,1240,20.2
62,1260,21.8
63,1280,20.8
64,1300,13.4
65,1320,13.2
66,1340,16.4
67,1360,13.8
68,1380,16.2
69,1400,22.8
70,1420,13.6
71,1440,14.0
72,1460,23.0
73,1480,19.4
74,1500,20.0
75,1520,19.2
76,1540,21.2
77,1560,10.6
78,1580,22.4
79,1600,19.8
80,1620,12.8
81,1640,35.8
82,1660,19.6
83,1680,20.0
84,1700,14.6
85,1720,24.6
86,1740,17.6
87,1760,11.2
88,1780,21.2
89,1800,11.8
90,1820,19.2
91,1840,17.6
92,1860,13.0
93,1880,12.6
94,1900,15.2
95,1920,13.4
96,1940,18.6
97,1960,16.0
98,1980,18.4
99,2000,12.0
100,2020,16.0
101,2040,9.8
102,2060,20.4
103,2080,11.4
104,2100,12.2
105,2120,17.6
106,2140,31.6
107,2160,20.4
108,2180,41.2
109,2200,9.6
110,2220,44.4
111,2240,58.4
112,2260,10.2
113,2280,44.8
114,2300,23.0
115,2320,21.0
116,2340,15.4
117,2360,38.0
118,2380,22.0
119,2400,43.8
120,2420,60.8
121,2440,140.6
122,2460,22.6
123,2480,28.8
124,2500,21.8
125,2520,13.4
126,2540,10.6
127,2560,14.4
128,2580,10.8
129,2600,11.2
130,2620,10.4
131,2640,21.2
132,2660,23.0
133,2680,19.8
134,2700,20.2
135,2720,19.8
136,2740,137.6
137,2760,42.8
138,2780,34.4
139,2800,49.4
140,2820,43.4
141,2840,14.0
142,2860,26.0
143,2880,15.2
144,2900,16.6
145,2920,20.4
146,2940,20.0
147,2960,14.2
148,2980,11.0
149,3000,17.4
150,3020,27.2
151,3040,22.2
152,3060,52.0
153,3080,118.4
154,3100,19.2
155,3120,18.8
156,3140,84.6
157,3160,20.2
158,3180,10.0
159,3200,23.2
160,3220,18.8
161,3240,11.4
162,3260,15.2
163,3280,16.0
164,3300,24.4
165,3320,26.6
166,3340,44.6
167,3360,58.0
168,3380,92.2
169,3400,78.6
170,3420,137.2
171,3440,17.0
172,3460,109.6
173,3480,142.6
174,3500,125.4
175,3520,102.2
176,3540,112.2
177,3560,107.0
178,3580,70.4
179,3600,77.0
180,3620,86.2
181,3640,60.4
182,3660,53.8
183,3680,109.8
184,3700,13.8
185,3720,15.4
186,3740,9.4
187,3760,57.0
188,3780,38.2
189,3800,90.4
190,3820,133.4
191,3840,40.8
192,3860,59.2
193,3880,38.0
194,3900,19.8
195,3920,23.6
196,3940,13.4
197,3960,62.4
198,3980,75.0
199,4000,21.6
