,episode,reward
0,20,35.8
1,40,10.0
2,60,12.6
3,80,9.0
4,100,9.8
5,120,9.8
6,140,9.2
7,160,9.4
8,180,8.8
9,200,11.6
10,220,10.8
11,240,11.8
12,260,11.2
13,280,9.4
14,300,10.0
15,320,10.8
16,340,18.2
17,360,15.2
18,380,10.6
19,400,11.2
20,420,10.6
21,440,11.6
22,460,13.0
23,480,16.0
24,500,9.8
25,520,16.4
26,540,18.0
27,560,14.2
28,580,17.2
29,600,10.6
30,620,11.0
31,640,9.4
32,660,11.2
33,680,11.2
34,700,10.4
35,720,9.2
36,740,13.6
37,760,10.4
38,780,14.0
39,800,10.6
40,820,10.6
41,840,16.4
42,860,12.8
43,880,10.6
44,900,9.4
45,920,15.0
46,940,9.4
47,960,10.2
48,980,10.4
49,1000,9.4
50,1020,10.2
51,1040,11.6
52,1060,10.4
53,1080,10.0
54,1100,11.2
55,1120,10.0
56,1140,9.0
57,1160,13.8
58,1180,25.2
59,1200,12.0
60,1220,9.6
61,1240,10.4
62,1260,16.6
63,1280,10.4
64,1300,37.6
65,1320,13.4
66,1340,15.4
67,1360,10.4
68,1380,30.8
69,1400,8.8
70,1420,11.2
71,1440,20.2
72,1460,11.6
73,1480,18.8
74,1500,16.2
75,1520,40.6
76,1540,19.6
77,1560,14.8
78,1580,11.6
79,1600,21.4
80,1620,15.6
81,1640,16.6
82,1660,20.4
83,1680,13.6
84,1700,20.6
85,1720,21.4
86,1740,18.6
87,1760,16.0
88,1780,13.2
89,1800,16.6
90,1820,21.8
91,1840,18.0
92,1860,11.6
93,1880,17.8
94,1900,17.6
95,1920,22.2
96,1940,15.6
97,1960,16.0
98,1980,11.4
99,2000,18.6
100,2020,18.8
101,2040,18.6
102,2060,12.4
103,2080,17.6
104,2100,11.0
105,2120,17.0
106,2140,18.4
107,2160,20.2
108,2180,22.6
109,2200,18.8
110,2220,17.8
111,2240,19.0
112,2260,12.2
113,2280,13.4
114,2300,15.4
115,2320,12.4
116,2340,13.2
117,2360,18.0
118,2380,18.0
119,2400,14.0
120,2420,13.8
121,2440,11.2
122,2460,16.2
123,2480,13.8
124,2500,11.0
125,2520,18.6
126,2540,16.2
127,2560,15.4
128,2580,19.2
129,2600,18.8
130,2620,17.0
131,2640,21.0
132,2660,19.8
133,2680,11.6
134,2700,19.6
135,2720,13.2
136,2740,21.8
137,2760,19.0
138,2780,15.0
139,2800,16.2
140,2820,12.4
141,2840,18.6
142,2860,11.8
143,2880,12.2
144,2900,14.4
145,2920,19.6
146,2940,9.8
147,2960,19.8
148,2980,22.2
149,3000,20.2
150,3020,20.6
151,3040,22.0
152,3060,11.0
153,3080,11.2
154,3100,12.4
155,3120,12.8
156,3140,20.6
157,3160,14.8
158,3180,18.4
159,3200,18.8
160,3220,16.6
161,3240,19.4
162,3260,11.4
163,3280,23.6
164,3300,13.8
165,3320,16.2
166,3340,16.8
167,3360,18.0
168,3380,11.6
169,3400,18.6
170,3420,17.8
171,3440,10.4
172,3460,16.2
173,3480,18.4
174,3500,18.2
175,3520,22.6
176,3540,18.8
177,3560,11.8
178,3580,11.0
179,3600,18.2
180,3620,19.2
181,3640,19.0
182,3660,16.4
183,3680,21.2
184,3700,19.8
185,3720,18.2
186,3740,22.0
187,3760,16.0
188,3780,24.2
189,3800,14.8
190,3820,25.4
191,3840,14.6
192,3860,15.6
193,3880,20.8
194,3900,22.4
195,3920,24.8
196,3940,19.6
197,3960,13.6
198,3980,18.8
199,4000,19.2
