,episode,reward
0,20,64.4
1,40,8.8
2,60,9.2
3,80,9.2
4,100,9.2
5,120,9.4
6,140,9.2
7,160,17.6
8,180,9.8
9,200,16.0
10,220,121.2
11,240,99.4
12,260,34.4
13,280,13.6
14,300,13.6
15,320,24.4
16,340,18.0
17,360,17.8
18,380,11.6
19,400,22.4
20,420,13.6
21,440,23.4
22,460,14.4
23,480,13.4
24,500,17.6
25,520,20.0
26,540,17.6
27,560,17.8
28,580,22.8
29,600,11.6
30,620,19.2
31,640,21.2
32,660,20.0
33,680,16.0
34,700,21.8
35,720,17.6
36,740,19.8
37,760,16.2
38,780,12.6
39,800,18.2
40,820,18.4
41,840,18.0
42,860,25.6
43,880,17.2
44,900,15.6
45,920,21.2
46,940,18.8
47,960,15.8
48,980,19.4
49,1000,14.6
50,1020,16.6
51,1040,17.6
52,1060,15.2
53,1080,19.4
54,1100,14.4
55,1120,22.6
56,1140,13.8
57,1160,19.0
58,1180,17.4
59,1200,13.0
60,1220,11.8
61,1240,17.4
62,1260,19.2
63,1280,22.0
64,1300,23.4
65,1320,25.4
66,1340,11.8
67,1360,13.4
68,1380,20.8
69,1400,20.4
70,1420,23.6
71,1440,23.8
72,1460,26.2
73,1480,15.0
74,1500,9.4
75,1520,14.2
76,1540,17.8
77,1560,19.2
78,1580,29.8
79,1600,20.2
80,1620,9.8
81,1640,9.8
82,1660,19.0
83,1680,17.0
84,1700,20.4
85,1720,23.6
86,1740,15.8
87,1760,23.8
88,1780,17.6
89,1800,17.2
90,1820,21.0
91,1840,17.6
92,1860,50.0
93,1880,43.2
94,1900,65.0
95,1920,52.6
96,1940,24.2
97,1960,22.0
98,1980,34.4
99,2000,40.2
100,2020,42.0
101,2040,37.2
102,2060,29.2
103,2080,29.4
104,2100,27.0
105,2120,27.6
106,2140,18.4
107,2160,23.6
108,2180,60.4
109,2200,30.4
110,2220,40.4
111,2240,35.6
112,2260,46.0
113,2280,52.2
114,2300,43.6
115,2320,43.2
116,2340,44.4
117,2360,55.8
118,2380,16.4
119,2400,25.4
120,2420,37.8
121,2440,68.6
122,2460,27.0
123,2480,26.6
124,2500,37.4
125,2520,20.4
126,2540,30.0
127,2560,27.4
128,2580,55.4
129,2600,10.8
130,2620,31.4
131,2640,17.0
132,2660,13.6
133,2680,29.2
134,2700,12.0
135,2720,16.2
136,2740,22.4
137,2760,25.8
138,2780,15.4
139,2800,11.8
140,2820,10.0
141,2840,15.2
142,2860,12.2
143,2880,17.8
144,2900,16.8
145,2920,17.2
146,2940,13.8
147,2960,14.2
148,2980,12.0
149,3000,19.4
150,3020,30.0
151,3040,13.4
152,3060,39.6
153,3080,16.0
154,3100,14.0
155,3120,20.6
156,3140,19.2
157,3160,22.2
158,3180,42.4
159,3200,33.4
160,3220,22.4
161,3240,23.8
162,3260,32.2
163,3280,38.4
164,3300,33.0
165,3320,45.2
166,3340,23.2
167,3360,17.6
168,3380,20.0
169,3400,20.6
170,3420,28.8
171,3440,21.2
172,3460,32.4
173,3480,29.2
174,3500,26.8
175,3520,42.8
176,3540,31.4
177,3560,13.8
178,3580,39.6
179,3600,33.6
180,3620,78.4
181,3640,64.6
182,3660,58.0
183,3680,23.4
184,3700,51.0
185,3720,40.8
186,3740,49.8
187,3760,58.6
188,3780,37.2
189,3800,28.6
190,3820,26.2
191,3840,48.6
192,3860,50.0
193,3880,75.4
194,3900,30.8
195,3920,29.2
196,3940,77.8
197,3960,42.0
198,3980,17.6
199,4000,13.4
