,episode,reward
0,20,10.0
1,40,9.0
2,60,9.4
3,80,9.4
4,100,9.6
5,120,10.0
6,140,9.0
7,160,9.8
8,180,9.2
9,200,9.8
10,220,9.4
11,240,22.4
12,260,10.0
13,280,9.4
14,300,9.8
15,320,9.8
16,340,9.8
17,360,9.4
18,380,23.2
19,400,41.8
20,420,29.4
21,440,10.6
22,460,9.4
23,480,11.6
24,500,17.8
25,520,13.2
26,540,10.4
27,560,13.4
28,580,13.2
29,600,10.8
30,620,16.8
31,640,10.2
32,660,10.4
33,680,15.4
34,700,16.2
35,720,10.0
36,740,15.8
37,760,11.6
38,780,13.6
39,800,17.8
40,820,12.4
41,840,11.8
42,860,10.0
43,880,14.0
44,900,10.0
45,920,17.8
46,940,11.8
47,960,9.2
48,980,14.4
49,1000,14.6
50,1020,13.8
51,1040,10.4
52,1060,12.4
53,1080,16.8
54,1100,11.4
55,1120,15.0
56,1140,9.4
57,1160,19.6
58,1180,22.8
59,1200,19.4
60,1220,17.0
61,1240,25.0
62,1260,19.8
63,1280,21.0
64,1300,16.6
65,1320,11.4
66,1340,9.6
67,1360,10.0
68,1380,17.2
69,1400,24.0
70,1420,14.0
71,1440,13.4
72,1460,14.0
73,1480,26.8
74,1500,22.8
75,1520,28.6
76,1540,26.6
77,1560,11.6
78,1580,11.0
79,1600,13.2
80,1620,22.2
81,1640,24.8
82,1660,27.8
83,1680,27.0
84,1700,26.0
85,1720,20.2
86,1740,25.0
87,1760,17.2
88,1780,35.6
89,1800,16.0
90,1820,34.8
91,1840,26.2
92,1860,26.4
93,1880,18.6
94,1900,19.0
95,1920,16.4
96,1940,25.2
97,1960,14.4
98,1980,20.6
99,2000,20.8
100,2020,34.4
101,2040,38.4
102,2060,34.2
103,2080,22.4
104,2100,37.8
105,2120,20.8
106,2140,27.4
107,2160,28.0
108,2180,29.0
109,2200,29.2
110,2220,23.8
111,2240,32.0
112,2260,24.8
113,2280,23.0
114,2300,12.4
115,2320,30.6
116,2340,32.2
117,2360,26.4
118,2380,39.2
119,2400,33.6
120,2420,24.6
121,2440,28.4
122,2460,35.4
123,2480,23.4
124,2500,32.6
125,2520,29.0
126,2540,36.0
127,2560,25.0
128,2580,17.2
129,2600,24.2
130,2620,35.4
131,2640,28.8
132,2660,31.6
133,2680,30.0
134,2700,44.4
135,2720,29.2
136,2740,36.0
137,2760,30.0
138,2780,27.4
139,2800,17.2
140,2820,17.2
141,2840,29.4
142,2860,37.4
143,2880,21.0
144,2900,14.0
145,2920,13.6
146,2940,12.2
147,2960,14.8
148,2980,14.0
149,3000,15.0
