,episode,reward
0,20,9.0
1,40,9.0
2,60,9.6
3,80,9.2
4,100,9.6
5,120,9.6
6,140,10.0
7,160,10.6
8,180,14.0
9,200,45.0
10,220,10.4
11,240,21.6
12,260,11.0
13,280,11.2
14,300,18.8
15,320,16.0
16,340,10.6
17,360,15.8
18,380,13.8
19,400,23.6
20,420,21.2
21,440,20.0
22,460,21.6
23,480,22.2
24,500,14.2
25,520,17.4
26,540,21.6
27,560,20.0
28,580,17.0
29,600,21.4
30,620,23.6
31,640,9.6
32,660,51.2
33,680,52.0
34,700,11.6
35,720,12.0
36,740,20.4
37,760,22.4
38,780,18.0
39,800,10.8
40,820,21.0
41,840,18.2
42,860,15.2
43,880,16.2
44,900,10.4
45,920,11.4
46,940,19.6
47,960,21.4
48,980,11.8
49,1000,22.8
50,1020,21.4
51,1040,11.2
52,1060,11.6
53,1080,20.4
54,1100,18.4
55,1120,16.4
56,1140,15.8
57,1160,18.4
58,1180,20.6
59,1200,22.4
60,1220,18.6
61,1240,20.4
62,1260,15.0
63,1280,20.6
64,1300,20.4
65,1320,16.0
66,1340,21.2
67,1360,16.2
68,1380,20.4
69,1400,18.4
70,1420,21.4
71,1440,17.0
72,1460,19.2
73,1480,21.6
74,1500,16.2
75,1520,11.2
76,1540,13.6
77,1560,15.6
78,1580,18.2
79,1600,17.8
80,1620,19.8
81,1640,12.6
82,1660,22.0
83,1680,20.2
84,1700,17.0
85,1720,18.0
86,1740,21.2
87,1760,19.2
88,1780,20.2
89,1800,20.4
90,1820,15.0
91,1840,19.2
92,1860,17.4
93,1880,19.8
94,1900,16.2
95,1920,19.0
96,1940,18.8
97,1960,17.6
98,1980,16.2
99,2000,18.6
100,2020,14.0
101,2040,17.2
102,2060,17.8
103,2080,12.2
104,2100,13.8
105,2120,16.0
106,2140,10.8
107,2160,13.2
108,2180,23.2
109,2200,20.8
110,2220,12.2
111,2240,17.4
112,2260,18.0
113,2280,19.2
114,2300,18.6
115,2320,22.4
116,2340,25.8
117,2360,16.2
118,2380,22.8
119,2400,16.8
120,2420,16.4
121,2440,39.0
122,2460,46.4
123,2480,20.0
124,2500,29.0
125,2520,33.6
126,2540,19.4
127,2560,10.8
128,2580,12.2
129,2600,9.8
130,2620,18.6
131,2640,20.0
132,2660,13.0
133,2680,25.0
134,2700,22.0
135,2720,22.6
136,2740,12.6
137,2760,15.4
138,2780,12.6
139,2800,15.0
140,2820,13.2
141,2840,17.8
142,2860,11.2
143,2880,45.8
144,2900,13.2
145,2920,20.0
146,2940,16.4
147,2960,17.0
148,2980,20.2
149,3000,24.6
