,episode,reward
0,20,22.0
1,40,28.4
2,60,11.6
3,80,9.4
4,100,13.6
5,120,9.0
6,140,9.4
7,160,9.2
8,180,9.4
9,200,9.6
10,220,9.8
11,240,9.4
12,260,9.8
13,280,9.4
14,300,9.6
15,320,9.2
16,340,9.6
17,360,9.0
18,380,9.4
19,400,10.0
20,420,9.6
21,440,9.0
22,460,9.6
23,480,9.8
24,500,9.4
25,520,9.8
26,540,9.6
27,560,9.8
28,580,10.0
29,600,48.2
30,620,10.0
31,640,10.2
32,660,10.0
33,680,10.2
34,700,10.6
35,720,10.2
36,740,9.6
37,760,10.0
38,780,9.6
39,800,9.8
40,820,10.2
41,840,10.6
42,860,10.0
43,880,9.6
44,900,10.0
45,920,9.4
46,940,9.8
47,960,9.6
48,980,9.4
49,1000,9.8
50,1020,10.0
51,1040,9.4
52,1060,10.0
53,1080,9.8
54,1100,9.2
55,1120,9.8
56,1140,9.4
57,1160,10.0
58,1180,9.8
59,1200,10.0
60,1220,10.2
61,1240,9.8
62,1260,9.8
63,1280,9.8
64,1300,9.8
65,1320,10.2
66,1340,9.8
67,1360,25.0
68,1380,21.2
69,1400,10.0
70,1420,9.8
71,1440,9.8
72,1460,10.0
73,1480,11.6
74,1500,9.8
75,1520,10.4
76,1540,9.8
77,1560,10.0
78,1580,9.6
79,1600,10.0
80,1620,9.8
81,1640,9.4
82,1660,9.4
83,1680,9.6
84,1700,19.2
85,1720,10.0
86,1740,9.8
87,1760,10.0
88,1780,9.6
89,1800,11.0
90,1820,10.8
91,1840,9.6
92,1860,9.6
93,1880,9.6
94,1900,10.2
95,1920,9.6
96,1940,10.0
97,1960,9.8
98,1980,9.4
99,2000,10.2
100,2020,12.4
101,2040,11.4
102,2060,9.8
103,2080,9.6
104,2100,9.4
105,2120,10.4
106,2140,9.6
107,2160,9.6
108,2180,11.2
109,2200,9.4
110,2220,10.6
111,2240,10.4
112,2260,9.4
113,2280,9.4
114,2300,10.8
115,2320,13.8
116,2340,10.8
117,2360,12.4
118,2380,10.4
119,2400,10.6
120,2420,9.6
121,2440,11.2
122,2460,10.6
123,2480,11.4
124,2500,9.2
125,2520,9.2
126,2540,10.8
127,2560,10.2
128,2580,9.8
129,2600,9.4
130,2620,13.6
131,2640,11.8
132,2660,12.6
133,2680,9.6
134,2700,13.2
135,2720,11.0
136,2740,9.4
137,2760,13.6
138,2780,11.2
139,2800,10.4
140,2820,9.8
141,2840,11.6
142,2860,12.2
143,2880,8.8
144,2900,10.6
145,2920,10.4
146,2940,14.2
147,2960,11.4
148,2980,9.4
149,3000,17.4
