,episode,reward
0,20,17.4
1,40,9.6
2,60,17.0
3,80,9.2
4,100,9.4
5,120,9.6
6,140,9.6
7,160,9.0
8,180,9.6
9,200,9.8
10,220,9.2
11,240,9.4
12,260,10.0
13,280,9.8
14,300,14.6
15,320,9.6
16,340,10.0
17,360,15.4
18,380,20.0
19,400,13.0
20,420,15.2
21,440,12.2
22,460,10.6
23,480,10.0
24,500,16.4
25,520,9.8
26,540,18.8
27,560,15.0
28,580,13.4
29,600,18.4
30,620,9.4
31,640,16.8
32,660,10.4
33,680,9.4
34,700,15.0
35,720,17.4
36,740,18.0
37,760,17.6
38,780,22.0
39,800,16.0
40,820,9.6
41,840,25.8
42,860,16.0
43,880,21.8
44,900,21.0
45,920,20.2
46,940,24.8
47,960,9.2
48,980,20.8
49,1000,25.2
50,1020,18.0
51,1040,24.0
52,1060,23.2
53,1080,23.4
54,1100,16.8
55,1120,10.0
56,1140,14.8
57,1160,19.2
58,1180,25.6
59,1200,23.0
60,1220,10.2
61,1240,23.8
62,1260,22.6
63,1280,28.0
64,1300,20.2
65,1320,15.0
66,1340,21.0
67,1360,9.8
68,1380,9.8
69,1400,10.0
70,1420,18.4
71,1440,29.6
72,1460,20.2
73,1480,21.4
74,1500,27.2
75,1520,21.6
76,1540,27.6
77,1560,22.4
78,1580,20.0
79,1600,19.0
80,1620,17.0
81,1640,23.8
82,1660,15.4
83,1680,23.0
84,1700,21.6
85,1720,23.2
86,1740,19.4
87,1760,20.4
88,1780,16.6
89,1800,24.4
90,1820,22.4
91,1840,24.4
92,1860,26.0
93,1880,17.6
94,1900,14.8
95,1920,22.0
96,1940,10.2
97,1960,9.6
98,1980,9.4
99,2000,14.0
100,2020,17.8
101,2040,14.8
102,2060,15.2
103,2080,21.4
104,2100,31.0
105,2120,21.0
106,2140,9.4
107,2160,9.8
108,2180,10.0
109,2200,22.0
110,2220,19.4
111,2240,21.2
112,2260,18.4
113,2280,15.8
114,2300,41.0
115,2320,25.8
116,2340,25.2
117,2360,32.0
118,2380,22.8
119,2400,32.8
120,2420,33.8
121,2440,21.8
122,2460,35.0
123,2480,29.8
124,2500,17.6
125,2520,26.2
126,2540,28.2
127,2560,26.2
128,2580,21.0
129,2600,34.2
130,2620,27.2
131,2640,32.4
132,2660,27.0
133,2680,29.0
134,2700,23.0
135,2720,33.2
136,2740,22.2
137,2760,21.4
138,2780,28.0
139,2800,23.2
140,2820,37.8
141,2840,36.2
142,2860,36.0
143,2880,29.0
144,2900,23.8
145,2920,19.8
146,2940,22.6
147,2960,31.2
148,2980,20.6
149,3000,27.2
