,episode,reward
0,20,25.4
1,40,19.4
2,60,18.6
3,80,34.0
4,100,14.0
5,120,10.8
6,140,9.2
7,160,9.6
8,180,11.4
9,200,23.6
10,220,11.4
11,240,9.8
12,260,9.6
13,280,13.8
14,300,10.4
15,320,9.4
16,340,10.8
17,360,12.4
18,380,19.6
19,400,10.4
20,420,14.2
21,440,11.0
22,460,10.4
23,480,21.0
24,500,14.6
25,520,21.2
26,540,17.0
27,560,27.0
28,580,15.8
29,600,14.4
30,620,16.4
31,640,13.4
32,660,17.2
33,680,11.8
34,700,11.0
35,720,11.6
36,740,12.4
37,760,9.8
38,780,10.2
39,800,11.0
40,820,11.2
41,840,10.2
42,860,9.8
43,880,10.0
44,900,11.4
45,920,11.4
46,940,10.0
47,960,10.4
48,980,21.2
49,1000,10.0
50,1020,10.4
51,1040,9.0
52,1060,14.6
53,1080,11.4
54,1100,10.0
55,1120,16.0
56,1140,24.6
57,1160,9.6
58,1180,10.4
59,1200,15.2
60,1220,15.4
61,1240,16.4
62,1260,38.0
63,1280,13.4
64,1300,12.2
65,1320,24.8
66,1340,22.6
67,1360,16.6
68,1380,11.0
69,1400,11.2
70,1420,11.0
71,1440,16.2
72,1460,11.6
73,1480,9.2
74,1500,10.6
75,1520,9.2
76,1540,10.0
77,1560,55.2
78,1580,25.0
79,1600,9.4
80,1620,11.6
81,1640,14.8
82,1660,16.0
83,1680,9.8
84,1700,15.8
85,1720,11.8
86,1740,22.2
87,1760,14.2
88,1780,23.0
89,1800,10.0
90,1820,13.8
91,1840,10.8
92,1860,30.6
93,1880,15.8
94,1900,15.0
95,1920,20.6
96,1940,25.4
97,1960,10.6
98,1980,14.0
99,2000,16.8
100,2020,14.4
101,2040,18.8
102,2060,22.4
103,2080,14.0
104,2100,11.2
105,2120,11.4
106,2140,9.4
107,2160,14.8
108,2180,10.0
109,2200,15.8
110,2220,12.4
111,2240,11.4
112,2260,8.8
113,2280,9.6
114,2300,11.2
115,2320,14.0
116,2340,17.6
117,2360,15.2
118,2380,43.0
119,2400,29.4
120,2420,46.0
121,2440,32.0
122,2460,11.0
123,2480,11.0
124,2500,10.8
125,2520,15.6
126,2540,11.8
127,2560,10.8
128,2580,15.6
129,2600,18.4
130,2620,13.6
131,2640,14.8
132,2660,15.0
133,2680,18.2
134,2700,14.0
135,2720,13.4
136,2740,11.0
137,2760,12.6
138,2780,15.2
139,2800,13.2
140,2820,12.0
141,2840,21.6
142,2860,9.6
143,2880,9.8
144,2900,17.6
145,2920,12.0
146,2940,13.0
147,2960,16.8
148,2980,9.8
149,3000,9.8
