,episode,reward
0,20,44.8
1,40,9.4
2,60,9.0
3,80,9.0
4,100,9.8
5,120,9.2
6,140,9.6
7,160,9.2
8,180,9.8
9,200,10.2
10,220,9.6
11,240,9.8
12,260,9.6
13,280,10.2
14,300,10.4
15,320,9.8
16,340,9.8
17,360,10.2
18,380,10.2
19,400,9.2
20,420,9.4
21,440,9.6
22,460,9.4
23,480,9.8
24,500,9.2
25,520,17.2
26,540,21.4
27,560,12.8
28,580,11.0
29,600,13.4
30,620,9.2
31,640,13.8
32,660,17.2
33,680,8.8
34,700,9.2
35,720,12.6
36,740,13.8
37,760,14.6
38,780,18.4
39,800,20.4
40,820,17.8
41,840,17.8
42,860,23.6
43,880,12.8
44,900,28.0
45,920,18.0
46,940,12.2
47,960,17.6
48,980,21.4
49,1000,9.8
50,1020,15.2
51,1040,28.0
52,1060,16.0
53,1080,19.6
54,1100,22.8
55,1120,17.0
56,1140,9.8
57,1160,9.0
58,1180,9.6
59,1200,11.2
60,1220,10.8
61,1240,13.6
62,1260,17.6
63,1280,15.6
64,1300,16.0
65,1320,10.4
66,1340,9.8
67,1360,17.6
68,1380,17.2
69,1400,20.2
70,1420,19.4
71,1440,16.0
72,1460,17.4
73,1480,10.8
74,1500,17.2
75,1520,20.0
76,1540,24.8
77,1560,16.8
78,1580,11.8
79,1600,14.0
80,1620,29.4
81,1640,21.8
82,1660,16.2
83,1680,17.4
84,1700,17.0
85,1720,10.8
86,1740,10.0
87,1760,12.2
88,1780,13.2
89,1800,13.6
90,1820,48.0
91,1840,17.8
92,1860,26.2
93,1880,12.4
94,1900,12.0
95,1920,10.0
96,1940,16.4
97,1960,21.4
98,1980,24.2
99,2000,19.6
100,2020,27.4
101,2040,9.6
102,2060,10.0
103,2080,10.8
104,2100,11.4
105,2120,15.4
106,2140,15.2
107,2160,21.2
108,2180,18.8
109,2200,16.4
110,2220,22.2
111,2240,21.6
112,2260,12.0
113,2280,9.4
114,2300,23.2
115,2320,18.4
116,2340,12.2
117,2360,9.8
118,2380,26.4
119,2400,20.8
120,2420,26.2
121,2440,42.8
122,2460,16.4
123,2480,20.4
124,2500,9.8
125,2520,41.2
126,2540,22.4
127,2560,13.2
128,2580,23.8
129,2600,18.2
130,2620,16.0
131,2640,9.0
132,2660,11.4
133,2680,18.4
134,2700,18.0
135,2720,24.0
136,2740,31.4
137,2760,19.4
138,2780,30.2
139,2800,32.6
140,2820,40.0
141,2840,10.4
142,2860,18.0
143,2880,13.4
144,2900,22.2
145,2920,23.4
146,2940,14.0
147,2960,13.6
148,2980,22.0
149,3000,19.2
