,episode,reward
0,20,25.8
1,40,11.4
2,60,13.2
3,80,9.8
4,100,9.4
5,120,9.6
6,140,9.4
7,160,9.6
8,180,9.0
9,200,9.6
10,220,9.6
11,240,9.0
12,260,9.4
13,280,8.6
14,300,9.2
15,320,9.4
16,340,9.2
17,360,9.4
18,380,9.2
19,400,9.6
20,420,8.8
21,440,9.2
22,460,9.2
23,480,9.2
24,500,10.0
25,520,9.2
26,540,10.0
27,560,10.4
28,580,9.4
29,600,13.4
30,620,9.8
31,640,9.8
32,660,9.2
33,680,9.4
34,700,9.2
35,720,9.6
36,740,9.8
37,760,10.0
38,780,9.4
39,800,9.8
40,820,13.8
41,840,10.6
42,860,9.8
43,880,9.6
44,900,9.6
45,920,10.2
46,940,9.8
47,960,9.6
48,980,10.0
49,1000,9.6
50,1020,9.4
51,1040,9.4
52,1060,9.0
53,1080,9.0
54,1100,9.2
55,1120,10.0
56,1140,9.6
57,1160,9.4
58,1180,9.0
59,1200,9.8
60,1220,12.8
61,1240,8.6
62,1260,9.6
63,1280,9.2
64,1300,9.2
65,1320,9.6
66,1340,11.2
67,1360,9.8
68,1380,11.4
69,1400,9.6
70,1420,9.8
71,1440,9.4
72,1460,11.4
73,1480,9.8
74,1500,9.8
75,1520,9.0
76,1540,9.8
77,1560,10.0
78,1580,9.6
79,1600,11.6
80,1620,9.6
81,1640,10.4
82,1660,10.8
83,1680,9.8
84,1700,9.8
85,1720,9.8
86,1740,9.2
87,1760,10.4
88,1780,12.4
89,1800,11.4
90,1820,11.2
91,1840,10.6
92,1860,10.4
93,1880,9.8
94,1900,13.2
95,1920,9.4
96,1940,9.2
97,1960,12.0
98,1980,9.2
99,2000,9.6
100,2020,13.6
101,2040,10.0
102,2060,10.4
103,2080,10.2
104,2100,12.0
105,2120,14.6
106,2140,9.4
107,2160,9.6
108,2180,11.8
109,2200,14.4
110,2220,11.0
111,2240,12.8
112,2260,11.2
113,2280,15.4
114,2300,10.4
115,2320,12.4
116,2340,13.2
117,2360,11.2
118,2380,13.8
119,2400,12.6
120,2420,15.6
121,2440,16.4
122,2460,18.8
123,2480,13.6
124,2500,12.0
125,2520,16.2
126,2540,16.0
127,2560,14.8
128,2580,11.4
129,2600,14.0
130,2620,16.2
131,2640,16.6
132,2660,13.0
133,2680,12.4
134,2700,12.6
135,2720,13.8
136,2740,12.2
137,2760,11.2
138,2780,15.6
139,2800,12.0
140,2820,14.8
141,2840,14.2
142,2860,12.8
143,2880,17.0
144,2900,11.6
145,2920,12.4
146,2940,13.6
147,2960,15.6
148,2980,13.0
149,3000,14.8
