,episode,reward
0,20,12.2
1,40,9.6
2,60,9.2
3,80,9.4
4,100,9.2
5,120,9.6
6,140,9.6
7,160,9.2
8,180,9.6
9,200,9.8
10,220,10.0
11,240,9.8
12,260,11.2
13,280,15.0
14,300,9.4
15,320,9.6
16,340,9.6
17,360,9.6
18,380,14.2
19,400,9.6
20,420,9.8
21,440,9.6
22,460,9.6
23,480,9.6
24,500,9.0
25,520,9.0
26,540,8.8
27,560,9.6
28,580,9.4
29,600,15.8
30,620,9.8
31,640,10.0
32,660,10.2
33,680,9.8
34,700,10.4
35,720,9.8
36,740,9.8
37,760,9.6
38,780,9.4
39,800,10.0
40,820,9.8
41,840,10.0
42,860,9.4
43,880,10.8
44,900,10.0
45,920,11.0
46,940,10.0
47,960,10.2
48,980,10.0
49,1000,10.0
50,1020,10.0
51,1040,10.0
52,1060,9.6
53,1080,10.4
54,1100,9.8
55,1120,11.6
56,1140,10.8
57,1160,16.4
58,1180,13.4
59,1200,11.4
60,1220,10.0
61,1240,10.8
62,1260,10.8
63,1280,11.4
64,1300,11.8
65,1320,13.2
66,1340,11.2
67,1360,12.2
68,1380,12.0
69,1400,12.4
70,1420,14.0
71,1440,15.0
72,1460,12.2
73,1480,12.6
74,1500,14.0
75,1520,15.0
76,1540,13.4
77,1560,15.2
78,1580,14.4
79,1600,13.6
80,1620,18.6
81,1640,14.8
82,1660,15.4
83,1680,16.0
84,1700,12.8
85,1720,12.4
86,1740,16.4
87,1760,15.2
88,1780,15.2
89,1800,13.8
90,1820,14.2
91,1840,15.6
92,1860,14.4
93,1880,11.8
94,1900,15.6
95,1920,15.2
96,1940,14.6
97,1960,14.6
98,1980,16.4
99,2000,15.4
100,2020,13.8
101,2040,16.0
102,2060,15.6
103,2080,16.0
104,2100,15.0
105,2120,12.6
106,2140,14.4
107,2160,12.8
108,2180,14.4
109,2200,15.6
110,2220,12.8
111,2240,15.6
112,2260,14.6
113,2280,14.8
114,2300,15.0
115,2320,16.2
116,2340,13.6
117,2360,12.4
118,2380,11.6
119,2400,15.2
120,2420,15.4
121,2440,17.2
122,2460,15.6
123,2480,14.2
124,2500,16.6
125,2520,17.4
126,2540,14.8
127,2560,15.2
128,2580,16.8
129,2600,13.2
130,2620,13.0
131,2640,15.8
132,2660,16.2
133,2680,14.4
134,2700,15.8
135,2720,19.6
136,2740,16.0
137,2760,14.2
138,2780,15.4
139,2800,14.8
140,2820,13.4
141,2840,16.8
142,2860,14.0
143,2880,14.8
144,2900,17.2
145,2920,12.4
146,2940,15.0
147,2960,13.8
148,2980,14.8
149,3000,15.8
