,episode,reward
0,20,19.8
1,40,9.4
2,60,9.2
3,80,9.4
4,100,8.8
5,120,9.6
6,140,11.0
7,160,9.6
8,180,10.4
9,200,12.0
10,220,17.2
11,240,31.2
12,260,10.0
13,280,38.0
14,300,27.4
15,320,13.2
16,340,20.0
17,360,19.4
18,380,28.0
19,400,110.0
20,420,14.0
21,440,26.8
22,460,23.2
23,480,9.2
24,500,43.4
25,520,26.6
26,540,21.2
27,560,11.2
28,580,27.0
29,600,10.0
30,620,11.8
31,640,15.2
32,660,12.2
33,680,43.8
34,700,52.0
35,720,26.6
36,740,34.2
37,760,37.2
38,780,28.2
39,800,37.6
40,820,14.4
41,840,16.0
42,860,25.8
43,880,13.4
44,900,21.0
45,920,59.0
46,940,24.6
47,960,16.2
48,980,39.6
49,1000,124.6
50,1020,92.0
51,1040,11.0
52,1060,63.8
53,1080,10.6
54,1100,18.6
55,1120,26.2
56,1140,26.0
57,1160,22.4
58,1180,17.8
59,1200,24.2
60,1220,44.6
61,1240,22.6
62,1260,11.2
63,1280,21.4
64,1300,80.6
65,1320,22.8
66,1340,41.6
67,1360,32.0
68,1380,18.8
69,1400,22.4
70,1420,18.0
71,1440,15.6
72,1460,17.6
73,1480,154.2
74,1500,66.2
75,1520,41.8
76,1540,9.6
77,1560,37.6
78,1580,27.4
79,1600,92.6
80,1620,38.0
81,1640,9.2
82,1660,10.2
83,1680,56.2
84,1700,20.0
85,1720,163.2
86,1740,179.8
87,1760,139.8
88,1780,68.2
89,1800,64.4
90,1820,11.4
91,1840,110.6
92,1860,17.6
93,1880,35.4
94,1900,56.2
95,1920,22.8
96,1940,24.8
97,1960,50.8
98,1980,16.4
99,2000,9.8
100,2020,9.4
101,2040,9.4
102,2060,9.6
103,2080,34.8
104,2100,11.0
105,2120,11.2
106,2140,11.0
107,2160,14.4
108,2180,13.8
109,2200,10.6
110,2220,22.2
111,2240,30.0
112,2260,9.4
113,2280,28.0
114,2300,21.8
115,2320,91.6
116,2340,11.2
117,2360,9.6
118,2380,14.8
119,2400,20.0
120,2420,48.0
121,2440,14.2
122,2460,15.2
123,2480,10.2
124,2500,11.2
125,2520,10.8
126,2540,10.0
127,2560,14.8
128,2580,24.6
129,2600,9.6
130,2620,44.8
131,2640,32.8
132,2660,9.6
133,2680,10.2
134,2700,12.2
135,2720,41.6
136,2740,13.4
137,2760,15.6
138,2780,18.8
139,2800,12.8
140,2820,35.4
141,2840,10.6
142,2860,14.8
143,2880,27.2
144,2900,28.6
145,2920,8.8
146,2940,9.6
147,2960,15.4
148,2980,12.4
149,3000,32.6
