,episode,reward
0,20,10.4
1,40,12.4
2,60,9.4
3,80,48.2
4,100,9.6
5,120,9.4
6,140,13.2
7,160,16.8
8,180,47.8
9,200,35.6
10,220,30.6
11,240,9.0
12,260,41.6
13,280,36.6
14,300,9.6
15,320,60.0
16,340,17.2
17,360,12.2
18,380,12.8
19,400,12.0
20,420,44.8
21,440,9.6
22,460,9.8
23,480,10.0
24,500,9.8
25,520,10.4
26,540,10.0
27,560,36.8
28,580,10.2
29,600,18.2
30,620,9.2
31,640,9.2
32,660,9.8
33,680,9.6
34,700,9.0
35,720,9.8
36,740,10.4
37,760,10.4
38,780,10.0
39,800,15.6
40,820,11.0
41,840,13.0
42,860,10.2
43,880,15.8
44,900,14.4
45,920,11.0
46,940,12.8
47,960,12.8
48,980,11.2
49,1000,11.2
50,1020,11.0
51,1040,8.8
52,1060,9.2
53,1080,9.2
54,1100,9.4
55,1120,9.0
56,1140,9.2
57,1160,10.0
58,1180,9.4
59,1200,8.8
60,1220,9.2
61,1240,9.2
62,1260,9.4
63,1280,9.0
64,1300,9.2
65,1320,9.0
66,1340,9.2
67,1360,9.4
68,1380,9.0
69,1400,12.6
70,1420,11.2
71,1440,9.6
72,1460,9.0
73,1480,9.0
74,1500,10.8
75,1520,12.8
76,1540,9.4
77,1560,9.6
78,1580,9.4
79,1600,16.0
80,1620,10.0
81,1640,10.8
82,1660,19.4
83,1680,14.6
84,1700,10.4
85,1720,9.6
86,1740,15.6
87,1760,23.0
88,1780,15.2
89,1800,23.0
90,1820,25.0
91,1840,11.2
92,1860,11.0
93,1880,30.6
94,1900,21.4
95,1920,9.6
96,1940,13.0
97,1960,9.4
98,1980,9.2
99,2000,9.6
100,2020,9.2
101,2040,9.2
102,2060,9.2
103,2080,9.8
104,2100,26.0
105,2120,9.6
106,2140,52.6
107,2160,17.2
108,2180,11.4
109,2200,9.2
110,2220,11.0
111,2240,12.6
112,2260,9.8
113,2280,9.8
114,2300,9.2
115,2320,9.6
116,2340,12.8
117,2360,11.0
118,2380,9.6
119,2400,9.2
120,2420,11.4
121,2440,9.0
122,2460,9.8
123,2480,9.8
124,2500,9.8
125,2520,8.8
126,2540,10.0
127,2560,9.8
128,2580,9.4
129,2600,9.0
130,2620,9.2
131,2640,11.0
132,2660,8.8
133,2680,9.0
134,2700,11.4
135,2720,9.0
136,2740,9.4
137,2760,9.4
138,2780,9.6
139,2800,10.6
140,2820,10.0
141,2840,9.4
142,2860,9.0
143,2880,11.6
144,2900,9.4
145,2920,13.8
146,2940,11.0
147,2960,8.8
148,2980,25.8
149,3000,9.2
