,episode,reward
0,20,16.4
1,40,11.8
2,60,9.0
3,80,9.4
4,100,9.0
5,120,9.6
6,140,9.2
7,160,9.4
8,180,14.6
9,200,78.6
10,220,183.6
11,240,15.8
12,260,24.0
13,280,99.8
14,300,101.4
15,320,190.0
16,340,17.0
17,360,189.8
18,380,125.4
19,400,234.8
20,420,134.6
21,440,104.2
22,460,41.2
23,480,172.2
24,500,31.2
25,520,181.2
26,540,147.4
27,560,167.6
28,580,194.0
29,600,177.2
30,620,171.6
31,640,200.0
32,660,174.2
33,680,103.2
34,700,98.8
35,720,90.6
36,740,192.8
37,760,158.8
38,780,160.4
39,800,113.6
40,820,202.0
41,840,208.0
42,860,188.8
43,880,112.8
44,900,90.0
45,920,53.6
46,940,70.6
47,960,70.6
48,980,87.8
49,1000,195.4
50,1020,62.0
51,1040,103.8
52,1060,134.2
53,1080,90.6
54,1100,41.2
55,1120,110.0
56,1140,56.8
57,1160,43.8
58,1180,84.8
59,1200,158.4
60,1220,195.0
61,1240,184.8
62,1260,146.6
63,1280,77.8
64,1300,184.8
65,1320,136.6
66,1340,140.6
67,1360,48.0
68,1380,121.4
69,1400,132.2
70,1420,27.2
71,1440,26.2
72,1460,149.8
73,1480,20.4
74,1500,10.8
75,1520,77.4
76,1540,52.8
77,1560,40.8
78,1580,66.8
79,1600,87.0
80,1620,56.2
81,1640,55.0
82,1660,41.4
83,1680,49.6
84,1700,42.4
85,1720,27.0
86,1740,48.0
87,1760,30.2
88,1780,19.6
89,1800,96.4
90,1820,165.4
91,1840,210.2
92,1860,52.4
93,1880,91.4
94,1900,187.6
95,1920,26.4
96,1940,145.8
97,1960,114.8
98,1980,73.8
99,2000,78.6
100,2020,95.8
101,2040,94.8
102,2060,43.8
103,2080,121.0
104,2100,94.0
105,2120,77.2
106,2140,109.2
107,2160,48.4
108,2180,12.0
109,2200,9.4
110,2220,16.2
111,2240,9.0
112,2260,15.6
113,2280,12.2
114,2300,13.2
115,2320,113.2
116,2340,10.8
117,2360,24.6
118,2380,12.8
119,2400,94.4
120,2420,13.2
121,2440,9.6
122,2460,15.4
123,2480,37.8
124,2500,61.2
125,2520,124.0
126,2540,58.0
127,2560,101.4
128,2580,138.8
129,2600,190.6
130,2620,163.8
131,2640,93.8
132,2660,204.2
133,2680,190.6
134,2700,207.2
135,2720,114.0
136,2740,126.4
137,2760,57.2
138,2780,14.2
139,2800,159.0
140,2820,57.8
141,2840,11.0
142,2860,10.8
143,2880,9.8
144,2900,80.2
145,2920,49.8
146,2940,15.4
147,2960,11.4
148,2980,11.8
149,3000,9.2
