,episode,reward
0,20,9.4
1,40,10.2
2,60,9.2
3,80,9.4
4,100,9.2
5,120,9.6
6,140,9.2
7,160,9.6
8,180,9.6
9,200,9.4
10,220,11.0
11,240,11.0
12,260,8.8
13,280,11.6
14,300,9.2
15,320,11.6
16,340,21.8
17,360,19.4
18,380,11.2
19,400,26.4
20,420,18.4
21,440,10.6
22,460,16.8
23,480,18.8
24,500,19.0
25,520,16.4
26,540,11.6
27,560,11.2
28,580,20.0
29,600,12.4
30,620,9.4
31,640,10.8
32,660,17.6
33,680,19.6
34,700,29.0
35,720,19.0
36,740,20.2
37,760,17.2
38,780,30.4
39,800,34.2
40,820,20.4
41,840,19.0
42,860,20.0
43,880,19.2
44,900,14.6
45,920,19.4
46,940,18.0
47,960,21.4
48,980,12.8
49,1000,16.2
50,1020,16.6
51,1040,15.0
52,1060,12.8
53,1080,14.4
54,1100,13.2
55,1120,22.6
56,1140,28.2
57,1160,16.2
58,1180,18.8
59,1200,18.6
60,1220,19.4
61,1240,15.4
62,1260,17.0
63,1280,26.4
64,1300,17.2
65,1320,25.2
66,1340,15.4
67,1360,20.6
68,1380,19.6
69,1400,23.8
70,1420,24.8
71,1440,37.6
72,1460,15.0
73,1480,25.8
74,1500,18.8
75,1520,20.4
76,1540,24.4
77,1560,25.8
78,1580,39.8
79,1600,25.0
80,1620,31.8
81,1640,21.8
82,1660,30.6
83,1680,27.4
84,1700,28.8
85,1720,13.0
86,1740,36.4
87,1760,9.8
88,1780,31.8
89,1800,23.6
90,1820,23.8
91,1840,34.0
92,1860,20.8
93,1880,15.8
94,1900,11.6
95,1920,38.0
96,1940,18.4
97,1960,10.2
98,1980,12.8
99,2000,25.4
100,2020,31.4
101,2040,40.8
102,2060,27.2
103,2080,28.0
104,2100,44.4
105,2120,22.4
106,2140,34.8
107,2160,23.4
108,2180,33.8
109,2200,19.2
110,2220,22.0
111,2240,30.0
112,2260,30.0
113,2280,25.8
114,2300,31.0
115,2320,39.0
116,2340,36.0
117,2360,17.6
118,2380,31.6
119,2400,36.0
120,2420,27.6
121,2440,34.6
122,2460,31.6
123,2480,25.0
124,2500,9.8
125,2520,31.4
126,2540,39.2
127,2560,30.4
128,2580,24.6
129,2600,30.0
130,2620,31.6
131,2640,26.2
132,2660,30.0
133,2680,39.8
134,2700,56.0
135,2720,35.0
136,2740,40.6
137,2760,29.0
138,2780,37.8
139,2800,27.6
140,2820,23.8
141,2840,39.6
142,2860,46.0
143,2880,33.4
144,2900,27.0
145,2920,28.0
146,2940,30.0
147,2960,26.8
148,2980,15.6
149,3000,30.2
