,episode,reward
0,20,14.6
1,40,13.0
2,60,12.2
3,80,9.8
4,100,10.0
5,120,9.4
6,140,9.6
7,160,10.0
8,180,9.2
9,200,12.4
10,220,10.2
11,240,10.2
12,260,10.0
13,280,9.6
14,300,8.8
15,320,9.2
16,340,8.8
17,360,9.8
18,380,9.4
19,400,9.8
20,420,9.2
21,440,9.6
22,460,9.0
23,480,9.8
24,500,9.4
25,520,9.2
26,540,9.6
27,560,9.6
28,580,9.4
29,600,9.2
30,620,9.2
31,640,9.4
32,660,9.8
33,680,9.2
34,700,9.4
35,720,9.4
36,740,9.0
37,760,11.4
38,780,10.0
39,800,9.4
40,820,10.6
41,840,10.2
42,860,11.4
43,880,10.6
44,900,10.2
45,920,54.4
46,940,13.8
47,960,17.0
48,980,21.4
49,1000,19.6
50,1020,26.4
51,1040,18.8
52,1060,11.2
53,1080,49.8
54,1100,10.4
55,1120,16.6
56,1140,59.4
57,1160,11.8
58,1180,14.6
59,1200,17.4
60,1220,49.0
61,1240,15.6
62,1260,40.2
63,1280,29.0
64,1300,15.2
65,1320,45.0
66,1340,18.0
67,1360,11.2
68,1380,19.0
69,1400,19.8
70,1420,48.8
71,1440,75.6
72,1460,28.0
73,1480,58.2
74,1500,17.2
75,1520,17.8
76,1540,27.8
77,1560,11.4
78,1580,13.6
79,1600,10.8
80,1620,42.8
81,1640,43.2
82,1660,48.6
83,1680,88.8
84,1700,57.6
85,1720,51.6
86,1740,64.0
87,1760,79.8
88,1780,55.0
89,1800,122.8
90,1820,139.8
91,1840,88.0
92,1860,121.4
93,1880,50.2
94,1900,64.0
95,1920,128.6
96,1940,28.0
97,1960,98.0
98,1980,106.8
99,2000,34.8
100,2020,82.4
101,2040,13.6
102,2060,72.2
103,2080,157.4
104,2100,70.0
105,2120,165.6
106,2140,156.8
107,2160,46.8
108,2180,89.8
109,2200,50.2
110,2220,45.6
111,2240,86.0
112,2260,90.6
113,2280,40.8
114,2300,68.0
115,2320,68.4
116,2340,101.2
117,2360,166.4
118,2380,95.0
119,2400,162.8
120,2420,103.4
121,2440,122.6
122,2460,142.2
123,2480,62.4
124,2500,54.6
125,2520,176.0
126,2540,49.8
127,2560,83.6
128,2580,113.6
129,2600,72.4
130,2620,127.0
131,2640,25.4
132,2660,97.0
133,2680,107.4
134,2700,143.2
135,2720,130.6
136,2740,184.4
137,2760,56.0
138,2780,122.2
139,2800,108.2
140,2820,50.8
141,2840,93.6
142,2860,110.8
143,2880,101.8
144,2900,87.6
145,2920,93.2
146,2940,65.2
147,2960,47.0
148,2980,134.2
149,3000,64.8
150,3020,138.2
151,3040,143.6
152,3060,87.8
153,3080,150.6
154,3100,160.2
155,3120,162.2
156,3140,156.2
157,3160,118.2
158,3180,107.6
159,3200,157.6
160,3220,125.8
161,3240,164.0
162,3260,133.0
163,3280,124.0
164,3300,161.0
165,3320,106.4
166,3340,123.2
167,3360,145.4
168,3380,126.0
169,3400,166.2
170,3420,145.6
171,3440,133.4
172,3460,98.8
173,3480,83.6
174,3500,121.6
175,3520,29.4
176,3540,171.8
177,3560,92.0
178,3580,135.2
179,3600,149.0
180,3620,160.4
181,3640,78.2
182,3660,120.0
183,3680,154.4
184,3700,121.2
185,3720,149.2
186,3740,143.6
187,3760,178.0
188,3780,203.6
189,3800,126.6
190,3820,123.0
191,3840,131.4
192,3860,103.0
193,3880,203.8
194,3900,221.6
195,3920,191.2
196,3940,118.0
197,3960,181.8
198,3980,167.6
199,4000,157.6
