,episode,reward
0,20,13.4
1,40,10.6
2,60,9.0
3,80,9.4
4,100,9.4
5,120,9.4
6,140,9.2
7,160,17.8
8,180,9.4
9,200,9.4
10,220,9.6
11,240,9.2
12,260,9.4
13,280,9.0
14,300,9.0
15,320,9.4
16,340,9.6
17,360,9.6
18,380,9.4
19,400,9.2
20,420,9.4
21,440,9.6
22,460,9.8
23,480,10.0
24,500,9.2
25,520,9.6
26,540,9.0
27,560,9.6
28,580,9.6
29,600,9.4
30,620,9.4
31,640,9.8
32,660,9.2
33,680,10.2
34,700,10.4
35,720,12.6
36,740,9.6
37,760,9.6
38,780,14.0
39,800,14.4
40,820,17.0
41,840,10.8
42,860,12.4
43,880,15.6
44,900,11.0
45,920,14.4
46,940,22.2
47,960,26.0
48,980,9.4
49,1000,9.2
50,1020,11.0
51,1040,13.8
52,1060,47.2
53,1080,13.4
54,1100,16.2
55,1120,14.2
56,1140,16.0
57,1160,28.0
58,1180,27.8
59,1200,33.8
60,1220,37.4
61,1240,24.6
62,1260,15.0
63,1280,23.0
64,1300,26.6
65,1320,10.0
66,1340,9.8
67,1360,43.2
68,1380,82.0
69,1400,77.2
70,1420,16.2
71,1440,9.8
72,1460,131.4
73,1480,81.6
74,1500,67.4
75,1520,21.6
76,1540,52.0
77,1560,71.0
78,1580,13.4
79,1600,32.0
80,1620,16.6
81,1640,70.8
82,1660,55.4
83,1680,27.8
84,1700,22.6
85,1720,33.2
86,1740,38.2
87,1760,75.6
88,1780,83.4
89,1800,112.2
90,1820,66.0
91,1840,89.2
92,1860,89.4
93,1880,90.6
94,1900,64.0
95,1920,127.2
96,1940,83.8
97,1960,94.2
98,1980,101.0
99,2000,97.4
100,2020,87.6
101,2040,85.6
102,2060,51.6
103,2080,131.6
104,2100,82.2
105,2120,158.6
106,2140,102.6
107,2160,96.8
108,2180,104.8
109,2200,84.8
110,2220,101.4
111,2240,49.2
112,2260,40.8
113,2280,71.8
114,2300,87.6
115,2320,123.8
116,2340,25.2
117,2360,119.6
118,2380,14.4
119,2400,79.0
120,2420,113.4
121,2440,86.4
122,2460,93.6
123,2480,109.8
124,2500,219.4
125,2520,228.4
126,2540,57.8
127,2560,78.0
128,2580,88.8
129,2600,86.2
130,2620,193.0
131,2640,159.6
132,2660,177.4
133,2680,93.2
134,2700,131.2
135,2720,156.2
136,2740,123.4
137,2760,151.4
138,2780,152.2
139,2800,124.4
140,2820,93.4
141,2840,91.4
142,2860,165.6
143,2880,175.4
144,2900,142.4
145,2920,80.0
146,2940,184.8
147,2960,187.2
148,2980,116.4
149,3000,149.6
150,3020,133.0
151,3040,166.6
152,3060,189.0
153,3080,65.6
154,3100,194.8
155,3120,112.0
156,3140,148.2
157,3160,56.2
158,3180,221.4
159,3200,141.2
160,3220,116.8
161,3240,40.2
162,3260,92.4
163,3280,147.0
164,3300,202.8
165,3320,167.8
166,3340,188.4
167,3360,139.4
168,3380,89.0
169,3400,173.4
170,3420,138.8
171,3440,165.6
172,3460,125.2
173,3480,209.8
174,3500,130.0
175,3520,32.0
176,3540,182.2
177,3560,183.8
178,3580,107.8
179,3600,171.4
180,3620,171.2
181,3640,180.8
182,3660,171.6
183,3680,165.2
184,3700,164.4
185,3720,191.0
186,3740,88.4
187,3760,169.2
188,3780,174.6
189,3800,160.4
190,3820,144.0
191,3840,206.6
192,3860,70.4
193,3880,116.2
194,3900,117.8
195,3920,100.8
196,3940,150.2
197,3960,20.2
198,3980,57.4
199,4000,144.2
200,4020,191.8
201,4040,115.2
202,4060,134.2
203,4080,143.0
204,4100,110.0
205,4120,166.8
206,4140,103.0
207,4160,208.8
208,4180,131.0
209,4200,129.4
210,4220,206.4
211,4240,163.8
212,4260,144.0
213,4280,116.6
214,4300,191.2
215,4320,135.2
216,4340,106.2
217,4360,161.8
218,4380,116.4
219,4400,82.0
220,4420,95.2
221,4440,153.6
222,4460,185.8
223,4480,182.2
224,4500,120.0
225,4520,147.4
226,4540,99.2
227,4560,153.2
228,4580,177.4
229,4600,76.8
230,4620,54.8
231,4640,120.0
232,4660,132.2
233,4680,113.2
234,4700,196.2
235,4720,121.6
236,4740,151.6
237,4760,131.8
238,4780,187.4
239,4800,101.0
240,4820,155.2
241,4840,146.8
242,4860,137.0
243,4880,144.2
244,4900,112.0
245,4920,123.2
246,4940,149.6
247,4960,191.2
248,4980,187.2
249,5000,203.4
