,episode,reward
0,20,20.2
1,40,26.8
2,60,26.0
3,80,62.2
4,100,16.2
5,120,9.6
6,140,11.0
7,160,10.8
8,180,10.2
9,200,9.2
10,220,9.4
11,240,9.8
12,260,9.6
13,280,10.0
14,300,9.8
15,320,9.8
16,340,9.6
17,360,8.6
18,380,9.4
19,400,9.2
20,420,9.0
21,440,9.2
22,460,9.4
23,480,9.0
24,500,9.0
25,520,8.6
26,540,8.6
27,560,9.4
28,580,9.0
29,600,9.8
30,620,9.6
31,640,9.6
32,660,9.2
33,680,9.4
34,700,9.4
35,720,9.6
36,740,9.6
37,760,9.8
38,780,9.4
39,800,10.0
40,820,11.2
41,840,9.6
42,860,9.2
43,880,9.4
44,900,13.8
45,920,9.6
46,940,11.2
47,960,23.6
48,980,18.4
49,1000,9.8
50,1020,10.4
51,1040,10.4
52,1060,15.2
53,1080,18.0
54,1100,12.4
55,1120,11.8
56,1140,12.6
57,1160,11.0
58,1180,10.2
59,1200,11.2
60,1220,9.6
61,1240,11.8
62,1260,9.8
63,1280,11.6
64,1300,28.8
65,1320,9.8
66,1340,11.2
67,1360,10.6
68,1380,27.2
69,1400,12.6
70,1420,11.2
71,1440,10.2
72,1460,13.0
73,1480,12.0
74,1500,75.2
75,1520,20.8
76,1540,15.8
77,1560,11.8
78,1580,24.4
79,1600,13.0
80,1620,32.8
81,1640,14.4
82,1660,10.6
83,1680,9.6
84,1700,16.2
85,1720,23.4
86,1740,58.6
87,1760,9.6
88,1780,12.0
89,1800,18.8
90,1820,34.8
91,1840,13.8
92,1860,57.6
93,1880,127.8
94,1900,11.2
95,1920,65.4
96,1940,43.0
97,1960,32.0
98,1980,15.8
99,2000,95.2
100,2020,67.4
101,2040,32.0
102,2060,57.6
103,2080,23.4
104,2100,50.0
105,2120,111.2
106,2140,121.0
107,2160,133.4
108,2180,128.0
109,2200,98.4
110,2220,132.2
111,2240,141.2
112,2260,70.6
113,2280,118.8
114,2300,140.4
115,2320,119.4
116,2340,129.4
117,2360,126.6
118,2380,134.8
119,2400,180.6
120,2420,99.6
121,2440,43.8
122,2460,117.2
123,2480,141.2
124,2500,130.8
125,2520,164.6
126,2540,64.8
127,2560,112.2
128,2580,184.8
129,2600,84.4
130,2620,42.2
131,2640,9.6
132,2660,47.2
133,2680,106.4
134,2700,92.0
135,2720,78.6
136,2740,112.4
137,2760,107.8
138,2780,168.2
139,2800,129.8
140,2820,83.0
141,2840,149.0
142,2860,68.2
143,2880,138.8
144,2900,151.8
145,2920,117.6
146,2940,64.4
147,2960,92.0
148,2980,102.2
149,3000,128.8
150,3020,109.4
151,3040,84.8
152,3060,128.2
153,3080,107.6
154,3100,139.2
155,3120,52.8
156,3140,123.0
157,3160,153.6
158,3180,81.6
159,3200,73.4
160,3220,152.6
161,3240,96.6
162,3260,117.8
163,3280,106.0
164,3300,59.4
165,3320,156.6
166,3340,167.4
167,3360,127.6
168,3380,63.8
169,3400,53.6
170,3420,18.6
171,3440,159.0
172,3460,53.8
173,3480,15.0
174,3500,92.2
175,3520,56.0
176,3540,64.8
177,3560,60.0
178,3580,141.4
179,3600,109.2
180,3620,78.2
181,3640,104.4
182,3660,124.4
183,3680,126.2
184,3700,60.8
185,3720,161.4
186,3740,161.2
187,3760,55.8
188,3780,196.4
189,3800,146.2
190,3820,85.6
191,3840,90.4
192,3860,78.8
193,3880,68.6
194,3900,119.0
195,3920,57.6
196,3940,52.2
197,3960,135.8
198,3980,62.0
199,4000,196.8
200,4020,35.2
201,4040,98.2
202,4060,86.6
203,4080,32.8
204,4100,123.0
205,4120,123.0
206,4140,91.0
207,4160,119.0
208,4180,90.8
209,4200,86.2
210,4220,59.4
211,4240,67.0
212,4260,197.2
213,4280,60.4
214,4300,124.6
215,4320,168.8
216,4340,98.0
217,4360,14.8
218,4380,95.2
219,4400,94.6
220,4420,92.0
221,4440,82.0
222,4460,96.0
223,4480,49.6
224,4500,18.8
225,4520,156.4
226,4540,66.8
227,4560,127.2
228,4580,56.2
229,4600,138.8
230,4620,108.8
231,4640,70.0
232,4660,166.8
233,4680,57.0
234,4700,80.2
235,4720,99.0
236,4740,75.0
237,4760,136.4
238,4780,100.2
239,4800,143.8
240,4820,52.6
241,4840,105.0
242,4860,94.0
243,4880,138.0
244,4900,121.6
245,4920,33.2
246,4940,119.2
247,4960,88.0
248,4980,51.2
249,5000,172.4
