,episode,reward
0,20,23.0
1,40,23.0
2,60,16.2
3,80,13.8
4,100,17.0
5,120,12.6
6,140,12.2
7,160,13.6
8,180,36.4
9,200,40.8
10,220,9.2
11,240,13.4
12,260,9.2
13,280,9.4
14,300,9.2
15,320,9.0
16,340,9.4
17,360,9.0
18,380,8.8
19,400,9.2
20,420,9.0
21,440,8.8
22,460,9.2
23,480,9.0
24,500,9.0
25,520,10.0
26,540,9.6
27,560,9.4
28,580,9.6
29,600,9.2
30,620,9.0
31,640,9.4
32,660,9.2
33,680,8.4
34,700,9.4
35,720,9.6
36,740,9.6
37,760,13.2
38,780,9.4
39,800,9.2
40,820,9.0
41,840,10.0
42,860,9.6
43,880,12.8
44,900,9.6
45,920,20.4
46,940,11.8
47,960,19.0
48,980,13.0
49,1000,11.2
50,1020,12.2
51,1040,27.4
52,1060,83.6
53,1080,14.2
54,1100,39.6
55,1120,76.0
56,1140,16.0
57,1160,32.8
58,1180,70.8
59,1200,17.2
60,1220,19.4
61,1240,65.8
62,1260,55.2
63,1280,17.2
64,1300,19.2
65,1320,18.0
66,1340,38.8
67,1360,108.4
68,1380,63.0
69,1400,62.8
70,1420,98.8
71,1440,90.0
72,1460,121.6
73,1480,131.8
74,1500,131.6
75,1520,95.2
76,1540,152.2
77,1560,80.2
78,1580,110.4
79,1600,189.4
80,1620,143.8
81,1640,84.0
82,1660,155.6
83,1680,138.8
84,1700,113.0
85,1720,118.6
86,1740,107.4
87,1760,169.0
88,1780,181.0
89,1800,77.0
90,1820,109.8
91,1840,216.6
92,1860,178.2
93,1880,190.6
94,1900,87.2
95,1920,220.2
96,1940,166.4
97,1960,147.8
98,1980,205.8
99,2000,113.2
100,2020,158.4
101,2040,164.0
102,2060,223.6
103,2080,140.8
104,2100,148.0
105,2120,224.8
106,2140,142.4
107,2160,133.8
108,2180,136.4
109,2200,130.0
110,2220,123.6
111,2240,181.8
112,2260,174.0
113,2280,156.8
114,2300,165.4
115,2320,161.8
116,2340,208.2
117,2360,166.4
118,2380,188.8
119,2400,172.4
120,2420,151.0
121,2440,95.8
122,2460,189.2
123,2480,116.4
124,2500,82.0
125,2520,82.6
126,2540,152.8
127,2560,100.8
128,2580,172.8
129,2600,131.6
130,2620,103.0
131,2640,139.2
132,2660,141.4
133,2680,102.6
134,2700,160.6
135,2720,163.4
136,2740,88.0
137,2760,161.0
138,2780,152.8
139,2800,151.0
140,2820,115.0
141,2840,158.0
142,2860,161.8
143,2880,196.0
144,2900,98.6
145,2920,90.8
146,2940,56.0
147,2960,206.6
148,2980,171.0
149,3000,108.6
150,3020,136.4
151,3040,185.6
152,3060,145.8
153,3080,180.6
154,3100,121.8
155,3120,96.6
156,3140,152.0
157,3160,185.8
158,3180,70.0
159,3200,192.8
160,3220,111.6
161,3240,122.6
162,3260,113.4
163,3280,145.2
164,3300,145.8
165,3320,186.0
166,3340,120.8
167,3360,75.2
168,3380,37.2
169,3400,112.4
170,3420,150.6
171,3440,143.2
172,3460,124.4
173,3480,148.8
174,3500,124.0
175,3520,150.8
176,3540,152.4
177,3560,168.8
178,3580,212.8
179,3600,124.4
180,3620,130.8
181,3640,161.0
182,3660,130.2
183,3680,106.4
184,3700,200.2
185,3720,109.8
186,3740,134.8
187,3760,187.4
188,3780,86.0
189,3800,149.6
190,3820,126.0
191,3840,163.6
192,3860,159.6
193,3880,55.6
194,3900,83.0
195,3920,164.2
196,3940,142.0
197,3960,144.2
198,3980,214.8
199,4000,175.0
