,episode,reward
0,20,19.4
1,40,16.6
2,60,9.4
3,80,22.0
4,100,12.0
5,120,12.0
6,140,9.4
7,160,9.4
8,180,10.2
9,200,9.2
10,220,9.2
11,240,9.6
12,260,9.6
13,280,9.2
14,300,9.2
15,320,8.8
16,340,9.2
17,360,9.0
18,380,9.6
19,400,9.4
20,420,9.6
21,440,9.2
22,460,9.8
23,480,9.2
24,500,9.0
25,520,9.8
26,540,9.2
27,560,9.0
28,580,9.4
29,600,9.2
30,620,9.8
31,640,9.4
32,660,9.2
33,680,9.0
34,700,9.2
35,720,9.4
36,740,9.2
37,760,9.0
38,780,10.4
39,800,9.6
40,820,9.6
41,840,13.4
42,860,9.4
43,880,9.6
44,900,9.0
45,920,22.8
46,940,10.2
47,960,31.6
48,980,30.0
49,1000,12.4
50,1020,21.0
51,1040,11.4
52,1060,12.4
53,1080,10.4
54,1100,11.0
55,1120,10.0
56,1140,10.4
57,1160,13.8
58,1180,9.8
59,1200,16.0
60,1220,39.8
61,1240,29.6
62,1260,52.4
63,1280,62.0
64,1300,12.6
65,1320,13.6
66,1340,54.4
67,1360,99.8
68,1380,10.6
69,1400,50.6
70,1420,83.2
71,1440,10.4
72,1460,17.0
73,1480,23.2
74,1500,20.8
75,1520,49.0
76,1540,63.4
77,1560,141.8
78,1580,78.4
79,1600,106.6
80,1620,59.6
81,1640,15.6
82,1660,60.8
83,1680,51.2
84,1700,155.6
85,1720,17.0
86,1740,26.2
87,1760,113.6
88,1780,55.8
89,1800,60.4
90,1820,70.0
91,1840,74.0
92,1860,19.4
93,1880,152.8
94,1900,104.6
95,1920,55.6
96,1940,79.6
97,1960,86.8
98,1980,20.0
99,2000,13.8
100,2020,70.6
101,2040,17.2
102,2060,23.2
103,2080,93.8
104,2100,63.8
105,2120,11.0
106,2140,39.4
107,2160,39.8
108,2180,16.6
109,2200,14.6
110,2220,54.6
111,2240,67.0
112,2260,10.6
113,2280,94.0
114,2300,115.0
115,2320,61.8
116,2340,67.6
117,2360,64.0
118,2380,52.4
119,2400,78.8
120,2420,94.2
121,2440,60.8
122,2460,17.2
123,2480,59.2
124,2500,90.8
125,2520,62.6
126,2540,10.2
127,2560,90.8
128,2580,33.4
129,2600,140.8
130,2620,82.6
131,2640,78.2
132,2660,36.8
133,2680,102.4
134,2700,108.0
135,2720,58.0
136,2740,69.2
137,2760,87.2
138,2780,148.0
139,2800,102.0
140,2820,103.8
141,2840,75.2
142,2860,23.4
143,2880,109.4
144,2900,166.0
145,2920,132.0
146,2940,74.2
147,2960,75.0
148,2980,123.8
149,3000,99.2
150,3020,76.0
151,3040,51.4
152,3060,83.6
153,3080,51.4
154,3100,20.2
155,3120,92.6
156,3140,28.4
157,3160,22.8
158,3180,111.8
159,3200,110.6
160,3220,85.0
161,3240,75.0
162,3260,64.0
163,3280,154.6
164,3300,55.0
165,3320,65.0
166,3340,68.4
167,3360,98.4
168,3380,60.2
169,3400,64.8
170,3420,125.8
171,3440,105.4
172,3460,32.4
173,3480,98.4
174,3500,136.6
175,3520,78.8
176,3540,63.2
177,3560,98.8
178,3580,58.6
179,3600,54.6
180,3620,59.8
181,3640,80.6
182,3660,101.2
183,3680,219.2
184,3700,76.8
185,3720,89.0
186,3740,123.4
187,3760,28.8
188,3780,80.8
189,3800,90.2
190,3820,116.8
191,3840,153.2
192,3860,122.2
193,3880,77.0
194,3900,44.0
195,3920,64.2
196,3940,42.2
197,3960,81.4
198,3980,55.6
199,4000,151.6
200,4020,17.2
201,4040,119.0
202,4060,11.0
203,4080,143.0
204,4100,40.2
205,4120,124.8
206,4140,60.8
207,4160,117.8
208,4180,74.0
209,4200,170.2
210,4220,36.2
211,4240,40.4
212,4260,82.0
213,4280,119.6
214,4300,63.4
215,4320,42.2
216,4340,19.6
217,4360,129.0
218,4380,169.4
219,4400,95.6
220,4420,95.0
221,4440,124.8
222,4460,118.0
223,4480,102.4
224,4500,112.0
225,4520,155.8
226,4540,126.4
227,4560,197.6
228,4580,122.6
229,4600,164.6
230,4620,117.8
231,4640,100.0
232,4660,70.0
233,4680,68.4
234,4700,149.2
235,4720,176.8
236,4740,126.4
237,4760,43.0
238,4780,62.8
239,4800,122.0
240,4820,94.4
241,4840,111.6
242,4860,96.2
243,4880,19.6
244,4900,108.2
245,4920,92.0
246,4940,159.6
247,4960,16.4
248,4980,78.8
249,5000,34.0
