,episode,reward
0,20,9.4
1,40,9.4
2,60,8.8
3,80,9.4
4,100,9.0
5,120,9.6
6,140,9.6
7,160,11.0
8,180,10.8
9,200,11.0
10,220,14.8
11,240,10.8
12,260,129.4
13,280,118.4
14,300,18.0
15,320,132.0
16,340,136.0
17,360,50.4
18,380,63.0
19,400,212.2
20,420,177.2
21,440,183.0
22,460,179.0
23,480,221.6
24,500,187.2
25,520,179.6
26,540,185.8
27,560,234.0
28,580,75.0
29,600,33.2
30,620,158.6
31,640,216.8
32,660,183.0
33,680,127.6
34,700,210.0
35,720,86.0
36,740,90.0
37,760,139.2
38,780,170.6
39,800,78.2
40,820,215.4
41,840,197.6
42,860,52.6
43,880,140.6
44,900,83.2
45,920,156.4
46,940,138.2
47,960,73.2
48,980,159.4
49,1000,160.8
50,1020,208.8
51,1040,191.2
52,1060,110.0
53,1080,189.8
54,1100,193.8
55,1120,265.0
56,1140,185.6
57,1160,219.2
58,1180,112.6
59,1200,164.6
60,1220,140.6
61,1240,114.4
62,1260,171.2
63,1280,246.2
64,1300,172.6
65,1320,24.8
66,1340,98.8
67,1360,210.2
68,1380,152.8
69,1400,198.0
70,1420,103.8
71,1440,115.2
72,1460,60.0
73,1480,16.6
74,1500,54.6
75,1520,19.4
76,1540,18.2
77,1560,43.8
78,1580,170.0
79,1600,115.4
80,1620,27.6
81,1640,17.8
82,1660,28.4
83,1680,9.6
84,1700,29.8
85,1720,34.0
86,1740,29.4
87,1760,24.4
88,1780,37.4
89,1800,77.6
90,1820,20.8
91,1840,17.8
92,1860,17.4
93,1880,10.4
94,1900,15.4
95,1920,120.0
96,1940,70.0
97,1960,120.0
98,1980,142.6
99,2000,134.6
100,2020,33.0
101,2040,21.6
102,2060,107.6
103,2080,31.6
104,2100,50.4
105,2120,66.6
106,2140,125.6
107,2160,113.0
108,2180,14.0
109,2200,145.0
110,2220,139.0
111,2240,134.6
112,2260,13.6
113,2280,139.0
114,2300,14.2
115,2320,24.6
116,2340,28.0
117,2360,31.4
118,2380,88.2
119,2400,62.8
120,2420,152.8
121,2440,77.2
122,2460,14.4
123,2480,57.4
124,2500,41.8
125,2520,18.0
126,2540,15.8
127,2560,18.0
128,2580,15.0
129,2600,25.6
130,2620,16.0
131,2640,16.6
132,2660,16.4
133,2680,15.6
134,2700,27.2
135,2720,20.6
136,2740,10.0
137,2760,27.2
138,2780,55.0
139,2800,62.4
140,2820,10.8
141,2840,20.0
142,2860,25.4
143,2880,20.8
144,2900,19.8
145,2920,17.8
146,2940,17.6
147,2960,17.0
148,2980,17.6
149,3000,16.4
