,episode,reward
0,20,9.4
1,40,9.6
2,60,23.6
3,80,10.6
4,100,9.4
5,120,9.2
6,140,9.4
7,160,14.6
8,180,20.8
9,200,12.6
10,220,14.0
11,240,14.8
12,260,8.8
13,280,11.0
14,300,13.0
15,320,10.0
16,340,10.8
17,360,14.2
18,380,10.4
19,400,9.4
20,420,9.6
21,440,16.2
22,460,10.2
23,480,13.2
24,500,13.4
25,520,15.2
26,540,14.8
27,560,10.2
28,580,10.2
29,600,11.2
30,620,18.2
31,640,9.8
32,660,19.0
33,680,11.0
34,700,19.0
35,720,12.4
36,740,16.0
37,760,17.8
38,780,15.4
39,800,10.8
40,820,21.6
41,840,18.0
42,860,14.8
43,880,32.8
44,900,17.4
45,920,15.4
46,940,33.8
47,960,34.2
48,980,28.2
49,1000,25.0
