,episode,reward
0,20,16.0
1,40,21.8
2,60,9.4
3,80,31.2
4,100,9.0
5,120,8.8
6,140,9.6
7,160,11.0
8,180,9.6
9,200,8.8
10,220,9.6
11,240,9.2
12,260,9.2
13,280,9.2
14,300,9.8
15,320,8.8
16,340,9.6
17,360,9.8
18,380,10.0
19,400,10.2
20,420,19.8
21,440,24.4
22,460,14.6
23,480,23.2
24,500,15.6
25,520,50.4
26,540,93.6
27,560,146.8
28,580,97.0
29,600,65.2
30,620,93.0
31,640,59.4
32,660,123.8
33,680,81.4
34,700,74.4
35,720,148.6
36,740,100.0
37,760,95.2
38,780,154.6
39,800,135.6
40,820,41.6
41,840,146.6
42,860,93.2
43,880,133.2
44,900,99.2
45,920,55.2
46,940,70.8
47,960,203.8
48,980,120.6
49,1000,182.8
