,episode,reward
0,20,9.0
1,40,9.2
2,60,9.4
3,80,9.4
4,100,9.0
5,120,8.6
6,140,9.2
7,160,9.6
8,180,9.4
9,200,13.2
10,220,10.0
11,240,9.4
12,260,16.8
13,280,9.0
14,300,13.4
15,320,10.4
16,340,9.8
17,360,9.6
18,380,11.4
19,400,13.6
20,420,10.4
21,440,10.0
22,460,12.6
23,480,9.8
24,500,9.8
25,520,13.2
26,540,12.2
27,560,10.6
28,580,9.8
29,600,10.0
30,620,10.2
31,640,10.6
32,660,10.0
33,680,9.6
34,700,11.4
35,720,10.8
36,740,9.6
37,760,9.8
38,780,9.6
39,800,9.0
40,820,10.2
41,840,9.0
42,860,10.0
43,880,18.2
44,900,13.4
45,920,10.4
46,940,10.8
47,960,9.8
48,980,11.4
49,1000,11.6
