,episode,reward
0,20,15.6
1,40,23.0
2,60,11.2
3,80,20.4
4,100,14.2
5,120,11.2
6,140,23.0
7,160,9.6
8,180,11.4
9,200,9.2
10,220,10.2
11,240,9.6
12,260,8.8
13,280,9.4
14,300,9.4
15,320,9.4
16,340,9.0
17,360,9.2
18,380,9.6
19,400,9.6
20,420,8.8
21,440,9.6
22,460,9.2
23,480,9.4
24,500,9.8
25,520,9.4
26,540,9.6
27,560,8.4
28,580,9.0
29,600,9.4
30,620,9.2
31,640,18.0
32,660,12.8
33,680,9.2
34,700,9.2
35,720,14.2
36,740,17.6
37,760,8.8
38,780,15.2
39,800,11.0
40,820,10.2
41,840,9.6
42,860,9.4
43,880,10.0
44,900,45.4
45,920,10.0
46,940,9.8
47,960,9.6
48,980,41.0
49,1000,11.2
