,episode,reward
0,20,18.6
1,40,10.8
2,60,12.4
3,80,11.4
4,100,10.6
5,120,19.8
6,140,21.2
7,160,13.4
8,180,13.8
9,200,9.2
10,220,9.4
11,240,9.2
12,260,9.0
13,280,9.6
14,300,9.0
15,320,9.4
16,340,9.8
17,360,9.0
18,380,8.8
19,400,9.6
20,420,9.6
21,440,9.2
22,460,9.2
23,480,8.8
24,500,9.4
25,520,9.4
26,540,9.6
27,560,9.0
28,580,10.0
29,600,9.2
30,620,9.4
31,640,9.6
32,660,9.6
33,680,9.4
34,700,9.4
35,720,12.8
36,740,9.4
37,760,9.8
38,780,9.6
39,800,9.8
40,820,9.6
41,840,10.4
42,860,10.0
43,880,10.2
44,900,10.4
45,920,11.0
46,940,11.4
47,960,10.0
48,980,10.0
49,1000,12.0
50,1020,11.2
51,1040,10.4
52,1060,11.6
53,1080,13.0
54,1100,14.4
55,1120,14.4
56,1140,13.0
57,1160,75.0
58,1180,38.2
59,1200,29.2
60,1220,9.6
61,1240,15.6
62,1260,51.8
63,1280,95.2
64,1300,45.0
65,1320,131.8
66,1340,56.6
67,1360,129.8
68,1380,97.0
69,1400,37.6
70,1420,70.6
71,1440,49.0
72,1460,108.8
73,1480,83.0
74,1500,107.8
75,1520,42.4
76,1540,91.2
77,1560,115.4
78,1580,198.8
79,1600,110.2
80,1620,65.2
81,1640,28.0
82,1660,20.2
83,1680,139.8
84,1700,97.6
85,1720,78.2
86,1740,124.2
87,1760,112.6
88,1780,201.6
89,1800,53.2
90,1820,152.0
91,1840,74.4
92,1860,156.2
93,1880,166.4
94,1900,117.2
95,1920,90.6
96,1940,155.0
97,1960,159.0
98,1980,95.4
99,2000,173.8
100,2020,77.8
101,2040,141.0
102,2060,142.6
103,2080,121.6
104,2100,121.6
105,2120,131.6
106,2140,133.4
107,2160,123.8
108,2180,97.0
109,2200,120.8
110,2220,159.2
111,2240,143.8
112,2260,90.6
113,2280,66.0
114,2300,165.4
115,2320,205.2
116,2340,75.8
117,2360,82.8
118,2380,60.4
119,2400,149.8
120,2420,73.2
121,2440,165.8
122,2460,106.8
123,2480,180.4
124,2500,96.0
125,2520,149.0
126,2540,164.6
127,2560,151.8
128,2580,145.4
129,2600,123.6
130,2620,135.4
131,2640,178.4
132,2660,139.2
133,2680,98.2
134,2700,226.8
135,2720,141.6
136,2740,156.6
137,2760,151.6
138,2780,163.6
139,2800,169.2
140,2820,77.0
141,2840,132.6
142,2860,142.0
143,2880,129.2
144,2900,87.2
145,2920,176.6
146,2940,93.0
147,2960,119.2
148,2980,150.4
149,3000,91.2
150,3020,157.6
151,3040,74.6
152,3060,45.0
153,3080,155.6
154,3100,197.4
155,3120,179.0
156,3140,169.6
157,3160,154.8
158,3180,147.0
159,3200,183.8
160,3220,126.8
161,3240,80.4
162,3260,184.2
163,3280,139.0
164,3300,174.2
165,3320,166.8
166,3340,192.0
167,3360,64.8
168,3380,106.2
169,3400,163.2
170,3420,131.4
171,3440,95.8
172,3460,142.6
173,3480,139.6
174,3500,114.0
175,3520,195.8
176,3540,137.8
177,3560,128.2
178,3580,137.8
179,3600,95.2
180,3620,167.8
181,3640,136.6
182,3660,197.0
183,3680,112.4
184,3700,187.4
185,3720,172.0
186,3740,202.0
187,3760,174.8
188,3780,86.2
189,3800,132.4
190,3820,132.0
191,3840,157.4
192,3860,137.0
193,3880,180.6
194,3900,68.6
195,3920,119.6
196,3940,113.0
197,3960,146.4
198,3980,166.0
199,4000,148.6
