,episode,reward
0,10,19.6
1,20,25.6
2,30,30.6
3,40,18.8
4,50,17.2
5,60,18.8
6,70,21.6
7,80,37.8
8,90,31.4
9,100,15.4
10,110,15.2
11,120,16.4
12,130,19.0
13,140,20.6
14,150,17.8
15,160,27.0
16,170,20.8
17,180,31.2
18,190,17.8
19,200,18.4
20,210,20.4
21,220,37.8
22,230,17.4
23,240,20.0
24,250,16.2
25,260,27.8
26,270,22.0
27,280,17.0
28,290,21.8
29,300,19.2
30,310,25.4
31,320,13.6
32,330,17.0
33,340,24.8
34,350,27.4
35,360,23.0
36,370,31.4
37,380,28.6
38,390,26.0
39,400,30.0
40,410,20.0
41,420,20.2
42,430,23.2
43,440,23.6
44,450,19.0
45,460,21.4
46,470,24.6
47,480,26.2
48,490,20.0
49,500,21.4
50,510,21.2
51,520,23.6
52,530,30.0
53,540,16.6
54,550,31.4
55,560,26.2
56,570,19.6
57,580,42.4
58,590,19.0
59,600,43.2
60,610,22.4
61,620,15.8
62,630,20.8
63,640,28.0
64,650,16.2
65,660,18.6
66,670,21.6
67,680,22.0
68,690,22.4
69,700,30.6
70,710,14.0
71,720,20.6
72,730,18.4
73,740,21.8
74,750,25.2
75,760,26.4
76,770,19.6
77,780,32.4
78,790,22.2
79,800,20.6
80,810,13.2
81,820,32.2
82,830,17.6
83,840,18.6
84,850,21.0
85,860,23.6
86,870,24.8
87,880,16.6
88,890,16.0
89,900,19.0
90,910,21.2
91,920,23.6
92,930,22.4
93,940,21.8
94,950,31.0
95,960,23.2
96,970,34.2
97,980,20.6
98,990,40.2
99,1000,27.2
100,1010,15.0
101,1020,17.6
102,1030,36.2
103,1040,15.8
104,1050,20.6
105,1060,16.6
106,1070,22.8
107,1080,25.0
108,1090,19.2
109,1100,28.6
110,1110,21.8
111,1120,27.0
112,1130,19.8
113,1140,20.2
114,1150,18.6
115,1160,14.0
116,1170,25.6
117,1180,25.2
118,1190,21.0
119,1200,27.2
120,1210,14.6
121,1220,28.2
122,1230,20.4
123,1240,17.6
124,1250,30.8
125,1260,17.8
126,1270,15.8
127,1280,25.8
128,1290,28.4
129,1300,17.0
130,1310,16.6
131,1320,19.4
132,1330,26.6
133,1340,17.4
134,1350,15.2
135,1360,14.6
136,1370,27.0
137,1380,23.8
138,1390,17.6
139,1400,27.6
140,1410,35.2
141,1420,15.0
142,1430,26.4
143,1440,18.2
144,1450,22.0
145,1460,19.0
146,1470,18.6
147,1480,17.6
148,1490,21.0
149,1500,17.8
150,1510,22.6
151,1520,15.0
152,1530,20.6
153,1540,16.0
154,1550,26.0
155,1560,29.6
156,1570,27.8
157,1580,26.6
158,1590,26.6
159,1600,36.2
160,1610,23.4
161,1620,23.8
162,1630,24.2
163,1640,22.8
164,1650,15.6
165,1660,31.6
166,1670,17.2
167,1680,21.4
168,1690,30.8
169,1700,19.4
170,1710,35.6
171,1720,17.0
172,1730,21.8
173,1740,17.4
174,1750,15.8
175,1760,21.6
176,1770,24.2
177,1780,32.4
178,1790,23.8
179,1800,23.8
180,1810,20.6
181,1820,16.4
182,1830,21.2
183,1840,18.4
184,1850,35.2
185,1860,30.2
186,1870,16.8
187,1880,27.0
188,1890,17.8
189,1900,25.4
190,1910,19.8
191,1920,19.4
192,1930,32.0
193,1940,24.6
194,1950,24.6
195,1960,28.0
196,1970,23.2
197,1980,17.8
198,1990,22.4
199,2000,23.0
200,2010,19.6
201,2020,24.2
202,2030,25.4
203,2040,30.8
204,2050,21.2
205,2060,28.4
206,2070,22.0
207,2080,22.0
208,2090,19.0
209,2100,28.2
210,2110,23.8
211,2120,20.2
212,2130,17.2
213,2140,22.8
214,2150,18.8
215,2160,23.4
216,2170,20.0
217,2180,15.2
218,2190,21.4
219,2200,33.4
220,2210,14.4
221,2220,22.8
222,2230,26.8
223,2240,15.6
224,2250,22.4
225,2260,24.0
226,2270,22.0
227,2280,37.8
228,2290,16.0
229,2300,16.2
230,2310,23.2
231,2320,18.2
232,2330,17.8
233,2340,18.4
234,2350,25.4
235,2360,21.2
236,2370,28.6
237,2380,19.8
238,2390,20.8
239,2400,43.4
240,2410,20.4
241,2420,21.6
242,2430,18.2
243,2440,28.8
244,2450,18.2
245,2460,30.2
246,2470,24.2
247,2480,15.6
248,2490,26.2
249,2500,24.8
250,2510,18.4
251,2520,15.0
252,2530,15.6
253,2540,15.4
254,2550,21.4
255,2560,22.2
256,2570,23.4
257,2580,27.0
258,2590,23.4
