trial,tsetlin_number_of_clauses,tsetlin_T,tsetlin_s,tsetlin_states,tsetlin_max_target,tsetlin_min_target,min_epsilon,epsilon_decay,num_bins,log_bins
0,6000,100000,2.5,4,300,0,0.01,0.0004,8,False
1,10000,100000,2.5,4,300,0,0.01,0.0004,8,False
2,14000,100000,2.5,4,300,0,0.01,0.0004,8,False
3,6000,5000000,2.5,4,300,0,0.01,0.0004,8,False
4,10000,5000000,2.5,4,300,0,0.01,0.0004,8,False
5,14000,5000000,2.5,4,300,0,0.01,0.0004,8,False
6,6000,20000000,2.5,4,300,0,0.01,0.0004,8,False
7,10000,20000000,2.5,4,300,0,0.01,0.0004,8,False
8,14000,20000000,2.5,4,300,0,0.01,0.0004,8,False
9,6000,40000000,2.5,4,300,0,0.01,0.0004,8,False
10,10000,40000000,2.5,4,300,0,0.01,0.0004,8,False
11,14000,40000000,2.5,4,300,0,0.01,0.0004,8,False
12,6000,100000,2.5,8,300,0,0.01,0.0004,8,False
13,10000,100000,2.5,8,300,0,0.01,0.0004,8,False
14,14000,100000,2.5,8,300,0,0.01,0.0004,8,False
15,6000,5000000,2.5,8,300,0,0.01,0.0004,8,False
16,10000,5000000,2.5,8,300,0,0.01,0.0004,8,False
17,14000,5000000,2.5,8,300,0,0.01,0.0004,8,False
18,6000,20000000,2.5,8,300,0,0.01,0.0004,8,False
19,10000,20000000,2.5,8,300,0,0.01,0.0004,8,False
20,14000,20000000,2.5,8,300,0,0.01,0.0004,8,False
21,6000,40000000,2.5,8,300,0,0.01,0.0004,8,False
22,10000,40000000,2.5,8,300,0,0.01,0.0004,8,False
23,14000,40000000,2.5,8,300,0,0.01,0.0004,8,False
24,6000,100000,2.5,25,300,0,0.01,0.0004,8,False
25,10000,100000,2.5,25,300,0,0.01,0.0004,8,False
26,14000,100000,2.5,25,300,0,0.01,0.0004,8,False
27,6000,5000000,2.5,25,300,0,0.01,0.0004,8,False
28,10000,5000000,2.5,25,300,0,0.01,0.0004,8,False
29,14000,5000000,2.5,25,300,0,0.01,0.0004,8,False
30,6000,20000000,2.5,25,300,0,0.01,0.0004,8,False
31,10000,20000000,2.5,25,300,0,0.01,0.0004,8,False
32,14000,20000000,2.5,25,300,0,0.01,0.0004,8,False
33,6000,40000000,2.5,25,300,0,0.01,0.0004,8,False
34,10000,40000000,2.5,25,300,0,0.01,0.0004,8,False
35,14000,40000000,2.5,25,300,0,0.01,0.0004,8,False
36,6000,100000,2.5,100,300,0,0.01,0.0004,8,False
37,10000,100000,2.5,100,300,0,0.01,0.0004,8,False
38,14000,100000,2.5,100,300,0,0.01,0.0004,8,False
39,6000,5000000,2.5,100,300,0,0.01,0.0004,8,False
40,10000,5000000,2.5,100,300,0,0.01,0.0004,8,False
41,14000,5000000,2.5,100,300,0,0.01,0.0004,8,False
42,6000,20000000,2.5,100,300,0,0.01,0.0004,8,False
43,10000,20000000,2.5,100,300,0,0.01,0.0004,8,False
44,14000,20000000,2.5,100,300,0,0.01,0.0004,8,False
45,6000,40000000,2.5,100,300,0,0.01,0.0004,8,False
46,10000,40000000,2.5,100,300,0,0.01,0.0004,8,False
47,14000,40000000,2.5,100,300,0,0.01,0.0004,8,False
48,6000,100000,2.5,4,300,0,0.004,0.0004,8,False
49,10000,100000,2.5,4,300,0,0.004,0.0004,8,False
50,14000,100000,2.5,4,300,0,0.004,0.0004,8,False
51,6000,5000000,2.5,4,300,0,0.004,0.0004,8,False
52,10000,5000000,2.5,4,300,0,0.004,0.0004,8,False
53,14000,5000000,2.5,4,300,0,0.004,0.0004,8,False
54,6000,20000000,2.5,4,300,0,0.004,0.0004,8,False
55,10000,20000000,2.5,4,300,0,0.004,0.0004,8,False
56,14000,20000000,2.5,4,300,0,0.004,0.0004,8,False
57,6000,40000000,2.5,4,300,0,0.004,0.0004,8,False
58,10000,40000000,2.5,4,300,0,0.004,0.0004,8,False
59,14000,40000000,2.5,4,300,0,0.004,0.0004,8,False
60,6000,100000,2.5,8,300,0,0.004,0.0004,8,False
61,10000,100000,2.5,8,300,0,0.004,0.0004,8,False
62,14000,100000,2.5,8,300,0,0.004,0.0004,8,False
63,6000,5000000,2.5,8,300,0,0.004,0.0004,8,False
64,10000,5000000,2.5,8,300,0,0.004,0.0004,8,False
65,14000,5000000,2.5,8,300,0,0.004,0.0004,8,False
66,6000,20000000,2.5,8,300,0,0.004,0.0004,8,False
67,10000,20000000,2.5,8,300,0,0.004,0.0004,8,False
68,14000,20000000,2.5,8,300,0,0.004,0.0004,8,False
69,6000,40000000,2.5,8,300,0,0.004,0.0004,8,False
70,10000,40000000,2.5,8,300,0,0.004,0.0004,8,False
71,14000,40000000,2.5,8,300,0,0.004,0.0004,8,False
72,6000,100000,2.5,25,300,0,0.004,0.0004,8,False
73,10000,100000,2.5,25,300,0,0.004,0.0004,8,False
74,14000,100000,2.5,25,300,0,0.004,0.0004,8,False
75,6000,5000000,2.5,25,300,0,0.004,0.0004,8,False
76,10000,5000000,2.5,25,300,0,0.004,0.0004,8,False
77,14000,5000000,2.5,25,300,0,0.004,0.0004,8,False
78,6000,20000000,2.5,25,300,0,0.004,0.0004,8,False
79,10000,20000000,2.5,25,300,0,0.004,0.0004,8,False
80,14000,20000000,2.5,25,300,0,0.004,0.0004,8,False
81,6000,40000000,2.5,25,300,0,0.004,0.0004,8,False
82,10000,40000000,2.5,25,300,0,0.004,0.0004,8,False
83,14000,40000000,2.5,25,300,0,0.004,0.0004,8,False
84,6000,100000,2.5,100,300,0,0.004,0.0004,8,False
85,10000,100000,2.5,100,300,0,0.004,0.0004,8,False
86,14000,100000,2.5,100,300,0,0.004,0.0004,8,False
87,6000,5000000,2.5,100,300,0,0.004,0.0004,8,False
88,10000,5000000,2.5,100,300,0,0.004,0.0004,8,False
89,14000,5000000,2.5,100,300,0,0.004,0.0004,8,False
90,6000,20000000,2.5,100,300,0,0.004,0.0004,8,False
91,10000,20000000,2.5,100,300,0,0.004,0.0004,8,False
92,14000,20000000,2.5,100,300,0,0.004,0.0004,8,False
93,6000,40000000,2.5,100,300,0,0.004,0.0004,8,False
94,10000,40000000,2.5,100,300,0,0.004,0.0004,8,False
95,14000,40000000,2.5,100,300,0,0.004,0.0004,8,False
96,6000,100000,2.5,4,300,0,0.001,0.0004,8,False
97,10000,100000,2.5,4,300,0,0.001,0.0004,8,False
98,14000,100000,2.5,4,300,0,0.001,0.0004,8,False
99,6000,5000000,2.5,4,300,0,0.001,0.0004,8,False
100,10000,5000000,2.5,4,300,0,0.001,0.0004,8,False
101,14000,5000000,2.5,4,300,0,0.001,0.0004,8,False
102,6000,20000000,2.5,4,300,0,0.001,0.0004,8,False
103,10000,20000000,2.5,4,300,0,0.001,0.0004,8,False
104,14000,20000000,2.5,4,300,0,0.001,0.0004,8,False
105,6000,40000000,2.5,4,300,0,0.001,0.0004,8,False
106,10000,40000000,2.5,4,300,0,0.001,0.0004,8,False
107,14000,40000000,2.5,4,300,0,0.001,0.0004,8,False
108,6000,100000,2.5,8,300,0,0.001,0.0004,8,False
109,10000,100000,2.5,8,300,0,0.001,0.0004,8,False
110,14000,100000,2.5,8,300,0,0.001,0.0004,8,False
111,6000,5000000,2.5,8,300,0,0.001,0.0004,8,False
112,10000,5000000,2.5,8,300,0,0.001,0.0004,8,False
113,14000,5000000,2.5,8,300,0,0.001,0.0004,8,False
114,6000,20000000,2.5,8,300,0,0.001,0.0004,8,False
115,10000,20000000,2.5,8,300,0,0.001,0.0004,8,False
116,14000,20000000,2.5,8,300,0,0.001,0.0004,8,False
117,6000,40000000,2.5,8,300,0,0.001,0.0004,8,False
118,10000,40000000,2.5,8,300,0,0.001,0.0004,8,False
119,14000,40000000,2.5,8,300,0,0.001,0.0004,8,False
120,6000,100000,2.5,25,300,0,0.001,0.0004,8,False
121,10000,100000,2.5,25,300,0,0.001,0.0004,8,False
122,14000,100000,2.5,25,300,0,0.001,0.0004,8,False
123,6000,5000000,2.5,25,300,0,0.001,0.0004,8,False
124,10000,5000000,2.5,25,300,0,0.001,0.0004,8,False
125,14000,5000000,2.5,25,300,0,0.001,0.0004,8,False
126,6000,20000000,2.5,25,300,0,0.001,0.0004,8,False
127,10000,20000000,2.5,25,300,0,0.001,0.0004,8,False
128,14000,20000000,2.5,25,300,0,0.001,0.0004,8,False
129,6000,40000000,2.5,25,300,0,0.001,0.0004,8,False
130,10000,40000000,2.5,25,300,0,0.001,0.0004,8,False
131,14000,40000000,2.5,25,300,0,0.001,0.0004,8,False
132,6000,100000,2.5,100,300,0,0.001,0.0004,8,False
133,10000,100000,2.5,100,300,0,0.001,0.0004,8,False
134,14000,100000,2.5,100,300,0,0.001,0.0004,8,False
135,6000,5000000,2.5,100,300,0,0.001,0.0004,8,False
136,10000,5000000,2.5,100,300,0,0.001,0.0004,8,False
137,14000,5000000,2.5,100,300,0,0.001,0.0004,8,False
138,6000,20000000,2.5,100,300,0,0.001,0.0004,8,False
139,10000,20000000,2.5,100,300,0,0.001,0.0004,8,False
140,14000,20000000,2.5,100,300,0,0.001,0.0004,8,False
141,6000,40000000,2.5,100,300,0,0.001,0.0004,8,False
142,10000,40000000,2.5,100,300,0,0.001,0.0004,8,False
143,14000,40000000,2.5,100,300,0,0.001,0.0004,8,False
144,6000,100000,2.5,4,300,0,0.01,0.0008,8,False
145,10000,100000,2.5,4,300,0,0.01,0.0008,8,False
146,14000,100000,2.5,4,300,0,0.01,0.0008,8,False
147,6000,5000000,2.5,4,300,0,0.01,0.0008,8,False
148,10000,5000000,2.5,4,300,0,0.01,0.0008,8,False
149,14000,5000000,2.5,4,300,0,0.01,0.0008,8,False
150,6000,20000000,2.5,4,300,0,0.01,0.0008,8,False
151,10000,20000000,2.5,4,300,0,0.01,0.0008,8,False
152,14000,20000000,2.5,4,300,0,0.01,0.0008,8,False
153,6000,40000000,2.5,4,300,0,0.01,0.0008,8,False
154,10000,40000000,2.5,4,300,0,0.01,0.0008,8,False
155,14000,40000000,2.5,4,300,0,0.01,0.0008,8,False
156,6000,100000,2.5,8,300,0,0.01,0.0008,8,False
157,10000,100000,2.5,8,300,0,0.01,0.0008,8,False
158,14000,100000,2.5,8,300,0,0.01,0.0008,8,False
159,6000,5000000,2.5,8,300,0,0.01,0.0008,8,False
