param_trial_62: mean reward 22.3156, mean std_error 1.1718361192833
param_trial_63: mean reward 39.47325, mean std_error 8.310123612157188
param_trial_719: mean reward 31.738975, mean std_error 5.792120360571698
param_trial_61: mean reward 22.184124999999998, mean std_error 1.1653344865327333
param_trial_45: mean reward 39.269625, mean std_error 7.30035861059735
param_trial_47: mean reward 30.509975, mean std_error 6.032726099825101
param_trial_49: mean reward 22.361825, mean std_error 1.1570200081923867
param_trial_50: mean reward 22.2436, mean std_error 1.1612381126218054
param_trial_52: mean reward 42.39665, mean std_error 7.423686876820643
param_trial_53: mean reward 38.558125, mean std_error 6.445247500689605
param_trial_55: mean reward 30.192099999999996, mean std_error 5.8904017802087205
param_trial_57: mean reward 38.106700000000004, mean std_error 7.594558134152106
param_trial_58: mean reward 29.834625000000003, mean std_error 6.066107186638881
param_trial_60: mean reward 22.3208, mean std_error 1.1686364248421774
param_trial_90: mean reward 42.8275, mean std_error 9.131373418599727
param_trial_0: mean reward 22.2685, mean std_error 1.1642280486143348
param_trial_1: mean reward 22.19625, mean std_error 1.1614139205827296
param_trial_2: mean reward 22.277275, mean std_error 1.1790835679572265
param_trial_3: mean reward 27.945299999999996, mean std_error 5.359411903993219
param_trial_4: mean reward 30.235075, mean std_error 5.585939282382787
param_trial_5: mean reward 34.754025, mean std_error 6.5236524867016055
param_trial_6: mean reward 30.257325, mean std_error 6.81501199827739
param_trial_7: mean reward 39.64405, mean std_error 8.003258986882145
param_trial_8: mean reward 41.2883, mean std_error 8.687268377042525
param_trial_9: mean reward 33.92835, mean std_error 7.416099171870087
param_trial_10: mean reward 35.86925, mean std_error 5.918432529045068
param_trial_11: mean reward 39.795700000000004, mean std_error 10.176785382321874
param_trial_12: mean reward 22.166675, mean std_error 1.1479845039319097
param_trial_13: mean reward 22.287124999999996, mean std_error 1.1843732880480873
param_trial_14: mean reward 22.267375, mean std_error 1.1583532518133985
param_trial_15: mean reward 28.571400000000004, mean std_error 4.570321321330236
param_trial_16: mean reward 40.0079, mean std_error 6.400019488398486
param_trial_17: mean reward 36.911475, mean std_error 6.274599596094704
param_trial_18: mean reward 33.71075, mean std_error 6.614985790686827
param_trial_19: mean reward 31.452974999999995, mean std_error 6.803452045450427
param_trial_20: mean reward 39.069175, mean std_error 6.912512271055205
param_trial_21: mean reward 36.1163, mean std_error 6.288124851135331
param_trial_22: mean reward 33.732725, mean std_error 6.417511748209417
param_trial_23: mean reward 29.451625000000003, mean std_error 4.765481149648533
param_trial_24: mean reward 22.197574999999997, mean std_error 1.1390720439979847
param_trial_25: mean reward 22.271900000000002, mean std_error 1.1678131292082623
param_trial_26: mean reward 22.261775000000004, mean std_error 1.1399983824662285
param_trial_27: mean reward 47.617375, mean std_error 8.257122142758659
param_trial_28: mean reward 35.333275, mean std_error 6.404226579562142
param_trial_29: mean reward 36.924175, mean std_error 7.278035571473913
param_trial_30: mean reward 31.61295, mean std_error 5.692158427110596
param_trial_31: mean reward 26.035074999999996, mean std_error 5.248457403955722
param_trial_32: mean reward 38.910475, mean std_error 6.736419766200581
param_trial_33: mean reward 61.87415000000001, mean std_error 11.813100815540011
param_trial_34: mean reward 35.527474999999995, mean std_error 7.2839658831603575
param_trial_35: mean reward 46.487449999999995, mean std_error 8.485443092909172
param_trial_36: mean reward 22.304425000000002, mean std_error 1.1712748471740126
param_trial_37: mean reward 22.151274999999995, mean std_error 1.1587944229676466
param_trial_38: mean reward 22.273625000000003, mean std_error 1.1845602534696125
param_trial_39: mean reward 43.498125, mean std_error 8.057619244986906
param_trial_40: mean reward 34.05115, mean std_error 6.846592949630305
param_trial_41: mean reward 33.428850000000004, mean std_error 7.361750758859008
param_trial_42: mean reward 48.65835, mean std_error 9.339544709621327
param_trial_43: mean reward 36.79774999999999, mean std_error 8.469868035614098
param_trial_44: mean reward 32.9965, mean std_error 6.09520666337474
param_trial_46: mean reward 42.036975000000005, mean std_error 7.731965888483646
param_trial_48: mean reward 22.321275, mean std_error 1.1594984900649066
param_trial_51: mean reward 31.901324999999996, mean std_error 6.638158150031948
param_trial_54: mean reward 27.542624999999997, mean std_error 4.664279098905953
param_trial_56: mean reward 37.531, mean std_error 6.7376665687329025
param_trial_59: mean reward 36.38665, mean std_error 7.2234431204832426
param_trial_64: mean reward 48.63210000000001, mean std_error 9.739684399778806
param_trial_65: mean reward 30.254625, mean std_error 5.620549826499341
param_trial_66: mean reward 38.6167, mean std_error 6.59586084777917
param_trial_67: mean reward 34.9187, mean std_error 9.762472098104375
param_trial_68: mean reward 35.467800000000004, mean std_error 9.86591976580591
param_trial_69: mean reward 28.032925, mean std_error 4.887441491081711
param_trial_70: mean reward 42.25662500000001, mean std_error 8.740590537443348
param_trial_71: mean reward 39.121475000000004, mean std_error 7.125836173485766
param_trial_72: mean reward 22.3167, mean std_error 1.1618951522335947
param_trial_73: mean reward 22.31775, mean std_error 1.1547655706159714
param_trial_74: mean reward 22.263775, mean std_error 1.1671866392188093
param_trial_75: mean reward 38.514849999999996, mean std_error 8.347241304973457
param_trial_76: mean reward 39.558324999999996, mean std_error 7.595176418510989
param_trial_77: mean reward 34.527575, mean std_error 5.8274331315958925
param_trial_78: mean reward 38.672399999999996, mean std_error 7.188261448375211
param_trial_79: mean reward 38.995725, mean std_error 6.30848904353789
param_trial_80: mean reward 29.766525, mean std_error 4.925791386481943
param_trial_81: mean reward 38.585100000000004, mean std_error 9.514540995288355
param_trial_82: mean reward 38.486675, mean std_error 8.052716809291466
param_trial_83: mean reward 37.09615, mean std_error 7.557201911950327
param_trial_84: mean reward 22.164675000000003, mean std_error 1.1413237673792558
param_trial_85: mean reward 22.271625000000004, mean std_error 1.1703517087085507
param_trial_86: mean reward 22.2801, mean std_error 1.1805644721106978
param_trial_87: mean reward 31.122675000000005, mean std_error 5.980394986316144
