,episode,reward
0,10,12.8
1,20,12.0
2,30,46.6
3,40,22.8
4,50,19.4
5,60,9.2
6,70,11.4
7,80,9.8
8,90,9.6
9,100,10.0
10,110,18.6
11,120,37.0
12,130,9.8
13,140,11.6
14,150,10.6
15,160,15.8
16,170,10.0
17,180,17.6
18,190,12.2
19,200,9.4
20,210,9.2
21,220,9.6
22,230,16.4
23,240,21.8
24,250,29.2
25,260,26.8
26,270,39.6
27,280,10.8
28,290,49.4
29,300,29.4
30,310,20.0
31,320,23.2
32,330,24.6
33,340,27.0
34,350,18.6
35,360,38.2
36,370,20.0
37,380,14.0
38,390,30.6
39,400,22.0
40,410,33.6
41,420,32.8
42,430,14.4
43,440,22.2
44,450,10.6
45,460,55.4
46,470,17.4
47,480,34.4
48,490,19.2
49,500,34.8
50,510,19.0
51,520,27.0
52,530,13.6
53,540,23.2
54,550,23.4
55,560,35.6
56,570,25.8
57,580,33.4
58,590,13.2
59,600,13.8
60,610,25.6
61,620,11.2
62,630,22.6
63,640,21.4
64,650,10.4
65,660,21.6
66,670,57.6
67,680,26.4
68,690,49.6
69,700,31.8
70,710,20.8
71,720,24.0
72,730,34.0
73,740,30.6
74,750,31.0
75,760,42.8
76,770,13.0
77,780,17.4
78,790,9.6
79,800,44.0
80,810,22.8
81,820,17.6
82,830,39.4
83,840,18.4
84,850,25.8
85,860,29.6
86,870,14.4
87,880,56.6
88,890,15.8
89,900,38.0
90,910,30.6
91,920,12.4
92,930,26.4
93,940,40.4
94,950,19.0
95,960,16.6
96,970,28.4
97,980,37.6
98,990,53.2
99,1000,35.0
100,1010,49.8
101,1020,36.8
102,1030,10.0
103,1040,46.6
104,1050,24.8
105,1060,33.2
106,1070,20.0
107,1080,28.0
108,1090,20.4
109,1100,11.8
110,1110,10.4
111,1120,20.6
112,1130,9.4
113,1140,18.2
114,1150,21.4
115,1160,10.0
116,1170,10.4
117,1180,29.4
118,1190,38.8
119,1200,39.4
120,1210,15.6
121,1220,12.8
122,1230,31.2
123,1240,26.4
124,1250,48.2
125,1260,29.4
126,1270,41.4
127,1280,23.0
128,1290,22.2
129,1300,42.6
130,1310,16.8
131,1320,41.6
132,1330,37.6
133,1340,40.4
134,1350,23.4
135,1360,25.4
136,1370,25.8
137,1380,45.2
138,1390,22.6
139,1400,13.6
140,1410,18.8
141,1420,49.0
142,1430,28.8
143,1440,22.0
144,1450,40.0
145,1460,30.6
146,1470,32.8
147,1480,23.2
148,1490,21.0
149,1500,23.2
150,1510,47.2
151,1520,11.8
152,1530,65.0
153,1540,9.6
154,1550,36.0
155,1560,21.0
156,1570,47.6
157,1580,23.4
158,1590,26.4
159,1600,35.6
160,1610,37.6
161,1620,10.6
162,1630,51.4
163,1640,12.8
164,1650,23.8
165,1660,25.6
166,1670,12.2
167,1680,40.0
168,1690,13.4
169,1700,11.0
170,1710,64.2
171,1720,27.2
172,1730,16.6
173,1740,43.4
174,1750,17.2
175,1760,12.4
176,1770,36.0
177,1780,48.0
178,1790,43.6
179,1800,43.0
180,1810,63.6
181,1820,29.8
182,1830,37.0
183,1840,34.0
184,1850,10.4
185,1860,24.0
186,1870,31.8
187,1880,18.2
188,1890,26.4
189,1900,36.0
190,1910,13.4
191,1920,14.4
192,1930,29.2
193,1940,17.8
194,1950,10.0
195,1960,10.2
196,1970,29.4
197,1980,34.4
198,1990,9.6
199,2000,12.8
200,2010,30.4
201,2020,27.4
202,2030,44.8
203,2040,11.4
204,2050,12.2
205,2060,61.6
206,2070,26.4
207,2080,16.8
208,2090,20.6
209,2100,38.4
210,2110,37.2
211,2120,44.0
212,2130,11.6
213,2140,52.0
214,2150,40.2
215,2160,10.4
216,2170,40.0
217,2180,22.6
218,2190,23.8
219,2200,37.2
220,2210,13.8
221,2220,53.2
222,2230,29.0
223,2240,11.4
224,2250,11.2
225,2260,12.4
226,2270,21.8
227,2280,20.2
228,2290,16.0
229,2300,16.6
230,2310,55.2
231,2320,27.8
232,2330,63.2
233,2340,13.2
234,2350,31.4
235,2360,11.8
236,2370,13.6
237,2380,19.6
238,2390,29.6
239,2400,13.6
240,2410,22.6
241,2420,13.6
242,2430,28.4
243,2440,19.8
244,2450,23.6
245,2460,36.8
246,2470,24.8
247,2480,10.4
