param_trial_29: mean reward 30.172475, mean std_error 4.94852613327616
param_trial_31: mean reward 38.000775, mean std_error 8.01584593207499
param_trial_33: mean reward 32.715725, mean std_error 6.877171997589919
param_trial_34: mean reward 30.006225000000004, mean std_error 4.9003200528706055
param_trial_0: mean reward 48.30085, mean std_error 11.397123957064968
param_trial_1: mean reward 43.4009, mean std_error 8.440183877793425
param_trial_2: mean reward 31.081075000000002, mean std_error 6.082661399761928
param_trial_3: mean reward 33.68425, mean std_error 5.898432891365133
param_trial_4: mean reward 38.899849999999994, mean std_error 7.148739567755097
param_trial_5: mean reward 27.982599999999998, mean std_error 4.813013405573605
param_trial_6: mean reward 27.112525000000005, mean std_error 4.66320821529976
param_trial_7: mean reward 37.903025, mean std_error 9.976394826366072
param_trial_8: mean reward 36.139575, mean std_error 6.087762366362233
param_trial_9: mean reward 29.2899, mean std_error 5.0104972721547645
param_trial_10: mean reward 37.265299999999996, mean std_error 6.353327792225732
param_trial_11: mean reward 45.1396, mean std_error 7.339974375163797
param_trial_12: mean reward 35.074175, mean std_error 7.17432694928246
param_trial_13: mean reward 33.356775, mean std_error 6.3493697754735345
param_trial_14: mean reward 35.294225, mean std_error 7.775184330597218
param_trial_15: mean reward 26.27985, mean std_error 4.087678405188988
param_trial_16: mean reward 28.120775, mean std_error 5.095075661836517
param_trial_17: mean reward 31.120600000000003, mean std_error 4.903727210263026
param_trial_18: mean reward 43.74525, mean std_error 10.146998680235662
param_trial_19: mean reward 42.33025, mean std_error 6.814658677547236
param_trial_20: mean reward 38.473625, mean std_error 9.196169591800654
param_trial_21: mean reward 36.157025, mean std_error 6.907874561129517
param_trial_22: mean reward 36.9622, mean std_error 6.672695798409994
param_trial_23: mean reward 45.5749, mean std_error 9.71798004423785
param_trial_24: mean reward 38.300225, mean std_error 8.324546336021685
param_trial_25: mean reward 44.33585, mean std_error 9.210773295982316
param_trial_26: mean reward 24.741300000000003, mean std_error 4.418603591288428
param_trial_27: mean reward 27.50745, mean std_error 4.872155914329392
param_trial_28: mean reward 47.050875, mean std_error 8.685707210468951
param_trial_30: mean reward 38.1187, mean std_error 7.471378468640796
param_trial_32: mean reward 39.319475000000004, mean std_error 8.164315620729884
param_trial_35: mean reward 40.046600000000005, mean std_error 6.706821043532807
