,episode,reward
0,19,93.8
1,39,101.8
2,59,104.8
3,79,104.0
4,99,109.8
5,119,106.8
6,139,103.2
7,159,325.8
8,179,106.4
9,199,305.2
10,219,102.8
11,239,107.4
12,259,105.0
13,279,104.2
14,299,105.8
15,319,100.4
16,339,100.8
17,359,104.6
18,379,106.4
19,399,107.2
20,419,0.0
21,439,105.8
22,459,109.8
23,479,103.2
24,499,105.4
25,519,103.2
26,539,102.0
27,559,100.0
28,579,2368.6
29,599,2399.0
30,619,846.6
31,639,849.2
32,659,266.4
33,679,266.2
34,699,797.2
35,719,802.6
36,739,1618.2
37,759,797.8
38,779,849.0
39,799,840.6
40,819,2701.2
41,839,1401.6
42,859,2174.0
43,879,2250.0
44,899,2379.0
45,919,2161.4
46,939,2084.2
47,959,2682.4
48,979,2032.4
49,999,3036.2
50,1019,2327.6
51,1039,2103.4
52,1059,2361.2
53,1079,2064.6
54,1099,2114.8
55,1119,2152.0
56,1139,2297.6
57,1159,2251.2
58,1179,2282.6
59,1199,2329.4
60,1219,2323.6
61,1239,2745.0
62,1259,1617.8
63,1279,1063.4
64,1299,1375.6
65,1319,3224.0
66,1339,1350.6
67,1359,3205.0
68,1379,1571.0
69,1399,1809.6
70,1419,3656.2
71,1439,3347.4
72,1459,4337.0
73,1479,2088.2
74,1499,1647.2
75,1519,3135.4
76,1539,1772.6
77,1559,2526.4
78,1579,3667.2
79,1599,5062.8
80,1619,2249.4
81,1639,4481.0
82,1659,6843.6
83,1679,3963.0
84,1699,2856.2
85,1719,3945.8
86,1739,460.0
87,1759,5353.6
88,1779,5333.6
89,1799,4114.0
90,1819,1695.4
91,1839,3668.2
92,1859,4926.4
93,1879,3696.6
94,1899,4801.4
95,1919,4888.6
96,1939,3816.4
97,1959,3126.4
98,1979,3737.8
99,1999,3092.8
100,2019,4610.2
101,2039,5252.4
102,2059,2940.4
103,2079,4388.8
104,2099,6235.8
105,2119,6403.6
106,2139,6961.2
107,2159,6391.8
108,2179,3813.6
109,2199,5141.8
110,2219,5566.8
111,2239,7567.8
112,2259,7101.8
113,2279,5591.4
114,2299,4497.2
115,2319,5399.8
116,2339,5561.2
117,2359,5794.8
118,2379,4399.2
119,2399,5377.6
120,2419,4522.2
121,2439,3854.6
122,2459,6735.8
123,2479,4059.8
124,2499,818.0
125,2519,6234.4
126,2539,4826.4
127,2559,7116.2
128,2579,7109.2
129,2599,6518.0
130,2619,2367.0
131,2639,4759.4
132,2659,4880.2
133,2679,1861.2
134,2699,4722.8
135,2719,2859.2
136,2739,5594.8
137,2759,6579.6
138,2779,4335.2
139,2799,4184.0
140,2819,7334.0
141,2839,6361.0
142,2859,7820.0
143,2879,4160.6
144,2899,5852.0
145,2919,4152.8
146,2939,3851.6
147,2959,2909.0
148,2979,4707.4
149,2999,6303.0
