,episode,reward
0,20,2179.6
1,40,3819.6
2,60,2906.4
3,80,3127.6
4,100,4006.0
5,120,3004.4
6,140,3741.2
7,160,3787.2
8,180,3549.8
9,200,2358.6
10,220,3065.6
11,240,3016.4
12,260,4043.8
13,280,4494.8
14,300,3879.6
15,320,4042.2
16,340,3013.0
17,360,3195.0
18,380,2260.2
19,400,2583.6
20,420,3678.2
21,440,3638.2
22,460,3621.0
23,480,3824.8
24,500,4536.6
25,520,3084.0
26,540,3954.6
27,560,4139.4
28,580,3339.6
29,600,4239.2
30,620,4163.4
31,640,3323.8
32,660,4352.0
33,680,3627.6
34,700,3744.8
35,720,3129.8
36,740,4289.4
37,760,4528.0
38,780,4227.6
39,800,4060.0
40,820,3711.6
41,840,4711.4
42,860,3542.4
43,880,4434.8
44,900,3906.8
45,920,3141.6
46,940,4680.2
47,960,3732.6
48,980,4279.6
49,1000,3321.6
50,1020,3564.0
51,1040,4519.2
52,1060,4263.0
53,1080,3855.8
54,1100,4251.8
55,1120,4040.4
56,1140,4401.2
57,1160,3236.0
58,1180,3628.8
59,1200,3466.8
60,1220,3512.2
61,1240,3333.0
62,1260,4214.8
63,1280,3338.8
64,1300,3244.2
65,1320,4404.6
66,1340,4233.2
67,1360,3782.4
68,1380,4627.2
69,1400,4046.6
70,1420,4005.8
71,1440,4338.0
72,1460,4668.2
73,1480,4100.0
74,1500,4585.0
75,1520,3072.0
76,1540,4134.6
77,1560,4626.4
78,1580,3749.8
79,1600,2778.2
80,1620,3652.2
81,1640,3788.0
82,1660,2508.6
83,1680,3321.0
84,1700,3444.8
85,1720,4383.2
86,1740,4075.0
87,1760,3291.0
88,1780,4558.2
89,1800,2498.2
90,1820,4312.8
91,1840,3617.2
92,1860,4313.6
93,1880,2464.0
94,1900,4834.6
95,1920,3790.0
96,1940,3558.6
97,1960,5155.0
98,1980,4573.2
99,2000,4499.8
100,2020,3041.2
101,2040,3041.8
102,2060,3501.0
103,2080,4561.4
104,2100,3729.8
105,2120,4944.2
106,2140,4022.0
107,2160,4136.2
108,2180,3965.0
109,2200,4170.8
110,2220,4700.0
111,2240,2921.6
112,2260,3129.4
113,2280,3965.2
114,2300,3850.0
115,2320,2511.8
116,2340,3634.2
117,2360,4699.2
118,2380,4764.2
119,2400,2745.8
120,2420,3255.8
121,2440,2442.4
122,2460,4062.4
123,2480,4772.6
124,2500,3696.4
125,2520,4775.2
126,2540,4423.8
127,2560,4004.2
128,2580,4226.2
129,2600,3534.2
130,2620,3103.0
131,2640,3275.0
132,2660,4360.6
133,2680,3316.6
134,2700,3035.8
135,2720,3724.0
136,2740,3178.6
137,2760,4612.4
138,2780,4736.0
139,2800,4772.0
140,2820,3628.6
141,2840,4493.4
142,2860,4701.0
143,2880,3942.6
144,2900,2647.0
145,2920,4073.2
146,2940,4251.2
147,2960,4004.2
148,2980,3686.4
149,3000,4026.0
