,episode,reward
0,10,21.2
1,20,28.4
2,30,29.0
3,40,27.0
4,50,10.6
5,60,31.4
6,70,10.8
7,80,11.6
8,90,15.6
9,100,16.0
10,110,57.0
11,120,46.2
12,130,34.6
13,140,10.2
14,150,24.4
15,160,32.4
16,170,32.4
17,180,13.4
18,190,47.0
19,200,17.2
20,210,35.4
21,220,22.4
22,230,34.2
23,240,22.2
24,250,50.6
25,260,13.0
26,270,15.8
27,280,51.4
28,290,24.6
29,300,11.8
30,310,39.4
31,320,27.2
32,330,17.2
33,340,20.0
34,350,13.0
35,360,25.4
36,370,17.6
37,380,21.0
38,390,26.0
39,400,42.4
40,410,23.8
41,420,17.8
42,430,48.0
43,440,10.4
44,450,25.4
45,460,62.6
46,470,36.6
47,480,33.2
48,490,23.0
49,500,18.8
50,510,15.6
51,520,29.6
52,530,9.0
53,540,29.4
54,550,36.6
55,560,50.8
56,570,11.0
57,580,10.0
58,590,26.4
59,600,10.4
60,610,22.4
61,620,24.2
62,630,29.8
63,640,26.4
64,650,18.4
65,660,23.4
66,670,26.2
67,680,19.2
68,690,27.2
69,700,33.2
70,710,11.0
71,720,45.4
72,730,20.8
73,740,13.8
74,750,18.0
75,760,36.0
76,770,14.4
77,780,30.0
78,790,21.4
79,800,27.2
80,810,11.4
81,820,41.2
82,830,13.6
83,840,12.6
84,850,38.8
85,860,19.8
86,870,28.0
87,880,15.6
88,890,27.4
89,900,28.0
90,910,46.8
91,920,30.0
92,930,23.4
93,940,16.8
94,950,25.6
95,960,55.0
96,970,18.8
97,980,18.6
98,990,25.4
99,1000,31.8
100,1010,52.0
101,1020,23.2
102,1030,22.4
103,1040,30.2
104,1050,20.8
105,1060,40.6
106,1070,16.8
107,1080,35.0
108,1090,18.8
109,1100,21.6
110,1110,27.4
111,1120,13.0
112,1130,25.2
113,1140,10.2
114,1150,19.4
115,1160,15.4
116,1170,17.2
117,1180,35.4
118,1190,9.2
119,1200,24.0
120,1210,46.2
121,1220,11.4
122,1230,21.6
123,1240,10.6
124,1250,17.4
125,1260,14.6
126,1270,24.4
127,1280,24.4
128,1290,36.6
129,1300,24.8
130,1310,17.4
131,1320,27.2
132,1330,46.2
133,1340,18.6
134,1350,20.4
135,1360,15.8
136,1370,20.0
137,1380,17.0
138,1390,19.0
139,1400,13.6
140,1410,11.6
141,1420,17.0
142,1430,25.4
143,1440,22.2
144,1450,35.6
145,1460,27.4
146,1470,19.4
147,1480,20.2
148,1490,36.6
149,1500,30.4
150,1510,17.4
151,1520,27.0
152,1530,11.6
153,1540,39.8
154,1550,22.8
155,1560,15.8
156,1570,20.8
157,1580,22.6
158,1590,31.0
159,1600,15.6
160,1610,16.2
161,1620,9.4
162,1630,17.8
163,1640,28.4
164,1650,38.2
165,1660,25.6
166,1670,39.2
167,1680,22.4
168,1690,21.8
169,1700,16.0
170,1710,37.2
171,1720,20.0
172,1730,14.8
173,1740,18.8
174,1750,40.6
175,1760,23.2
176,1770,23.8
177,1780,34.0
178,1790,21.2
179,1800,14.6
180,1810,36.0
181,1820,28.4
182,1830,30.8
183,1840,44.0
184,1850,13.6
185,1860,43.6
186,1870,16.6
187,1880,19.2
188,1890,12.2
189,1900,27.8
190,1910,21.4
191,1920,22.0
192,1930,22.6
193,1940,18.0
194,1950,30.0
195,1960,21.2
196,1970,15.0
197,1980,25.6
198,1990,15.2
199,2000,21.2
200,2010,28.0
201,2020,23.4
202,2030,10.8
203,2040,32.0
204,2050,22.8
205,2060,29.8
206,2070,30.8
207,2080,22.6
208,2090,18.4
209,2100,21.8
210,2110,16.6
211,2120,13.2
212,2130,19.8
213,2140,36.0
214,2150,25.8
215,2160,19.8
216,2170,24.4
217,2180,23.0
218,2190,32.2
219,2200,18.2
220,2210,19.4
221,2220,13.2
222,2230,25.0
223,2240,25.2
224,2250,18.8
225,2260,27.0
226,2270,29.0
227,2280,38.8
228,2290,27.8
229,2300,28.8
230,2310,16.0
231,2320,10.6
232,2330,21.4
233,2340,21.0
234,2350,23.8
235,2360,27.6
236,2370,16.6
237,2380,33.4
238,2390,22.0
239,2400,34.0
240,2410,22.0
241,2420,43.6
242,2430,11.2
243,2440,23.4
244,2450,15.0
245,2460,34.8
246,2470,24.8
247,2480,24.2
248,2490,16.0
249,2500,23.6
250,2510,19.4
251,2520,10.2
252,2530,14.6
253,2540,24.2
254,2550,21.6
255,2560,17.2
256,2570,25.2
257,2580,21.6
258,2590,28.2
259,2600,23.8
260,2610,18.4
261,2620,33.2
262,2630,27.4
263,2640,27.6
264,2650,19.2
265,2660,17.4
266,2670,19.4
267,2680,22.2
268,2690,10.2
269,2700,14.4
270,2710,31.4
271,2720,20.0
272,2730,28.4
273,2740,42.6
274,2750,15.6
275,2760,19.8
276,2770,26.2
277,2780,22.8
278,2790,11.4
279,2800,15.8
280,2810,29.0
281,2820,42.0
282,2830,37.8
283,2840,14.8
284,2850,18.8
285,2860,10.8
286,2870,16.0
287,2880,22.2
288,2890,16.8
289,2900,36.8
290,2910,17.6
291,2920,9.6
292,2930,8.8
293,2940,15.8
294,2950,11.8
295,2960,16.8
296,2970,29.2
297,2980,30.6
298,2990,22.0
299,3000,26.0
300,3010,20.8
301,3020,19.8
302,3030,17.6
303,3040,19.8
304,3050,14.4
305,3060,17.4
306,3070,24.2
307,3080,10.2
308,3090,18.0
309,3100,13.0
310,3110,15.2
311,3120,16.0
312,3130,16.6
313,3140,10.2
314,3150,18.2
315,3160,48.8
316,3170,13.6
317,3180,19.0
318,3190,19.8
319,3200,36.6
320,3210,14.4
321,3220,13.8
322,3230,25.2
323,3240,27.2
324,3250,24.0
325,3260,9.2
326,3270,10.6
327,3280,14.6
328,3290,28.6
329,3300,22.6
330,3310,34.0
331,3320,49.2
332,3330,17.2
333,3340,22.2
334,3350,35.8
335,3360,27.4
336,3370,28.4
337,3380,19.6
338,3390,16.2
339,3400,28.6
340,3410,12.0
341,3420,42.6
342,3430,16.8
343,3440,25.8
344,3450,20.2
345,3460,36.4
346,3470,32.6
347,3480,13.0
348,3490,25.2
349,3500,18.2
350,3510,25.2
351,3520,18.2
352,3530,19.4
353,3540,18.8
354,3550,24.2
355,3560,20.0
356,3570,24.6
357,3580,28.8
358,3590,18.2
359,3600,14.6
360,3610,48.6
361,3620,18.0
362,3630,12.8
363,3640,30.2
364,3650,64.6
365,3660,18.0
366,3670,19.0
367,3680,17.4
368,3690,16.2
369,3700,21.2
370,3710,27.6
371,3720,26.0
372,3730,15.4
373,3740,17.4
374,3750,14.4
375,3760,18.2
376,3770,28.2
377,3780,11.8
378,3790,24.4
379,3800,10.2
380,3810,34.0
381,3820,39.6
382,3830,16.4
383,3840,23.6
384,3850,21.2
385,3860,18.0
386,3870,22.2
387,3880,19.2
388,3890,21.4
389,3900,10.2
390,3910,40.8
391,3920,14.8
392,3930,24.4
393,3940,26.4
394,3950,22.2
395,3960,48.0
396,3970,37.8
397,3980,38.4
398,3990,50.6
399,4000,25.6
