,episode,reward
0,10,20.0
1,20,19.0
2,30,19.4
3,40,30.8
4,50,53.4
5,60,27.2
6,70,65.2
7,80,41.4
8,90,92.2
9,100,48.8
10,110,33.2
11,120,62.2
12,130,73.4
13,140,54.4
14,150,65.6
15,160,93.2
16,170,43.4
17,180,65.0
18,190,45.8
19,200,51.4
20,210,37.8
21,220,31.0
22,230,31.6
23,240,41.8
24,250,42.2
25,260,40.4
26,270,35.4
27,280,38.6
28,290,57.2
29,300,51.2
30,310,28.6
31,320,23.2
32,330,43.4
33,340,21.0
34,350,28.4
35,360,34.0
36,370,18.6
37,380,29.4
38,390,33.2
39,400,44.0
40,410,32.4
41,420,22.2
42,430,38.4
43,440,26.4
44,450,18.8
45,460,26.2
46,470,20.2
47,480,27.0
48,490,38.6
49,500,24.0
50,510,32.4
51,520,50.2
52,530,29.6
53,540,30.0
54,550,70.4
55,560,32.4
56,570,39.8
57,580,36.8
58,590,37.2
59,600,26.6
60,610,39.0
61,620,44.0
62,630,40.6
63,640,37.4
64,650,24.2
65,660,46.6
66,670,35.6
67,680,23.0
68,690,74.0
69,700,38.8
70,710,38.2
71,720,22.4
72,730,26.0
73,740,54.8
74,750,29.4
75,760,23.6
76,770,40.4
77,780,22.6
78,790,28.8
79,800,40.4
80,810,37.6
81,820,22.8
82,830,17.2
83,840,33.4
84,850,26.4
85,860,20.2
86,870,20.0
87,880,21.2
88,890,25.8
89,900,34.8
90,910,50.0
91,920,15.6
92,930,41.4
93,940,29.6
94,950,19.6
95,960,27.0
96,970,37.4
97,980,39.6
98,990,27.8
99,1000,30.4
100,1010,40.2
101,1020,25.8
102,1030,20.0
103,1040,17.0
104,1050,34.0
105,1060,44.0
106,1070,25.8
107,1080,25.2
108,1090,16.8
109,1100,48.8
110,1110,23.2
111,1120,25.2
112,1130,31.8
113,1140,38.6
114,1150,42.8
115,1160,56.2
116,1170,61.0
117,1180,23.0
118,1190,46.4
119,1200,37.2
120,1210,60.4
121,1220,40.2
122,1230,33.0
123,1240,57.6
124,1250,34.6
125,1260,26.4
126,1270,45.8
127,1280,24.2
128,1290,43.8
129,1300,99.2
130,1310,22.6
131,1320,18.6
132,1330,43.4
133,1340,48.2
134,1350,40.8
135,1360,21.2
136,1370,35.0
137,1380,45.8
138,1390,43.8
139,1400,25.0
140,1410,19.0
141,1420,34.2
142,1430,20.8
143,1440,25.6
144,1450,51.6
145,1460,30.6
146,1470,42.8
147,1480,33.2
148,1490,29.2
149,1500,58.0
150,1510,46.2
151,1520,27.8
152,1530,18.0
153,1540,30.6
154,1550,60.2
155,1560,37.0
156,1570,36.8
157,1580,14.0
158,1590,31.6
159,1600,51.6
160,1610,28.6
161,1620,21.8
162,1630,18.2
163,1640,28.4
164,1650,44.4
165,1660,38.0
166,1670,54.2
167,1680,31.6
168,1690,34.8
169,1700,28.0
170,1710,51.4
171,1720,25.8
172,1730,37.0
173,1740,27.2
174,1750,23.6
175,1760,17.2
176,1770,23.4
177,1780,12.6
178,1790,35.0
179,1800,23.8
180,1810,30.8
181,1820,31.6
182,1830,48.8
183,1840,57.2
184,1850,29.8
185,1860,19.8
186,1870,21.6
187,1880,20.4
188,1890,29.2
189,1900,25.0
190,1910,41.8
191,1920,49.4
192,1930,73.4
193,1940,72.0
194,1950,34.2
195,1960,37.2
196,1970,27.4
197,1980,21.6
198,1990,49.8
199,2000,32.4
200,2010,27.2
201,2020,33.8
202,2030,37.6
203,2040,26.2
204,2050,35.2
205,2060,14.4
206,2070,20.6
207,2080,37.0
208,2090,30.4
209,2100,24.2
210,2110,44.6
211,2120,14.8
212,2130,18.8
213,2140,32.0
214,2150,20.6
215,2160,15.4
216,2170,41.6
217,2180,70.0
218,2190,50.2
219,2200,20.6
220,2210,51.6
221,2220,36.6
222,2230,34.2
223,2240,56.2
224,2250,44.6
225,2260,46.6
226,2270,42.8
227,2280,27.4
228,2290,41.0
229,2300,32.6
230,2310,34.0
231,2320,19.8
232,2330,40.6
233,2340,19.8
234,2350,21.8
235,2360,27.4
236,2370,33.2
237,2380,61.4
238,2390,30.6
239,2400,44.6
240,2410,42.6
241,2420,27.4
242,2430,33.2
243,2440,39.4
244,2450,24.8
245,2460,31.2
246,2470,43.6
247,2480,33.0
248,2490,16.6
249,2500,37.0
250,2510,29.6
251,2520,20.8
252,2530,42.0
253,2540,14.6
254,2550,44.6
255,2560,24.8
256,2570,31.2
257,2580,39.0
258,2590,62.4
259,2600,35.8
260,2610,27.0
261,2620,65.6
262,2630,37.8
263,2640,25.2
264,2650,39.8
265,2660,25.2
266,2670,31.2
267,2680,16.8
268,2690,23.2
269,2700,36.0
270,2710,46.4
271,2720,27.6
272,2730,14.4
273,2740,47.2
274,2750,45.4
275,2760,32.4
276,2770,33.8
277,2780,47.8
278,2790,31.4
279,2800,21.6
280,2810,21.8
281,2820,17.0
282,2830,30.4
283,2840,20.4
284,2850,61.0
285,2860,40.2
286,2870,35.6
287,2880,33.4
288,2890,25.2
289,2900,17.0
290,2910,20.0
291,2920,43.6
292,2930,24.4
293,2940,29.2
294,2950,45.4
295,2960,20.6
296,2970,19.8
297,2980,31.0
298,2990,33.4
299,3000,26.0
300,3010,38.8
301,3020,22.4
302,3030,33.2
303,3040,18.0
304,3050,16.4
305,3060,48.6
306,3070,49.6
307,3080,29.2
308,3090,33.4
309,3100,30.2
310,3110,67.4
311,3120,32.2
312,3130,23.8
313,3140,22.2
314,3150,46.4
315,3160,60.2
316,3170,39.6
317,3180,52.4
318,3190,36.6
319,3200,17.6
320,3210,47.0
321,3220,17.8
322,3230,32.6
323,3240,24.6
324,3250,21.0
325,3260,24.8
326,3270,38.2
327,3280,20.8
328,3290,43.2
329,3300,15.4
330,3310,53.2
331,3320,17.2
332,3330,70.4
333,3340,52.8
334,3350,34.2
335,3360,39.6
336,3370,47.2
337,3380,35.6
338,3390,32.4
339,3400,45.8
340,3410,31.6
341,3420,27.4
342,3430,24.2
343,3440,21.6
344,3450,22.2
345,3460,59.6
346,3470,48.4
347,3480,48.0
348,3490,72.6
349,3500,64.4
350,3510,22.4
351,3520,16.0
352,3530,40.8
353,3540,42.0
354,3550,43.8
355,3560,53.6
356,3570,17.4
357,3580,78.0
358,3590,30.2
359,3600,29.2
360,3610,41.2
361,3620,46.2
362,3630,59.6
363,3640,72.8
364,3650,39.6
365,3660,23.2
366,3670,34.8
367,3680,47.4
368,3690,21.8
369,3700,20.8
370,3710,30.6
371,3720,23.8
372,3730,24.4
373,3740,34.4
374,3750,31.6
375,3760,48.2
376,3770,39.2
377,3780,38.2
378,3790,22.6
379,3800,27.6
380,3810,45.0
381,3820,53.6
382,3830,86.0
383,3840,55.2
384,3850,37.6
385,3860,74.6
386,3870,30.2
387,3880,61.2
388,3890,28.4
389,3900,45.6
390,3910,17.6
391,3920,51.4
392,3930,41.0
393,3940,35.0
394,3950,33.8
395,3960,30.6
396,3970,35.4
397,3980,45.6
398,3990,23.2
399,4000,35.6
