,episode,reward
0,10,23.8
1,20,21.6
2,30,34.8
3,40,41.0
4,50,32.4
5,60,37.6
6,70,22.4
7,80,25.4
8,90,25.4
9,100,18.2
10,110,17.2
11,120,18.2
12,130,19.8
13,140,46.6
14,150,42.6
15,160,36.4
16,170,18.8
17,180,25.8
18,190,29.2
19,200,26.2
20,210,20.6
21,220,29.2
22,230,25.8
23,240,31.4
24,250,22.0
25,260,20.6
26,270,18.4
27,280,22.0
28,290,24.8
29,300,25.8
30,310,27.0
31,320,56.2
32,330,57.4
33,340,68.0
34,350,62.8
35,360,26.2
36,370,37.2
37,380,32.0
38,390,37.8
39,400,20.6
40,410,77.0
41,420,30.4
42,430,19.6
43,440,36.2
44,450,44.8
45,460,45.6
46,470,35.4
47,480,45.0
48,490,30.8
49,500,18.6
50,510,40.2
51,520,44.0
52,530,45.0
53,540,32.4
54,550,33.2
55,560,31.6
56,570,29.8
57,580,46.8
58,590,38.4
59,600,49.2
60,610,19.8
61,620,22.8
62,630,40.0
63,640,46.0
64,650,46.4
65,660,36.2
66,670,28.2
67,680,62.4
68,690,42.8
69,700,40.4
70,710,38.4
71,720,26.2
72,730,32.4
73,740,32.4
74,750,29.2
75,760,56.2
76,770,31.2
77,780,33.4
78,790,40.8
79,800,41.0
80,810,49.6
81,820,46.8
82,830,38.6
83,840,41.6
84,850,41.8
85,860,22.2
86,870,30.8
87,880,38.6
88,890,41.2
89,900,40.8
90,910,37.8
91,920,40.6
92,930,34.4
93,940,33.6
94,950,37.0
95,960,62.8
96,970,35.6
97,980,34.4
98,990,44.8
99,1000,32.0
100,1010,45.8
101,1020,28.0
102,1030,44.6
103,1040,31.8
104,1050,38.8
105,1060,36.6
106,1070,47.4
107,1080,34.8
108,1090,24.2
109,1100,35.0
110,1110,59.8
111,1120,34.2
112,1130,70.0
113,1140,32.0
114,1150,19.8
115,1160,43.2
116,1170,39.0
117,1180,35.6
118,1190,22.4
119,1200,36.6
120,1210,46.8
121,1220,44.2
122,1230,37.6
123,1240,46.0
124,1250,17.4
125,1260,57.4
126,1270,41.4
127,1280,34.2
128,1290,40.4
129,1300,41.4
130,1310,23.8
131,1320,39.4
132,1330,33.8
133,1340,39.8
134,1350,27.2
135,1360,59.2
136,1370,46.0
137,1380,38.6
138,1390,35.6
139,1400,30.8
140,1410,51.0
141,1420,28.4
142,1430,28.2
143,1440,31.4
144,1450,30.2
145,1460,37.0
146,1470,29.0
147,1480,24.8
148,1490,41.4
149,1500,47.2
150,1510,27.8
151,1520,19.0
152,1530,56.0
153,1540,26.4
154,1550,32.2
155,1560,35.2
156,1570,32.8
157,1580,37.6
158,1590,32.6
159,1600,51.6
160,1610,34.0
161,1620,50.4
162,1630,31.4
163,1640,31.8
164,1650,36.0
165,1660,36.0
166,1670,51.8
167,1680,37.4
168,1690,28.0
169,1700,36.8
170,1710,42.8
171,1720,36.0
172,1730,30.6
173,1740,28.6
174,1750,33.2
175,1760,54.2
176,1770,29.2
177,1780,19.6
178,1790,25.6
179,1800,28.8
180,1810,29.8
181,1820,35.8
182,1830,28.0
183,1840,49.8
184,1850,27.4
185,1860,41.4
186,1870,39.6
187,1880,29.4
188,1890,28.8
189,1900,43.8
190,1910,32.0
191,1920,29.2
192,1930,32.6
193,1940,37.4
194,1950,50.2
195,1960,30.6
196,1970,24.4
197,1980,28.4
198,1990,32.2
199,2000,35.8
200,2010,39.6
201,2020,20.6
202,2030,21.4
203,2040,43.2
204,2050,34.6
205,2060,33.6
206,2070,51.0
207,2080,28.0
208,2090,34.4
209,2100,32.4
210,2110,24.0
211,2120,44.8
212,2130,40.6
213,2140,43.4
214,2150,48.2
215,2160,27.2
216,2170,33.0
217,2180,32.4
218,2190,40.8
219,2200,47.2
220,2210,29.2
221,2220,50.4
222,2230,38.8
223,2240,50.6
224,2250,21.8
225,2260,43.6
226,2270,31.2
227,2280,31.2
228,2290,33.6
229,2300,26.2
230,2310,32.0
231,2320,26.4
232,2330,40.4
233,2340,28.6
234,2350,40.0
235,2360,28.4
236,2370,28.4
237,2380,35.2
238,2390,58.6
239,2400,48.4
240,2410,32.4
241,2420,30.6
242,2430,39.8
243,2440,48.2
244,2450,30.6
245,2460,34.0
246,2470,35.6
247,2480,20.2
248,2490,26.2
249,2500,36.6
250,2510,26.4
251,2520,31.8
252,2530,40.8
253,2540,36.8
254,2550,25.6
255,2560,38.2
256,2570,36.2
257,2580,27.6
258,2590,30.2
259,2600,50.8
260,2610,37.6
261,2620,61.6
262,2630,27.4
263,2640,30.8
264,2650,32.2
265,2660,37.0
266,2670,26.6
267,2680,37.6
268,2690,36.2
269,2700,24.6
270,2710,22.4
271,2720,40.2
272,2730,37.8
273,2740,29.2
274,2750,45.4
275,2760,31.6
276,2770,29.6
277,2780,29.2
278,2790,25.6
279,2800,34.6
280,2810,31.8
281,2820,37.8
282,2830,43.2
283,2840,25.6
284,2850,35.2
285,2860,54.0
286,2870,39.8
287,2880,38.8
288,2890,43.8
289,2900,33.0
290,2910,37.2
291,2920,27.6
292,2930,30.8
293,2940,48.0
294,2950,37.0
295,2960,39.6
296,2970,37.2
297,2980,30.2
298,2990,41.6
299,3000,46.2
300,3010,46.4
301,3020,44.8
302,3030,48.8
303,3040,33.6
304,3050,48.4
305,3060,50.8
306,3070,48.8
307,3080,38.8
308,3090,44.4
309,3100,42.8
310,3110,31.6
311,3120,34.6
312,3130,47.4
313,3140,44.0
314,3150,38.2
315,3160,31.6
316,3170,33.0
317,3180,24.8
318,3190,36.6
319,3200,35.0
320,3210,31.8
321,3220,35.2
322,3230,26.8
323,3240,35.0
324,3250,39.4
325,3260,26.0
326,3270,38.2
327,3280,41.0
328,3290,52.6
329,3300,41.6
330,3310,27.4
331,3320,44.4
332,3330,21.0
333,3340,59.6
334,3350,25.6
335,3360,63.6
336,3370,47.8
337,3380,26.2
338,3390,37.4
339,3400,41.8
340,3410,29.0
341,3420,33.2
342,3430,33.6
343,3440,38.2
344,3450,33.6
345,3460,33.6
346,3470,36.2
347,3480,45.4
348,3490,47.4
349,3500,48.0
350,3510,40.6
351,3520,23.8
352,3530,38.2
353,3540,36.4
354,3550,35.2
355,3560,39.8
356,3570,35.0
357,3580,38.2
358,3590,41.2
359,3600,36.2
360,3610,45.6
361,3620,45.0
362,3630,39.8
363,3640,30.6
364,3650,44.4
365,3660,34.8
366,3670,54.6
367,3680,35.6
368,3690,34.2
369,3700,45.0
370,3710,35.8
371,3720,37.0
372,3730,33.0
373,3740,31.4
374,3750,49.6
375,3760,33.0
376,3770,29.0
377,3780,49.8
378,3790,46.8
379,3800,35.8
380,3810,38.6
381,3820,33.0
382,3830,64.4
383,3840,27.8
384,3850,61.0
385,3860,28.6
386,3870,35.4
387,3880,29.0
388,3890,34.2
389,3900,28.0
390,3910,31.4
391,3920,42.2
392,3930,69.0
393,3940,38.2
394,3950,29.2
395,3960,56.2
396,3970,57.6
397,3980,29.6
398,3990,67.6
399,4000,37.8
