,episode,reward
0,10,51.6
1,20,73.0
2,30,49.0
3,40,16.8
4,50,45.8
5,60,40.0
6,70,22.8
7,80,32.6
8,90,22.6
9,100,29.0
10,110,28.6
11,120,30.8
12,130,37.6
13,140,41.8
14,150,49.6
15,160,98.6
16,170,29.4
17,180,39.2
18,190,44.0
19,200,68.0
20,210,55.8
21,220,65.6
22,230,51.6
23,240,68.2
24,250,29.6
25,260,54.6
26,270,66.8
27,280,31.4
28,290,58.4
29,300,45.4
30,310,33.2
31,320,33.8
32,330,22.6
33,340,29.2
34,350,32.8
35,360,64.8
36,370,42.6
37,380,59.8
38,390,28.8
39,400,39.0
40,410,52.2
41,420,41.4
42,430,52.6
43,440,42.8
44,450,43.0
45,460,31.6
46,470,52.4
47,480,43.0
48,490,38.2
49,500,49.2
50,510,57.0
51,520,52.0
52,530,83.6
53,540,37.6
54,550,64.2
55,560,53.4
56,570,40.8
57,580,56.4
58,590,37.6
59,600,74.4
60,610,33.6
61,620,68.0
62,630,53.2
63,640,32.6
64,650,29.4
65,660,50.6
66,670,35.6
67,680,83.6
68,690,99.6
69,700,118.4
70,710,53.0
71,720,38.6
72,730,74.8
73,740,54.8
74,750,55.8
75,760,46.0
76,770,39.6
77,780,42.4
78,790,77.8
79,800,70.2
80,810,54.6
81,820,63.8
82,830,44.6
83,840,43.2
84,850,65.4
85,860,73.2
86,870,61.0
87,880,87.4
88,890,59.4
89,900,34.0
90,910,70.6
91,920,46.2
92,930,59.6
93,940,67.2
94,950,81.4
95,960,41.8
96,970,31.0
97,980,40.0
98,990,79.0
99,1000,32.4
100,1010,73.2
101,1020,62.2
102,1030,71.2
103,1040,32.4
104,1050,95.8
105,1060,62.2
106,1070,45.6
107,1080,74.2
108,1090,53.2
109,1100,61.4
110,1110,140.6
111,1120,27.0
112,1130,33.6
113,1140,104.0
114,1150,37.4
115,1160,71.6
116,1170,37.6
117,1180,86.6
118,1190,76.4
119,1200,59.2
120,1210,141.4
121,1220,36.0
122,1230,22.4
123,1240,73.4
124,1250,23.8
125,1260,112.0
126,1270,47.2
127,1280,79.0
128,1290,62.2
129,1300,39.6
130,1310,43.8
131,1320,42.0
132,1330,50.0
133,1340,73.0
134,1350,100.2
135,1360,92.2
136,1370,39.0
137,1380,57.2
138,1390,58.2
139,1400,40.0
140,1410,55.0
141,1420,80.4
142,1430,29.0
143,1440,76.6
144,1450,74.8
145,1460,42.4
146,1470,88.0
147,1480,35.8
148,1490,28.0
149,1500,51.8
150,1510,48.8
151,1520,41.8
152,1530,34.4
153,1540,33.6
154,1550,58.6
155,1560,27.8
156,1570,88.6
157,1580,38.0
158,1590,85.8
159,1600,33.0
160,1610,80.8
161,1620,34.6
162,1630,50.2
163,1640,95.8
164,1650,46.0
165,1660,61.6
166,1670,47.8
167,1680,115.8
168,1690,36.2
169,1700,80.8
170,1710,96.6
171,1720,79.0
172,1730,25.6
173,1740,37.4
174,1750,84.4
175,1760,32.4
176,1770,53.8
177,1780,46.4
178,1790,70.6
179,1800,20.6
180,1810,58.2
181,1820,48.0
182,1830,93.6
183,1840,93.8
184,1850,38.8
185,1860,37.2
186,1870,49.2
187,1880,97.0
188,1890,42.2
189,1900,29.4
190,1910,25.6
191,1920,31.6
192,1930,110.8
193,1940,59.2
194,1950,45.2
195,1960,64.6
196,1970,37.6
197,1980,67.4
198,1990,29.8
199,2000,34.2
200,2010,46.2
201,2020,73.8
202,2030,78.0
203,2040,74.8
204,2050,41.2
205,2060,47.6
206,2070,84.6
207,2080,154.8
208,2090,30.6
209,2100,33.4
210,2110,46.6
211,2120,54.2
212,2130,23.0
213,2140,43.6
214,2150,52.4
215,2160,81.4
216,2170,47.8
217,2180,116.6
218,2190,45.4
219,2200,70.8
220,2210,38.0
221,2220,78.4
222,2230,98.4
223,2240,76.2
224,2250,137.2
225,2260,45.0
226,2270,56.2
227,2280,111.6
228,2290,30.6
