,episode,reward
0,20,9.2
1,40,11.0
2,60,9.4
3,80,10.6
4,100,9.4
5,120,9.6
6,140,13.6
7,160,12.8
8,180,68.6
9,200,36.4
10,220,24.8
11,240,30.6
12,260,12.6
13,280,10.2
14,300,11.0
15,320,20.4
16,340,43.8
17,360,11.8
18,380,9.2
19,400,18.0
20,420,48.0
21,440,12.2
22,460,12.2
23,480,18.2
24,500,9.2
25,520,14.6
26,540,13.2
27,560,12.4
28,580,10.8
29,600,10.0
30,620,10.0
31,640,10.6
32,660,11.0
33,680,15.2
34,700,17.2
35,720,19.2
36,740,44.8
37,760,15.0
38,780,12.8
39,800,11.2
40,820,16.6
41,840,19.6
42,860,40.6
43,880,46.6
44,900,33.4
45,920,17.6
46,940,28.6
47,960,13.8
48,980,21.6
49,1000,28.6
50,1020,17.6
51,1040,35.0
52,1060,11.8
53,1080,14.4
54,1100,14.2
55,1120,18.8
56,1140,16.2
57,1160,16.6
58,1180,18.6
59,1200,18.0
60,1220,31.0
61,1240,21.8
62,1260,17.6
63,1280,9.4
64,1300,20.8
65,1320,12.8
66,1340,9.8
67,1360,11.2
68,1380,19.0
69,1400,11.8
70,1420,16.6
71,1440,14.0
72,1460,14.4
73,1480,23.2
74,1500,18.4
75,1520,22.2
76,1540,24.4
77,1560,23.2
78,1580,25.2
79,1600,29.0
80,1620,86.2
81,1640,74.4
82,1660,40.2
83,1680,135.0
84,1700,21.6
85,1720,56.4
86,1740,96.0
87,1760,9.2
88,1780,14.0
89,1800,57.4
90,1820,48.4
91,1840,121.4
92,1860,27.6
93,1880,221.6
94,1900,70.8
95,1920,128.8
96,1940,53.2
97,1960,26.6
98,1980,58.6
99,2000,108.2
100,2020,203.8
101,2040,9.8
102,2060,9.6
103,2080,9.8
104,2100,10.8
105,2120,10.0
106,2140,10.0
107,2160,13.4
108,2180,10.0
109,2200,41.8
110,2220,10.6
111,2240,9.6
112,2260,10.2
113,2280,9.8
114,2300,14.0
115,2320,20.4
116,2340,126.2
117,2360,10.2
118,2380,11.8
119,2400,9.8
120,2420,10.8
121,2440,46.8
122,2460,26.4
123,2480,10.0
124,2500,9.4
125,2520,9.2
126,2540,10.2
127,2560,10.4
128,2580,9.2
129,2600,8.8
130,2620,9.4
131,2640,45.0
132,2660,15.2
133,2680,16.0
134,2700,9.6
135,2720,40.8
136,2740,9.2
137,2760,36.0
138,2780,11.0
139,2800,10.2
140,2820,10.6
141,2840,9.6
142,2860,9.8
143,2880,10.8
144,2900,11.6
145,2920,26.6
146,2940,53.6
147,2960,29.2
148,2980,44.2
149,3000,9.6
