,episode,reward
0,20,8.8
1,40,10.0
2,60,9.2
3,80,9.4
4,100,9.2
5,120,9.8
6,140,10.0
7,160,9.4
8,180,9.4
9,200,9.6
10,220,9.4
11,240,19.4
12,260,14.4
13,280,17.6
14,300,16.2
15,320,9.8
16,340,9.4
17,360,9.4
18,380,9.2
19,400,17.4
20,420,16.6
21,440,9.6
22,460,9.0
23,480,9.8
24,500,9.6
25,520,19.4
26,540,24.8
27,560,22.6
28,580,15.6
29,600,29.2
30,620,30.6
31,640,32.4
32,660,30.2
33,680,20.6
34,700,24.8
35,720,18.4
36,740,10.0
37,760,9.6
38,780,26.6
39,800,23.4
40,820,20.2
41,840,18.6
42,860,20.2
43,880,22.0
44,900,32.6
45,920,46.2
46,940,25.2
47,960,30.2
48,980,37.0
49,1000,31.0
50,1020,26.6
51,1040,29.2
52,1060,34.0
53,1080,23.0
54,1100,28.0
55,1120,38.0
56,1140,32.2
57,1160,38.0
58,1180,40.6
59,1200,23.2
60,1220,30.0
61,1240,26.2
62,1260,35.0
63,1280,21.0
64,1300,33.6
65,1320,31.0
66,1340,29.6
67,1360,30.6
68,1380,43.8
69,1400,30.6
70,1420,25.8
71,1440,23.2
72,1460,26.2
73,1480,26.6
74,1500,21.6
75,1520,22.2
76,1540,30.8
77,1560,36.8
78,1580,31.8
79,1600,26.2
80,1620,20.6
81,1640,31.2
82,1660,27.0
83,1680,29.0
84,1700,26.0
85,1720,26.4
86,1740,29.8
87,1760,31.4
88,1780,23.8
89,1800,24.2
90,1820,37.6
91,1840,18.6
92,1860,18.4
93,1880,39.6
94,1900,37.4
95,1920,34.6
96,1940,30.6
97,1960,32.4
98,1980,31.8
99,2000,23.2
100,2020,22.6
101,2040,40.2
102,2060,36.6
103,2080,37.2
104,2100,32.8
105,2120,29.8
106,2140,38.4
107,2160,27.4
108,2180,34.4
109,2200,28.4
110,2220,23.2
111,2240,36.4
112,2260,32.6
113,2280,26.6
114,2300,26.8
115,2320,28.0
116,2340,27.4
117,2360,31.2
118,2380,22.8
119,2400,23.4
120,2420,38.4
121,2440,31.0
122,2460,32.2
123,2480,27.8
124,2500,33.2
125,2520,30.2
126,2540,31.6
127,2560,29.0
128,2580,26.0
129,2600,28.8
130,2620,28.4
131,2640,16.0
132,2660,17.0
133,2680,35.0
134,2700,28.4
135,2720,24.0
136,2740,24.8
137,2760,37.4
138,2780,36.6
139,2800,37.2
140,2820,23.2
141,2840,32.6
142,2860,23.6
143,2880,32.8
144,2900,29.0
145,2920,28.8
146,2940,31.6
147,2960,35.2
148,2980,19.8
149,3000,11.2
