,episode,reward
0,20,46.0
1,40,10.6
2,60,9.4
3,80,9.0
4,100,9.4
5,120,9.6
6,140,9.6
7,160,9.8
8,180,10.0
9,200,9.6
10,220,16.2
11,240,15.0
12,260,14.8
13,280,16.2
14,300,20.2
15,320,9.6
16,340,9.8
17,360,9.4
18,380,9.8
19,400,14.2
20,420,16.4
21,440,18.6
22,460,61.2
23,480,54.2
24,500,38.6
25,520,43.2
26,540,83.0
27,560,9.8
28,580,72.6
29,600,205.0
30,620,220.8
31,640,197.2
32,660,202.8
33,680,179.8
34,700,248.0
35,720,189.6
36,740,227.8
37,760,229.4
38,780,184.2
39,800,205.6
40,820,223.6
41,840,198.6
42,860,198.0
43,880,226.0
44,900,194.4
45,920,151.6
46,940,165.8
47,960,204.8
48,980,214.4
49,1000,186.2
50,1020,208.0
51,1040,53.6
52,1060,223.8
53,1080,198.2
54,1100,168.4
55,1120,205.4
56,1140,189.6
57,1160,197.4
58,1180,177.2
59,1200,176.6
60,1220,213.4
61,1240,198.0
62,1260,172.4
63,1280,212.4
64,1300,176.6
65,1320,138.0
66,1340,152.6
67,1360,200.2
68,1380,165.0
69,1400,243.0
70,1420,213.6
71,1440,175.2
72,1460,107.6
73,1480,242.4
74,1500,184.4
75,1520,137.8
76,1540,190.6
77,1560,188.8
78,1580,162.0
79,1600,181.0
80,1620,222.8
81,1640,212.6
82,1660,205.6
83,1680,203.0
84,1700,179.8
85,1720,226.2
86,1740,159.0
87,1760,183.8
88,1780,174.0
89,1800,207.6
90,1820,210.4
91,1840,196.4
92,1860,177.4
93,1880,148.8
94,1900,161.8
95,1920,135.8
96,1940,110.2
97,1960,187.8
98,1980,257.2
99,2000,208.2
100,2020,169.0
101,2040,177.4
102,2060,171.0
103,2080,206.2
104,2100,156.0
105,2120,189.6
106,2140,163.4
107,2160,233.0
108,2180,216.2
109,2200,56.8
110,2220,61.2
111,2240,30.8
112,2260,159.8
113,2280,179.4
114,2300,147.2
115,2320,196.6
116,2340,193.8
117,2360,170.8
118,2380,210.6
119,2400,150.8
120,2420,13.6
121,2440,141.8
122,2460,152.2
123,2480,25.8
124,2500,31.6
125,2520,160.2
126,2540,32.6
127,2560,81.8
128,2580,170.4
129,2600,176.8
130,2620,208.2
131,2640,157.6
132,2660,210.4
133,2680,182.8
134,2700,56.6
135,2720,103.0
136,2740,124.4
137,2760,194.0
138,2780,154.4
139,2800,193.0
140,2820,218.0
141,2840,157.2
142,2860,207.4
143,2880,167.6
144,2900,128.2
145,2920,139.0
146,2940,217.4
147,2960,194.4
148,2980,178.0
149,3000,75.0
