,episode,reward
0,20,16.4
1,40,9.6
2,60,9.0
3,80,9.6
4,100,9.6
5,120,9.2
6,140,9.6
7,160,9.6
8,180,8.8
9,200,9.0
10,220,8.6
11,240,9.2
12,260,19.2
13,280,9.4
14,300,17.8
15,320,10.0
16,340,9.6
17,360,9.8
18,380,9.8
19,400,9.8
20,420,9.8
21,440,16.4
22,460,14.4
23,480,8.8
24,500,10.0
25,520,14.8
26,540,9.6
27,560,9.6
28,580,9.6
29,600,9.4
30,620,18.6
31,640,13.4
32,660,16.0
33,680,12.6
34,700,13.0
35,720,11.2
36,740,18.2
37,760,10.8
38,780,9.8
39,800,9.6
40,820,9.6
41,840,9.4
42,860,9.4
43,880,9.8
44,900,11.0
45,920,11.6
46,940,21.8
47,960,16.0
48,980,13.2
49,1000,17.0
50,1020,24.2
51,1040,19.2
52,1060,31.0
53,1080,10.4
54,1100,13.0
55,1120,12.4
56,1140,16.6
57,1160,20.6
58,1180,14.6
59,1200,15.2
60,1220,26.8
61,1240,26.0
62,1260,23.4
63,1280,20.0
64,1300,18.2
65,1320,20.2
66,1340,23.8
67,1360,19.8
68,1380,13.8
69,1400,28.4
70,1420,20.0
71,1440,24.8
72,1460,26.0
73,1480,26.0
74,1500,25.2
75,1520,32.4
76,1540,30.4
77,1560,28.0
78,1580,30.0
79,1600,37.2
80,1620,43.4
81,1640,36.4
82,1660,22.0
83,1680,30.8
84,1700,29.8
85,1720,23.6
86,1740,19.2
87,1760,27.4
88,1780,37.6
89,1800,30.4
90,1820,37.4
91,1840,31.6
92,1860,28.8
93,1880,24.0
94,1900,28.0
95,1920,32.8
96,1940,20.2
97,1960,23.2
98,1980,32.8
99,2000,28.0
100,2020,39.4
101,2040,35.8
102,2060,28.6
103,2080,36.0
104,2100,33.4
105,2120,30.6
106,2140,26.8
107,2160,27.8
108,2180,31.0
109,2200,37.8
110,2220,32.6
111,2240,27.4
112,2260,18.0
113,2280,28.4
114,2300,19.0
115,2320,30.2
116,2340,33.0
117,2360,31.8
118,2380,22.4
119,2400,27.8
120,2420,29.4
121,2440,35.0
122,2460,31.4
123,2480,26.4
124,2500,28.6
125,2520,34.8
126,2540,22.2
127,2560,27.8
128,2580,27.6
129,2600,29.0
130,2620,45.2
131,2640,21.8
132,2660,27.8
133,2680,27.8
134,2700,36.0
135,2720,24.2
136,2740,36.4
137,2760,33.2
138,2780,34.8
139,2800,35.4
140,2820,28.8
141,2840,23.2
142,2860,22.0
143,2880,26.2
144,2900,25.8
145,2920,36.0
146,2940,36.8
147,2960,26.2
148,2980,30.0
149,3000,19.6
