,episode,reward
0,20,9.6
1,40,10.6
2,60,10.2
3,80,25.0
4,100,9.4
5,120,9.4
6,140,9.4
7,160,10.0
8,180,9.2
9,200,54.2
10,220,13.0
11,240,9.6
12,260,9.4
13,280,9.2
14,300,9.2
15,320,36.4
16,340,9.6
17,360,9.0
18,380,10.4
19,400,41.0
20,420,9.0
21,440,15.0
22,460,10.0
23,480,11.8
24,500,18.8
25,520,14.4
26,540,11.8
27,560,12.4
28,580,16.0
29,600,17.2
30,620,11.0
31,640,23.2
32,660,23.6
33,680,16.4
34,700,22.6
35,720,31.2
36,740,12.0
37,760,45.8
38,780,34.6
39,800,50.6
40,820,38.0
41,840,47.8
42,860,30.6
43,880,25.6
44,900,21.8
45,920,29.4
46,940,17.0
47,960,26.0
48,980,23.8
49,1000,49.0
50,1020,15.0
51,1040,23.4
52,1060,30.6
53,1080,17.8
54,1100,24.4
55,1120,13.8
56,1140,14.8
57,1160,24.4
58,1180,15.8
59,1200,20.2
60,1220,18.2
61,1240,18.6
62,1260,23.0
63,1280,18.0
64,1300,19.0
65,1320,13.2
66,1340,21.0
67,1360,13.8
68,1380,24.0
69,1400,15.6
70,1420,27.0
71,1440,23.0
72,1460,16.0
73,1480,25.6
74,1500,16.0
75,1520,17.6
76,1540,25.8
77,1560,18.8
78,1580,19.8
79,1600,13.6
80,1620,14.0
81,1640,21.8
82,1660,17.2
83,1680,13.6
84,1700,32.8
85,1720,33.4
86,1740,14.8
87,1760,26.8
88,1780,27.0
89,1800,19.8
90,1820,26.6
91,1840,23.4
92,1860,15.2
93,1880,15.8
94,1900,10.6
95,1920,14.0
96,1940,15.8
97,1960,15.4
98,1980,18.0
99,2000,16.4
100,2020,14.0
101,2040,16.6
102,2060,13.0
103,2080,11.8
104,2100,16.2
105,2120,15.8
106,2140,30.2
107,2160,12.8
108,2180,22.2
109,2200,23.4
110,2220,22.6
111,2240,14.0
112,2260,16.8
113,2280,23.8
114,2300,15.8
115,2320,17.8
116,2340,14.4
117,2360,24.0
118,2380,33.4
119,2400,16.2
120,2420,11.6
121,2440,38.2
122,2460,25.6
123,2480,19.0
124,2500,13.0
125,2520,18.4
126,2540,14.0
127,2560,13.6
128,2580,14.6
129,2600,14.2
130,2620,21.4
131,2640,15.0
132,2660,32.4
133,2680,15.6
134,2700,25.2
135,2720,14.4
136,2740,17.0
137,2760,32.8
138,2780,14.2
139,2800,17.8
140,2820,10.0
141,2840,16.0
142,2860,11.6
143,2880,38.8
144,2900,22.8
145,2920,16.4
146,2940,13.0
147,2960,16.8
148,2980,15.0
149,3000,29.0
150,3020,22.8
151,3040,14.0
152,3060,16.4
153,3080,15.2
154,3100,45.2
155,3120,25.2
156,3140,23.0
157,3160,16.4
158,3180,16.0
159,3200,18.0
160,3220,16.6
161,3240,18.2
162,3260,14.6
163,3280,21.0
164,3300,31.0
165,3320,21.2
166,3340,23.4
167,3360,17.0
168,3380,22.4
169,3400,24.0
170,3420,16.0
171,3440,31.0
172,3460,11.6
173,3480,17.8
174,3500,20.8
175,3520,19.4
176,3540,28.8
177,3560,17.6
178,3580,11.8
179,3600,19.0
180,3620,10.4
181,3640,14.8
182,3660,24.8
183,3680,26.0
184,3700,20.2
185,3720,16.2
186,3740,18.6
187,3760,12.2
188,3780,34.4
189,3800,12.4
190,3820,13.6
191,3840,16.6
192,3860,18.2
193,3880,21.8
194,3900,19.0
195,3920,17.2
196,3940,17.8
197,3960,32.8
198,3980,23.6
199,4000,15.2
