,episode,reward
0,20,102.6
1,40,9.0
2,60,10.2
3,80,9.6
4,100,9.2
5,120,9.6
6,140,18.6
7,160,20.2
8,180,15.8
9,200,11.0
10,220,14.4
11,240,13.6
12,260,25.4
13,280,12.8
14,300,11.6
15,320,9.4
16,340,10.2
17,360,11.0
18,380,13.8
19,400,29.4
20,420,14.2
21,440,14.2
22,460,31.4
23,480,37.6
24,500,18.2
25,520,110.8
26,540,31.0
27,560,60.6
28,580,112.8
29,600,176.4
30,620,123.2
31,640,9.2
32,660,16.6
33,680,19.6
34,700,55.2
35,720,57.8
36,740,16.0
37,760,67.8
38,780,47.0
39,800,129.2
40,820,11.6
41,840,58.0
42,860,18.4
43,880,26.2
44,900,9.6
45,920,12.0
46,940,12.6
47,960,16.2
48,980,10.6
49,1000,113.8
50,1020,36.0
51,1040,182.0
52,1060,94.0
53,1080,56.8
54,1100,31.8
55,1120,24.2
56,1140,84.8
57,1160,54.4
58,1180,34.6
59,1200,143.8
60,1220,94.2
61,1240,96.8
62,1260,49.6
63,1280,60.2
64,1300,45.4
65,1320,39.0
66,1340,43.8
67,1360,48.2
68,1380,87.0
69,1400,34.2
70,1420,97.0
71,1440,183.4
72,1460,214.6
73,1480,71.4
74,1500,38.8
75,1520,45.0
76,1540,34.8
77,1560,55.2
78,1580,14.2
79,1600,119.2
80,1620,79.0
81,1640,135.6
82,1660,96.0
83,1680,98.6
84,1700,24.2
85,1720,24.6
86,1740,123.2
87,1760,79.4
88,1780,106.0
89,1800,224.0
90,1820,105.4
91,1840,179.2
92,1860,13.2
93,1880,170.4
94,1900,78.4
95,1920,126.0
96,1940,104.4
97,1960,163.2
98,1980,212.4
99,2000,137.6
100,2020,43.2
101,2040,63.2
102,2060,14.8
103,2080,130.6
104,2100,131.6
105,2120,191.0
106,2140,168.8
107,2160,95.4
108,2180,210.0
109,2200,130.0
110,2220,138.0
111,2240,50.0
112,2260,9.2
113,2280,37.2
114,2300,20.4
115,2320,25.8
116,2340,40.2
117,2360,66.4
118,2380,56.2
119,2400,114.6
120,2420,106.0
121,2440,38.2
122,2460,42.8
123,2480,44.0
124,2500,94.2
125,2520,20.8
126,2540,32.2
127,2560,104.4
128,2580,278.4
129,2600,33.2
130,2620,22.6
131,2640,66.6
132,2660,26.2
133,2680,17.0
134,2700,16.6
135,2720,18.8
136,2740,12.2
137,2760,54.6
138,2780,90.6
139,2800,153.6
140,2820,69.8
141,2840,229.0
142,2860,206.6
143,2880,21.0
144,2900,43.4
145,2920,165.4
146,2940,191.2
147,2960,14.6
148,2980,178.0
149,3000,98.0
150,3020,91.2
151,3040,24.2
152,3060,19.0
153,3080,63.4
154,3100,60.0
155,3120,9.8
156,3140,112.2
157,3160,70.6
158,3180,122.4
159,3200,144.6
160,3220,72.0
161,3240,79.0
162,3260,63.4
163,3280,128.0
164,3300,136.8
165,3320,136.4
166,3340,71.8
167,3360,132.4
168,3380,134.4
169,3400,160.8
170,3420,159.6
171,3440,68.6
172,3460,114.0
173,3480,76.6
174,3500,66.2
175,3520,63.0
176,3540,39.4
177,3560,95.2
178,3580,121.4
179,3600,128.2
180,3620,85.0
181,3640,179.6
182,3660,187.4
183,3680,186.2
184,3700,23.6
185,3720,13.6
186,3740,102.8
187,3760,14.6
188,3780,42.4
189,3800,199.6
190,3820,220.2
191,3840,157.0
192,3860,83.8
193,3880,134.8
194,3900,65.4
195,3920,46.2
196,3940,43.0
197,3960,107.6
198,3980,119.4
199,4000,34.8
