,episode,reward
0,20,9.6
1,40,9.2
2,60,9.0
3,80,9.4
4,100,9.4
5,120,9.6
6,140,9.2
7,160,9.6
8,180,9.8
9,200,10.0
10,220,9.8
11,240,9.8
12,260,10.0
13,280,9.4
14,300,9.4
15,320,9.8
16,340,9.0
17,360,20.4
18,380,9.0
19,400,10.6
20,420,11.6
21,440,18.0
22,460,16.8
23,480,21.2
24,500,14.2
25,520,9.8
26,540,10.8
27,560,11.2
28,580,9.4
29,600,9.6
30,620,12.0
31,640,14.4
32,660,13.4
33,680,9.6
34,700,17.4
35,720,13.6
36,740,11.6
37,760,12.4
38,780,16.4
39,800,15.8
40,820,15.6
41,840,13.0
42,860,13.0
43,880,12.0
44,900,16.6
45,920,14.2
46,940,14.8
47,960,15.8
48,980,16.6
49,1000,13.4
50,1020,13.0
51,1040,12.6
52,1060,12.4
53,1080,12.0
54,1100,18.4
55,1120,20.8
56,1140,12.8
57,1160,16.8
58,1180,16.2
59,1200,20.0
60,1220,15.8
61,1240,14.6
62,1260,15.8
63,1280,16.0
64,1300,19.8
65,1320,21.6
66,1340,20.4
67,1360,15.4
68,1380,12.6
69,1400,12.2
70,1420,18.0
71,1440,17.6
72,1460,20.2
73,1480,20.4
74,1500,20.4
75,1520,16.4
76,1540,18.8
77,1560,14.8
78,1580,19.0
79,1600,21.2
80,1620,17.8
81,1640,13.2
82,1660,18.8
83,1680,21.2
84,1700,18.8
85,1720,19.6
86,1740,18.6
87,1760,19.8
88,1780,19.4
89,1800,21.0
90,1820,17.0
91,1840,20.0
92,1860,15.6
93,1880,14.2
94,1900,12.4
95,1920,23.4
96,1940,19.8
97,1960,13.6
98,1980,16.0
99,2000,16.6
