,episode,reward
0,20,19.0
1,40,9.2
2,60,9.0
3,80,9.2
4,100,9.4
5,120,9.4
6,140,9.6
7,160,9.6
8,180,10.2
9,200,9.0
10,220,9.6
11,240,25.6
12,260,53.8
13,280,103.0
14,300,30.2
15,320,20.2
16,340,54.6
17,360,76.0
18,380,64.0
19,400,61.8
20,420,83.2
21,440,37.4
22,460,71.0
23,480,71.0
24,500,93.8
25,520,47.4
26,540,49.6
27,560,90.6
28,580,56.8
29,600,75.6
30,620,49.6
31,640,47.8
32,660,22.4
33,680,75.8
34,700,39.8
35,720,103.8
36,740,95.2
37,760,97.4
38,780,71.6
39,800,43.6
40,820,91.0
41,840,30.0
42,860,86.8
43,880,76.0
44,900,106.0
45,920,81.8
46,940,78.4
47,960,72.4
48,980,58.0
49,1000,93.0
50,1020,100.2
51,1040,32.4
52,1060,51.2
53,1080,22.6
54,1100,90.0
55,1120,43.8
56,1140,44.2
57,1160,63.8
58,1180,46.2
59,1200,12.6
60,1220,100.2
61,1240,81.8
62,1260,90.2
63,1280,42.0
64,1300,54.6
65,1320,80.6
66,1340,66.6
67,1360,70.4
68,1380,81.0
69,1400,40.2
70,1420,55.6
71,1440,51.8
72,1460,20.0
73,1480,65.8
74,1500,19.8
75,1520,49.2
76,1540,63.8
77,1560,114.4
78,1580,16.4
79,1600,35.2
80,1620,46.2
81,1640,40.4
82,1660,28.0
83,1680,25.0
84,1700,64.2
85,1720,93.2
86,1740,75.0
87,1760,34.0
88,1780,22.6
89,1800,51.8
90,1820,16.4
91,1840,45.0
92,1860,45.6
93,1880,54.6
94,1900,24.4
95,1920,24.8
96,1940,26.0
97,1960,22.0
98,1980,19.0
99,2000,38.4
100,2020,70.6
101,2040,57.4
102,2060,17.2
103,2080,36.6
104,2100,49.4
105,2120,52.8
106,2140,41.0
107,2160,180.2
108,2180,62.8
109,2200,188.6
110,2220,61.2
111,2240,129.8
112,2260,22.6
113,2280,90.6
114,2300,37.6
115,2320,46.2
116,2340,41.8
117,2360,73.0
118,2380,82.0
119,2400,72.2
120,2420,53.6
121,2440,141.2
122,2460,23.4
123,2480,64.4
124,2500,47.0
125,2520,30.6
126,2540,28.4
127,2560,26.0
128,2580,31.0
129,2600,25.8
130,2620,59.0
131,2640,52.0
132,2660,54.0
133,2680,38.8
134,2700,37.0
135,2720,52.6
136,2740,40.4
137,2760,50.8
138,2780,104.4
139,2800,76.6
140,2820,39.6
141,2840,28.4
142,2860,161.8
143,2880,33.4
144,2900,62.0
145,2920,33.6
146,2940,17.4
147,2960,27.6
148,2980,48.8
149,3000,24.0
150,3020,14.6
151,3040,83.4
152,3060,108.0
153,3080,139.4
154,3100,32.8
155,3120,74.8
156,3140,71.2
157,3160,87.4
158,3180,48.8
159,3200,68.6
160,3220,40.8
161,3240,138.2
162,3260,43.2
163,3280,149.8
164,3300,50.2
165,3320,144.6
166,3340,87.4
167,3360,73.8
168,3380,49.8
169,3400,66.0
170,3420,66.4
171,3440,71.4
172,3460,113.8
173,3480,74.8
174,3500,71.8
175,3520,126.2
176,3540,76.0
177,3560,109.8
178,3580,47.2
179,3600,42.4
180,3620,94.8
181,3640,45.8
182,3660,33.4
183,3680,100.0
184,3700,82.4
185,3720,52.0
186,3740,23.2
187,3760,100.8
188,3780,68.6
189,3800,48.6
190,3820,57.4
191,3840,143.0
192,3860,57.0
193,3880,29.2
194,3900,11.4
195,3920,18.6
196,3940,22.4
197,3960,63.4
198,3980,32.4
199,4000,14.8
