,episode,reward
0,20,9.0
1,40,11.4
2,60,9.4
3,80,9.0
4,100,9.6
5,120,9.6
6,140,8.4
7,160,8.8
8,180,13.0
9,200,10.6
10,220,23.8
11,240,38.0
12,260,25.2
13,280,19.4
14,300,15.0
15,320,12.8
16,340,9.6
17,360,11.4
18,380,37.0
19,400,9.0
20,420,52.4
21,440,11.2
22,460,15.8
23,480,9.8
24,500,14.0
25,520,13.6
26,540,19.4
27,560,17.2
28,580,17.6
29,600,15.8
30,620,18.2
31,640,14.8
32,660,15.0
33,680,16.0
34,700,15.2
35,720,14.4
36,740,19.6
37,760,22.0
38,780,17.4
39,800,20.6
40,820,15.4
41,840,9.4
42,860,10.4
43,880,9.8
44,900,9.6
45,920,9.2
46,940,9.8
47,960,18.4
48,980,18.4
49,1000,12.4
50,1020,14.4
51,1040,14.2
52,1060,18.4
53,1080,17.0
54,1100,17.4
55,1120,13.0
56,1140,10.2
57,1160,19.6
58,1180,17.2
59,1200,14.4
60,1220,14.2
61,1240,18.6
62,1260,17.4
63,1280,20.4
64,1300,16.8
65,1320,15.6
66,1340,10.2
67,1360,16.2
68,1380,18.4
69,1400,15.2
70,1420,16.6
71,1440,15.6
72,1460,16.0
73,1480,19.6
74,1500,17.2
75,1520,15.6
76,1540,16.8
77,1560,15.4
78,1580,12.0
79,1600,16.4
80,1620,12.2
81,1640,16.0
82,1660,16.6
83,1680,16.4
84,1700,9.2
85,1720,39.2
86,1740,15.8
87,1760,13.6
88,1780,14.8
89,1800,14.0
90,1820,20.4
91,1840,16.6
92,1860,17.0
93,1880,18.8
94,1900,20.0
95,1920,13.6
96,1940,16.2
97,1960,17.6
98,1980,15.2
99,2000,12.6
100,2020,15.4
101,2040,16.6
102,2060,17.8
103,2080,15.8
104,2100,14.2
105,2120,10.0
106,2140,17.0
107,2160,15.0
108,2180,9.4
109,2200,17.4
110,2220,16.4
111,2240,17.4
112,2260,17.8
113,2280,16.0
114,2300,17.2
115,2320,9.8
116,2340,14.6
117,2360,9.8
118,2380,15.4
119,2400,15.2
120,2420,9.4
121,2440,10.0
122,2460,9.8
123,2480,15.2
124,2500,16.6
125,2520,18.4
126,2540,24.0
127,2560,17.0
128,2580,13.6
129,2600,14.4
130,2620,9.8
131,2640,13.0
132,2660,15.4
133,2680,16.6
134,2700,16.6
135,2720,12.6
136,2740,15.0
137,2760,9.6
138,2780,10.6
139,2800,10.2
140,2820,14.4
141,2840,13.0
142,2860,13.4
143,2880,14.2
144,2900,15.8
145,2920,12.6
146,2940,20.0
147,2960,20.0
148,2980,18.6
149,3000,17.2
150,3020,12.6
151,3040,19.8
152,3060,17.4
153,3080,14.0
154,3100,14.2
155,3120,16.0
156,3140,15.6
157,3160,15.6
158,3180,17.6
159,3200,61.6
160,3220,15.2
161,3240,10.0
162,3260,20.2
163,3280,19.0
164,3300,16.4
165,3320,19.4
166,3340,13.6
167,3360,14.4
168,3380,17.2
169,3400,12.6
170,3420,14.6
171,3440,16.6
172,3460,14.2
173,3480,22.6
174,3500,17.4
175,3520,15.6
176,3540,18.2
177,3560,59.2
178,3580,17.4
179,3600,26.8
180,3620,28.4
181,3640,21.8
182,3660,19.2
183,3680,17.4
184,3700,21.0
185,3720,18.2
186,3740,90.2
187,3760,11.8
188,3780,82.8
189,3800,39.0
190,3820,121.8
191,3840,57.4
192,3860,71.0
193,3880,77.4
194,3900,12.6
195,3920,20.2
196,3940,18.8
197,3960,93.2
198,3980,60.6
199,4000,44.8
