,episode,reward
0,20,9.8
1,40,39.0
2,60,9.2
3,80,9.4
4,100,9.0
5,120,9.6
6,140,9.2
7,160,10.2
8,180,11.4
9,200,9.8
10,220,9.8
11,240,57.0
12,260,9.2
13,280,9.4
14,300,9.4
15,320,45.4
16,340,16.2
17,360,10.0
18,380,9.0
19,400,10.2
20,420,11.2
21,440,11.4
22,460,9.4
23,480,11.6
24,500,9.4
25,520,9.2
26,540,38.6
27,560,9.0
28,580,9.2
29,600,10.2
30,620,9.6
31,640,9.2
32,660,9.8
33,680,9.2
34,700,10.4
35,720,13.4
36,740,11.8
37,760,13.6
38,780,10.6
39,800,14.4
40,820,14.6
41,840,25.2
42,860,30.8
43,880,43.0
44,900,24.4
45,920,32.6
46,940,14.8
47,960,12.0
48,980,26.6
49,1000,28.4
50,1020,56.2
51,1040,40.6
52,1060,28.4
53,1080,9.6
54,1100,11.8
55,1120,30.0
56,1140,20.4
57,1160,31.4
58,1180,18.4
59,1200,36.2
60,1220,24.4
61,1240,16.4
62,1260,19.8
63,1280,9.4
64,1300,31.2
65,1320,35.2
66,1340,13.8
67,1360,21.0
68,1380,21.4
69,1400,16.8
70,1420,9.6
71,1440,25.0
72,1460,20.8
73,1480,25.8
74,1500,17.2
75,1520,18.8
76,1540,13.2
77,1560,41.0
78,1580,28.6
79,1600,10.8
80,1620,14.8
81,1640,18.8
82,1660,13.8
83,1680,26.6
84,1700,59.4
85,1720,23.0
86,1740,15.0
87,1760,19.8
88,1780,33.8
89,1800,55.2
90,1820,24.4
91,1840,30.6
92,1860,50.6
93,1880,27.6
94,1900,22.4
95,1920,30.4
96,1940,33.4
97,1960,40.2
98,1980,28.4
99,2000,35.2
100,2020,27.8
101,2040,22.6
102,2060,26.6
103,2080,26.6
104,2100,15.6
105,2120,29.6
106,2140,28.4
107,2160,16.0
108,2180,16.0
109,2200,45.4
110,2220,45.4
111,2240,21.2
112,2260,31.8
113,2280,25.0
114,2300,17.6
115,2320,24.8
116,2340,32.6
117,2360,69.2
118,2380,23.2
119,2400,40.2
120,2420,37.4
121,2440,24.8
122,2460,54.6
123,2480,26.6
124,2500,40.8
125,2520,21.0
126,2540,21.2
127,2560,26.4
128,2580,27.4
129,2600,57.4
130,2620,25.8
131,2640,65.0
132,2660,39.6
133,2680,44.4
134,2700,55.6
135,2720,32.8
136,2740,37.8
137,2760,20.0
138,2780,19.4
139,2800,45.0
140,2820,38.2
141,2840,26.6
142,2860,41.4
143,2880,35.8
144,2900,17.6
145,2920,24.4
146,2940,28.2
147,2960,55.0
148,2980,28.8
149,3000,19.4
