,episode,reward
0,20,90.8
1,40,9.6
2,60,9.2
3,80,9.8
4,100,10.0
5,120,9.8
6,140,10.2
7,160,10.6
8,180,14.8
9,200,14.2
10,220,89.6
11,240,131.8
12,260,46.0
13,280,178.4
14,300,137.0
15,320,212.2
16,340,203.4
17,360,198.4
18,380,202.0
19,400,237.8
20,420,111.8
21,440,197.4
22,460,73.6
23,480,71.2
24,500,91.2
25,520,16.4
26,540,9.4
27,560,109.4
28,580,180.0
29,600,175.0
30,620,211.6
31,640,58.2
32,660,97.2
33,680,179.8
34,700,194.6
35,720,205.6
36,740,172.0
37,760,191.4
38,780,219.4
39,800,97.2
40,820,178.6
41,840,138.6
42,860,176.0
43,880,142.8
44,900,40.2
45,920,50.6
46,940,122.0
47,960,157.2
48,980,109.4
49,1000,125.2
50,1020,190.2
51,1040,275.4
52,1060,213.0
53,1080,176.8
54,1100,66.6
55,1120,191.2
56,1140,157.2
57,1160,16.2
58,1180,140.6
59,1200,15.2
60,1220,179.2
61,1240,204.0
62,1260,174.0
63,1280,190.4
64,1300,195.4
65,1320,53.0
66,1340,119.4
67,1360,82.0
68,1380,182.2
69,1400,152.6
70,1420,179.6
71,1440,101.0
72,1460,103.4
73,1480,10.0
74,1500,9.2
75,1520,100.2
76,1540,155.2
77,1560,159.8
78,1580,100.4
79,1600,60.8
80,1620,181.2
81,1640,18.0
82,1660,128.2
83,1680,201.0
84,1700,218.6
85,1720,141.6
86,1740,100.6
87,1760,159.6
88,1780,107.4
89,1800,187.0
90,1820,220.0
91,1840,208.0
92,1860,118.6
93,1880,212.4
94,1900,89.6
95,1920,156.0
96,1940,33.6
97,1960,10.8
98,1980,114.2
99,2000,192.4
100,2020,141.4
101,2040,18.0
102,2060,158.0
103,2080,106.0
104,2100,84.0
105,2120,17.6
106,2140,10.0
107,2160,36.6
108,2180,46.8
109,2200,35.6
110,2220,14.2
111,2240,68.8
112,2260,12.0
113,2280,11.8
114,2300,12.6
115,2320,9.4
116,2340,10.0
117,2360,13.6
118,2380,74.2
119,2400,18.6
120,2420,13.0
121,2440,9.4
122,2460,8.6
123,2480,33.0
124,2500,168.8
125,2520,28.0
126,2540,127.6
127,2560,28.2
128,2580,162.2
129,2600,122.0
130,2620,92.8
131,2640,196.0
132,2660,16.2
133,2680,25.4
134,2700,220.0
135,2720,215.2
136,2740,29.8
137,2760,167.2
138,2780,178.0
139,2800,163.0
140,2820,9.8
141,2840,132.6
142,2860,192.2
143,2880,12.2
144,2900,101.2
145,2920,179.8
146,2940,174.2
147,2960,10.0
148,2980,34.0
149,3000,44.0
