,episode,reward
0,5,18.8
1,10,14.6
2,15,11.4
3,20,9.8
4,25,9.6
5,30,9.6
6,35,9.4
7,40,12.6
8,45,9.6
9,50,9.4
10,55,10.0
11,60,32.6
12,65,11.2
13,70,9.8
14,75,9.8
15,80,9.2
16,85,9.4
17,90,10.0
18,95,8.8
19,100,8.4
20,105,11.0
21,110,13.2
22,115,9.4
23,120,8.6
24,125,9.0
25,130,9.8
26,135,9.4
27,140,8.8
28,145,8.8
29,150,9.6
30,155,9.0
31,160,9.0
32,165,10.0
33,170,11.6
34,175,29.8
35,180,18.0
36,185,12.8
37,190,54.0
38,195,11.8
39,200,13.2
40,205,36.2
41,210,22.2
42,215,41.2
43,220,26.6
44,225,20.2
45,230,84.4
46,235,97.6
47,240,33.0
48,245,11.8
49,250,10.0
50,255,41.8
51,260,110.4
52,265,14.0
53,270,140.0
54,275,23.8
55,280,11.4
56,285,28.6
57,290,32.8
58,295,8.8
59,300,54.6
60,305,26.8
61,310,11.0
62,315,34.2
63,320,19.6
64,325,20.8
65,330,12.2
66,335,10.8
67,340,17.2
68,345,39.0
69,350,9.0
70,355,33.8
71,360,89.2
72,365,29.6
73,370,20.2
74,375,109.8
75,380,24.2
76,385,19.0
77,390,19.2
78,395,90.8
79,400,124.2
80,405,52.0
81,410,17.8
82,415,16.0
83,420,13.6
84,425,17.2
85,430,20.2
86,435,15.8
87,440,15.4
88,445,13.8
89,450,12.2
90,455,31.4
91,460,12.0
92,465,11.8
93,470,12.8
94,475,20.2
95,480,14.6
96,485,16.0
97,490,23.4
98,495,22.0
99,500,14.6
100,505,15.0
101,510,18.4
102,515,14.4
103,520,21.8
104,525,14.8
105,530,15.2
106,535,13.0
107,540,18.4
108,545,16.2
109,550,21.6
110,555,53.0
111,560,14.0
112,565,19.6
113,570,13.4
114,575,64.8
115,580,34.2
116,585,19.0
117,590,13.8
118,595,18.0
119,600,15.2
120,605,10.0
121,610,12.6
122,615,10.0
123,620,13.4
124,625,24.0
125,630,23.6
126,635,30.6
127,640,16.6
128,645,33.6
129,650,25.8
130,655,29.6
131,660,16.2
132,665,26.6
133,670,19.2
134,675,15.4
135,680,30.6
136,685,34.4
137,690,42.4
138,695,14.8
139,700,11.4
140,705,32.6
141,710,20.8
142,715,76.0
143,720,12.2
144,725,14.2
145,730,31.0
146,735,50.0
147,740,77.0
148,745,32.4
149,750,26.4
150,755,20.0
151,760,22.4
152,765,19.6
153,770,27.6
154,775,36.2
155,780,12.6
156,785,33.2
157,790,37.0
158,795,26.0
159,800,21.0
160,805,23.4
161,810,16.6
162,815,20.2
163,820,24.6
164,825,22.8
165,830,33.0
166,835,34.8
167,840,26.6
168,845,20.4
169,850,19.0
170,855,36.0
171,860,24.0
172,865,21.6
173,870,26.2
174,875,26.2
175,880,25.6
176,885,23.4
177,890,13.4
178,895,16.2
179,900,30.2
180,905,13.2
181,910,25.4
182,915,22.2
183,920,26.6
184,925,12.4
185,930,21.4
186,935,30.0
187,940,29.0
188,945,25.4
189,950,24.2
190,955,26.4
191,960,30.0
192,965,35.2
193,970,24.2
194,975,40.8
195,980,29.4
196,985,48.8
197,990,25.6
198,995,28.8
199,1000,31.4
200,1005,17.6
201,1010,17.0
202,1015,35.2
203,1020,23.0
204,1025,24.0
205,1030,24.0
206,1035,27.0
207,1040,61.2
208,1045,38.0
209,1050,43.2
210,1055,34.8
211,1060,32.8
212,1065,36.8
213,1070,12.4
214,1075,11.2
215,1080,21.0
216,1085,20.6
217,1090,32.2
218,1095,61.8
219,1100,45.0
220,1105,30.8
221,1110,11.0
222,1115,34.0
223,1120,42.2
224,1125,15.2
225,1130,23.6
226,1135,10.6
227,1140,39.6
228,1145,16.8
229,1150,12.8
230,1155,31.0
231,1160,22.2
232,1165,22.4
233,1170,34.4
234,1175,14.4
235,1180,19.6
236,1185,15.8
237,1190,14.4
238,1195,27.4
239,1200,26.6
240,1205,31.4
241,1210,31.6
242,1215,38.6
243,1220,45.0
244,1225,36.4
245,1230,25.8
246,1235,40.2
247,1240,84.0
248,1245,41.8
249,1250,47.8
250,1255,94.0
251,1260,121.4
252,1265,29.6
253,1270,32.4
254,1275,37.6
255,1280,14.4
256,1285,10.0
257,1290,13.8
258,1295,26.2
259,1300,20.8
260,1305,28.6
261,1310,24.0
262,1315,37.4
263,1320,26.6
264,1325,26.6
265,1330,34.2
266,1335,40.6
267,1340,35.8
268,1345,33.6
269,1350,25.8
270,1355,32.2
271,1360,22.6
272,1365,24.8
273,1370,29.4
274,1375,30.4
275,1380,35.8
276,1385,33.8
277,1390,27.0
278,1395,25.4
279,1400,14.4
280,1405,17.2
281,1410,11.0
282,1415,29.4
283,1420,13.2
284,1425,18.0
285,1430,16.8
286,1435,14.6
287,1440,19.0
288,1445,14.0
289,1450,10.2
290,1455,17.8
291,1460,27.2
292,1465,24.4
293,1470,10.4
294,1475,35.4
295,1480,29.6
296,1485,41.2
297,1490,37.0
298,1495,23.6
299,1500,20.4
300,1505,18.6
301,1510,20.8
302,1515,33.8
303,1520,81.4
304,1525,60.2
305,1530,144.6
306,1535,56.4
307,1540,77.0
308,1545,37.0
309,1550,42.6
310,1555,17.8
311,1560,22.6
312,1565,23.0
313,1570,45.8
314,1575,23.4
315,1580,25.8
316,1585,11.8
317,1590,13.6
318,1595,14.0
319,1600,16.6
320,1605,36.4
321,1610,20.8
322,1615,15.4
323,1620,25.6
324,1625,21.6
325,1630,21.6
326,1635,39.2
327,1640,34.0
328,1645,29.2
329,1650,34.8
330,1655,14.6
331,1660,12.8
332,1665,15.2
333,1670,27.8
334,1675,11.4
335,1680,18.8
336,1685,22.4
337,1690,20.8
338,1695,37.4
339,1700,34.8
340,1705,31.0
341,1710,24.8
342,1715,19.8
343,1720,25.0
344,1725,24.8
