,episode,reward
0,20,18.4
1,40,15.4
2,60,9.6
3,80,9.8
4,100,10.0
5,120,8.8
6,140,9.8
7,160,9.6
8,180,8.8
9,200,9.6
10,220,9.4
11,240,9.6
12,260,9.0
13,280,9.8
14,300,9.2
15,320,9.4
16,340,9.2
17,360,9.2
18,380,9.8
19,400,9.4
20,420,9.4
21,440,9.2
22,460,9.6
23,480,9.2
24,500,9.2
25,520,9.4
26,540,9.6
27,560,10.0
28,580,10.0
29,600,9.6
30,620,10.2
31,640,9.6
32,660,10.2
33,680,9.8
34,700,10.4
35,720,10.2
36,740,10.0
37,760,9.6
38,780,10.2
39,800,10.0
40,820,10.0
41,840,10.0
42,860,9.6
43,880,9.6
44,900,9.8
45,920,9.8
46,940,10.2
47,960,9.4
48,980,10.0
49,1000,9.6
50,1020,10.2
51,1040,10.0
52,1060,9.8
53,1080,9.0
54,1100,9.8
55,1120,9.8
56,1140,12.8
57,1160,10.8
58,1180,10.2
59,1200,9.2
60,1220,9.8
61,1240,9.4
62,1260,9.8
63,1280,10.0
64,1300,9.8
65,1320,25.6
66,1340,11.4
67,1360,10.2
68,1380,12.4
69,1400,11.0
70,1420,9.4
71,1440,9.2
72,1460,9.8
73,1480,9.8
74,1500,9.8
75,1520,9.4
76,1540,12.6
77,1560,9.2
78,1580,9.6
79,1600,9.6
80,1620,9.8
81,1640,9.0
82,1660,9.0
83,1680,9.8
84,1700,10.2
85,1720,10.0
86,1740,10.8
87,1760,15.0
88,1780,16.8
89,1800,16.6
90,1820,11.4
91,1840,17.8
92,1860,12.2
93,1880,9.6
94,1900,10.0
95,1920,9.6
96,1940,9.8
97,1960,9.4
98,1980,16.8
99,2000,20.4
100,2020,11.6
101,2040,13.4
102,2060,15.0
103,2080,9.6
104,2100,10.2
105,2120,11.2
106,2140,14.8
107,2160,10.4
108,2180,14.8
109,2200,12.4
110,2220,13.2
111,2240,14.8
112,2260,15.4
113,2280,12.6
114,2300,12.0
115,2320,10.0
116,2340,11.4
117,2360,12.6
118,2380,12.2
119,2400,15.4
120,2420,14.2
121,2440,12.4
122,2460,13.4
123,2480,14.8
124,2500,13.4
125,2520,14.8
126,2540,11.4
127,2560,13.2
128,2580,11.2
129,2600,9.8
130,2620,13.2
131,2640,18.8
132,2660,12.2
133,2680,13.8
134,2700,12.6
135,2720,13.2
136,2740,11.6
137,2760,9.8
138,2780,14.2
139,2800,11.4
140,2820,14.8
141,2840,19.6
142,2860,13.0
143,2880,10.4
144,2900,18.0
145,2920,10.6
146,2940,14.6
147,2960,13.4
148,2980,16.0
149,3000,14.8
