,episode,reward
0,20,17.4
1,40,10.6
2,60,9.0
3,80,9.0
4,100,9.2
5,120,9.6
6,140,8.8
7,160,10.0
8,180,8.8
9,200,8.8
10,220,9.6
11,240,9.8
12,260,9.2
13,280,9.8
14,300,9.4
15,320,9.4
16,340,9.0
17,360,9.6
18,380,10.2
19,400,8.6
20,420,9.4
21,440,9.8
22,460,18.0
23,480,9.2
24,500,11.8
25,520,9.8
26,540,9.8
27,560,10.8
28,580,9.4
29,600,9.4
30,620,9.4
31,640,10.2
32,660,9.8
33,680,9.4
34,700,10.2
35,720,9.8
36,740,9.8
37,760,9.8
38,780,11.4
39,800,9.8
40,820,10.8
41,840,9.4
42,860,10.2
43,880,10.2
44,900,10.0
45,920,10.6
46,940,9.6
47,960,9.8
48,980,9.2
49,1000,9.6
50,1020,10.0
51,1040,12.2
52,1060,10.6
53,1080,9.4
54,1100,9.6
55,1120,9.4
56,1140,9.4
57,1160,10.2
58,1180,11.2
59,1200,9.8
60,1220,15.0
61,1240,13.4
62,1260,14.8
63,1280,18.4
64,1300,16.4
65,1320,13.4
66,1340,10.2
67,1360,15.6
68,1380,15.8
69,1400,13.6
70,1420,19.4
71,1440,18.6
72,1460,17.6
73,1480,12.2
74,1500,13.0
75,1520,11.4
76,1540,12.8
77,1560,12.4
78,1580,12.2
79,1600,11.2
80,1620,17.0
81,1640,16.4
82,1660,15.4
83,1680,21.6
84,1700,14.8
85,1720,20.6
86,1740,16.6
87,1760,14.8
88,1780,22.8
89,1800,14.8
90,1820,19.2
91,1840,18.4
92,1860,15.4
93,1880,17.4
94,1900,19.4
95,1920,9.6
96,1940,15.2
97,1960,18.8
98,1980,18.6
99,2000,14.6
100,2020,18.4
101,2040,12.8
102,2060,20.4
103,2080,17.8
104,2100,19.8
105,2120,21.6
106,2140,16.0
107,2160,16.2
108,2180,18.0
109,2200,17.2
110,2220,19.6
111,2240,16.0
112,2260,15.0
113,2280,16.4
114,2300,17.0
115,2320,22.4
116,2340,17.2
117,2360,18.4
118,2380,23.2
119,2400,12.4
120,2420,21.6
121,2440,11.4
122,2460,15.4
123,2480,19.8
124,2500,15.6
125,2520,23.4
126,2540,18.2
127,2560,21.4
128,2580,18.8
129,2600,12.0
130,2620,18.2
131,2640,19.2
132,2660,14.6
133,2680,10.8
134,2700,13.2
135,2720,18.8
136,2740,12.4
137,2760,11.8
138,2780,12.6
139,2800,11.2
140,2820,16.4
141,2840,24.0
142,2860,15.8
143,2880,18.6
144,2900,13.0
145,2920,15.8
146,2940,18.0
147,2960,17.2
148,2980,18.2
149,3000,11.8
