,episode,reward
0,20,12.2
1,40,17.6
2,60,16.2
3,80,22.2
4,100,9.2
5,120,13.0
6,140,19.2
7,160,36.8
8,180,10.2
9,200,13.0
10,220,11.6
11,240,9.2
12,260,10.0
13,280,9.2
14,300,9.2
15,320,9.0
16,340,9.2
17,360,10.2
18,380,10.6
19,400,9.2
20,420,14.8
21,440,12.2
22,460,12.8
23,480,12.2
24,500,8.6
25,520,13.2
26,540,12.0
27,560,13.4
28,580,10.0
29,600,15.2
30,620,8.8
31,640,11.2
32,660,9.6
33,680,15.8
34,700,15.0
35,720,9.6
36,740,18.8
37,760,21.4
38,780,14.2
39,800,22.0
40,820,12.0
41,840,14.4
42,860,10.0
43,880,9.0
44,900,9.2
45,920,8.8
46,940,11.0
47,960,10.8
48,980,27.0
49,1000,16.2
50,1020,20.8
51,1040,32.0
52,1060,11.8
53,1080,9.2
54,1100,24.0
55,1120,10.0
56,1140,26.6
57,1160,12.0
58,1180,14.8
59,1200,12.4
60,1220,10.4
61,1240,11.0
62,1260,10.2
63,1280,10.4
64,1300,10.8
65,1320,10.4
66,1340,9.8
67,1360,9.8
68,1380,9.6
69,1400,12.6
70,1420,10.6
71,1440,10.0
72,1460,9.4
73,1480,9.6
74,1500,8.8
75,1520,13.8
76,1540,10.8
77,1560,9.4
78,1580,19.0
79,1600,12.4
80,1620,10.2
81,1640,26.2
82,1660,18.8
83,1680,16.6
84,1700,15.6
85,1720,17.6
86,1740,18.4
87,1760,17.8
88,1780,9.4
89,1800,33.2
90,1820,36.0
91,1840,28.0
92,1860,10.0
93,1880,15.4
94,1900,12.4
95,1920,33.2
96,1940,28.8
97,1960,47.8
98,1980,44.6
99,2000,9.8
100,2020,23.8
101,2040,9.6
102,2060,8.8
103,2080,10.8
104,2100,9.4
105,2120,36.4
106,2140,9.6
107,2160,36.8
108,2180,11.0
109,2200,16.0
110,2220,15.8
111,2240,9.4
112,2260,37.2
113,2280,10.4
114,2300,9.6
115,2320,10.8
116,2340,12.2
117,2360,10.2
118,2380,10.4
119,2400,19.0
120,2420,11.0
121,2440,9.8
122,2460,20.8
123,2480,14.8
124,2500,12.6
125,2520,11.8
126,2540,19.0
127,2560,17.2
128,2580,13.2
129,2600,20.8
130,2620,22.6
131,2640,76.2
132,2660,22.8
133,2680,24.8
134,2700,26.8
135,2720,11.0
136,2740,16.6
137,2760,20.8
138,2780,17.0
139,2800,22.4
140,2820,11.0
141,2840,15.8
142,2860,15.2
143,2880,17.2
144,2900,12.8
145,2920,23.8
146,2940,25.2
147,2960,42.0
148,2980,14.2
149,3000,11.2
