,episode,reward
0,20,11.6
1,40,58.4
2,60,17.2
3,80,9.2
4,100,9.0
5,120,9.2
6,140,9.0
7,160,10.0
8,180,9.6
9,200,9.4
10,220,9.6
11,240,9.4
12,260,9.0
13,280,9.4
14,300,14.2
15,320,8.8
16,340,9.4
17,360,8.8
18,380,9.0
19,400,9.8
20,420,9.6
21,440,10.4
22,460,12.4
23,480,11.6
24,500,9.8
25,520,11.6
26,540,9.6
27,560,11.8
28,580,9.4
29,600,10.4
30,620,10.6
31,640,11.6
32,660,16.6
33,680,9.6
34,700,12.0
35,720,10.8
36,740,10.0
37,760,10.4
38,780,16.4
39,800,14.4
40,820,17.6
41,840,16.6
42,860,15.2
43,880,15.4
44,900,15.2
45,920,13.0
46,940,13.6
47,960,17.8
48,980,15.0
49,1000,13.8
50,1020,13.6
51,1040,15.0
52,1060,16.8
53,1080,13.8
54,1100,15.6
55,1120,15.6
56,1140,14.6
57,1160,17.4
58,1180,14.4
59,1200,12.4
60,1220,14.8
61,1240,10.6
62,1260,14.4
63,1280,13.8
64,1300,16.0
65,1320,11.4
66,1340,14.6
67,1360,17.6
68,1380,16.2
69,1400,16.6
70,1420,14.4
71,1440,14.2
72,1460,11.0
73,1480,16.6
74,1500,16.2
75,1520,15.4
76,1540,17.2
77,1560,13.6
78,1580,16.2
79,1600,14.2
80,1620,14.8
81,1640,19.4
82,1660,12.6
83,1680,13.6
84,1700,12.8
85,1720,17.8
86,1740,14.0
87,1760,14.4
88,1780,11.2
89,1800,13.4
90,1820,13.4
91,1840,10.2
92,1860,13.8
93,1880,14.8
94,1900,12.6
95,1920,14.0
96,1940,15.8
97,1960,14.6
98,1980,20.2
99,2000,14.2
100,2020,16.8
101,2040,14.6
102,2060,14.8
103,2080,12.4
104,2100,14.4
105,2120,12.0
106,2140,14.4
107,2160,16.8
108,2180,14.2
109,2200,15.0
110,2220,15.0
111,2240,13.2
112,2260,14.2
113,2280,11.6
114,2300,19.2
115,2320,16.2
116,2340,19.4
117,2360,20.2
118,2380,19.8
119,2400,20.8
120,2420,13.8
121,2440,29.8
122,2460,12.8
123,2480,12.2
124,2500,21.4
125,2520,21.2
126,2540,18.8
127,2560,16.0
128,2580,20.2
129,2600,17.6
130,2620,15.0
131,2640,14.8
132,2660,17.2
133,2680,11.8
134,2700,13.2
135,2720,22.0
136,2740,15.8
137,2760,16.0
138,2780,16.6
139,2800,14.0
140,2820,18.8
141,2840,13.2
142,2860,19.0
143,2880,18.2
144,2900,29.0
145,2920,23.6
146,2940,23.2
147,2960,18.4
148,2980,19.6
149,3000,11.0
