,episode,reward
0,20,9.0
1,40,9.0
2,60,9.4
3,80,8.8
4,100,9.0
5,120,9.6
6,140,8.8
7,160,9.4
8,180,10.0
9,200,9.4
10,220,9.2
11,240,9.6
12,260,8.4
13,280,9.8
14,300,9.4
15,320,9.0
16,340,9.4
17,360,9.4
18,380,9.2
19,400,9.6
20,420,9.6
21,440,9.6
22,460,10.0
23,480,9.8
24,500,10.0
25,520,10.0
26,540,10.0
27,560,9.8
28,580,9.8
29,600,9.4
30,620,9.8
31,640,9.6
32,660,9.4
33,680,9.4
34,700,9.6
35,720,9.2
36,740,9.4
37,760,9.0
38,780,9.0
39,800,9.2
40,820,9.8
41,840,9.8
42,860,9.6
43,880,9.4
44,900,10.2
45,920,9.4
46,940,9.6
47,960,9.8
48,980,9.2
49,1000,9.2
50,1020,9.6
51,1040,9.6
52,1060,9.8
53,1080,9.8
54,1100,9.2
55,1120,15.4
56,1140,10.2
57,1160,9.6
58,1180,9.4
59,1200,9.6
60,1220,10.2
61,1240,12.0
62,1260,9.4
63,1280,9.4
64,1300,9.8
65,1320,10.0
66,1340,10.4
67,1360,10.2
68,1380,10.8
69,1400,9.0
70,1420,9.2
71,1440,9.8
72,1460,10.2
73,1480,9.8
74,1500,9.6
75,1520,10.0
76,1540,10.2
77,1560,9.8
78,1580,10.2
79,1600,9.8
80,1620,10.4
81,1640,10.2
82,1660,10.0
83,1680,9.4
84,1700,9.8
85,1720,10.6
86,1740,10.2
87,1760,12.6
88,1780,10.8
89,1800,11.4
90,1820,10.2
91,1840,9.8
92,1860,11.2
93,1880,13.4
94,1900,12.2
95,1920,11.2
96,1940,14.4
97,1960,15.0
98,1980,10.4
99,2000,15.6
100,2020,12.8
101,2040,11.2
102,2060,16.2
103,2080,13.4
104,2100,14.0
105,2120,13.2
106,2140,15.2
107,2160,16.6
108,2180,12.2
109,2200,10.8
110,2220,16.4
111,2240,18.4
112,2260,17.6
113,2280,15.0
114,2300,14.6
115,2320,12.8
116,2340,16.2
117,2360,16.6
118,2380,16.4
119,2400,15.6
120,2420,15.2
121,2440,13.2
122,2460,14.0
123,2480,9.6
124,2500,11.4
125,2520,15.4
126,2540,15.8
127,2560,15.4
128,2580,15.8
129,2600,17.2
130,2620,17.6
131,2640,13.6
132,2660,10.4
133,2680,16.2
134,2700,11.4
135,2720,15.8
136,2740,16.0
137,2760,13.0
138,2780,15.8
139,2800,14.0
140,2820,15.2
141,2840,12.4
142,2860,12.4
143,2880,15.8
144,2900,14.6
145,2920,13.2
146,2940,16.0
147,2960,13.4
148,2980,13.6
149,3000,15.0
