,episode,reward
0,20,11.8
1,40,9.0
2,60,9.6
3,80,9.4
4,100,9.4
5,120,9.0
6,140,9.2
7,160,9.4
8,180,9.2
9,200,9.4
10,220,8.6
11,240,8.8
12,260,9.2
13,280,10.0
14,300,9.8
15,320,13.2
16,340,9.4
17,360,9.4
18,380,9.2
19,400,10.0
20,420,10.0
21,440,10.0
22,460,9.4
23,480,9.2
24,500,9.6
25,520,10.0
26,540,10.2
27,560,10.4
28,580,9.8
29,600,9.6
30,620,15.6
31,640,9.8
32,660,9.6
33,680,10.4
34,700,11.2
35,720,9.2
36,740,9.8
37,760,9.8
38,780,10.6
39,800,10.2
40,820,11.2
41,840,10.0
42,860,9.4
43,880,9.8
44,900,11.2
45,920,11.8
46,940,14.0
47,960,10.2
48,980,11.8
49,1000,12.6
50,1020,12.0
51,1040,11.2
52,1060,14.4
53,1080,14.2
54,1100,12.8
55,1120,12.2
56,1140,13.2
57,1160,12.8
58,1180,17.8
59,1200,14.6
60,1220,16.4
61,1240,12.4
62,1260,16.0
63,1280,14.2
64,1300,16.6
65,1320,14.0
66,1340,15.0
67,1360,15.2
68,1380,16.8
69,1400,15.4
70,1420,11.8
71,1440,15.0
72,1460,16.4
73,1480,18.2
74,1500,15.0
75,1520,15.0
76,1540,13.4
77,1560,15.2
78,1580,14.4
79,1600,15.2
80,1620,18.6
81,1640,14.8
82,1660,14.4
83,1680,11.8
84,1700,15.6
85,1720,14.0
86,1740,16.4
87,1760,15.2
88,1780,17.0
89,1800,13.8
90,1820,14.2
91,1840,11.6
92,1860,14.4
93,1880,15.4
94,1900,15.6
95,1920,15.2
96,1940,14.6
97,1960,14.6
98,1980,16.4
99,2000,16.4
100,2020,13.8
101,2040,16.0
102,2060,16.0
103,2080,16.0
104,2100,14.6
105,2120,12.6
106,2140,14.4
107,2160,12.8
108,2180,14.4
109,2200,16.8
110,2220,12.8
111,2240,16.6
112,2260,14.6
113,2280,14.8
114,2300,15.0
115,2320,16.2
116,2340,13.6
117,2360,12.0
118,2380,17.6
119,2400,15.2
120,2420,15.4
121,2440,17.2
122,2460,14.6
123,2480,14.2
124,2500,16.6
125,2520,16.6
126,2540,14.8
127,2560,14.2
128,2580,17.4
129,2600,13.2
130,2620,13.0
131,2640,15.8
132,2660,16.2
133,2680,14.4
134,2700,15.8
135,2720,20.0
136,2740,16.6
137,2760,15.8
138,2780,15.4
139,2800,14.8
140,2820,13.4
141,2840,16.8
142,2860,14.0
143,2880,14.8
144,2900,17.2
145,2920,12.4
146,2940,15.0
147,2960,13.8
148,2980,14.8
149,3000,15.8
