,episode,reward
0,20,13.6
1,40,27.4
2,60,9.2
3,80,9.8
4,100,9.2
5,120,9.4
6,140,34.0
7,160,57.4
8,180,42.6
9,200,46.6
10,220,12.4
11,240,22.0
12,260,31.6
13,280,73.4
14,300,44.8
15,320,91.4
16,340,30.4
17,360,21.4
18,380,18.0
19,400,62.8
20,420,18.2
21,440,26.2
22,460,16.2
23,480,16.4
24,500,10.6
25,520,14.6
26,540,11.0
27,560,11.0
28,580,24.2
29,600,15.0
30,620,40.8
31,640,37.6
32,660,29.2
33,680,33.8
34,700,133.0
35,720,46.2
36,740,51.6
37,760,10.2
38,780,18.0
39,800,57.8
40,820,18.2
41,840,24.6
42,860,40.0
43,880,55.4
44,900,11.2
45,920,40.6
46,940,26.4
47,960,41.4
48,980,33.2
49,1000,10.8
50,1020,46.8
51,1040,108.2
52,1060,71.6
53,1080,110.4
54,1100,34.6
55,1120,124.8
56,1140,127.4
57,1160,155.0
58,1180,37.2
59,1200,9.0
60,1220,9.2
61,1240,9.6
62,1260,10.4
63,1280,9.0
64,1300,17.2
65,1320,23.6
66,1340,9.6
67,1360,24.4
68,1380,171.2
69,1400,13.4
70,1420,19.2
71,1440,70.8
72,1460,10.0
73,1480,14.4
74,1500,141.4
75,1520,175.8
76,1540,34.8
77,1560,9.4
78,1580,62.4
79,1600,31.6
80,1620,10.6
81,1640,9.4
82,1660,9.2
83,1680,10.6
84,1700,9.6
85,1720,9.4
86,1740,11.2
87,1760,13.4
88,1780,13.4
89,1800,11.2
90,1820,16.8
91,1840,52.0
92,1860,12.2
93,1880,23.0
94,1900,36.8
95,1920,13.2
96,1940,16.6
97,1960,33.8
98,1980,17.6
99,2000,12.6
100,2020,10.4
101,2040,23.8
102,2060,11.0
103,2080,16.0
104,2100,14.2
105,2120,14.0
106,2140,10.0
107,2160,11.8
108,2180,16.2
109,2200,16.0
110,2220,16.0
111,2240,10.8
112,2260,18.0
113,2280,9.4
114,2300,9.6
115,2320,26.8
116,2340,23.0
117,2360,34.4
118,2380,30.8
119,2400,26.2
120,2420,9.8
121,2440,13.4
122,2460,11.8
123,2480,11.8
124,2500,9.8
125,2520,10.4
126,2540,18.6
127,2560,72.0
128,2580,72.8
129,2600,68.2
130,2620,11.4
131,2640,34.6
132,2660,13.8
133,2680,13.4
134,2700,38.2
135,2720,41.2
136,2740,108.4
137,2760,82.2
138,2780,28.0
139,2800,8.8
140,2820,9.4
141,2840,9.8
142,2860,10.4
143,2880,104.6
144,2900,9.8
145,2920,11.2
146,2940,12.2
147,2960,11.4
148,2980,9.4
149,3000,11.0
